Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Michael Finley,26,DAL,SF,82,82,3464,0,7,61,29,3
Gary Payton,31,SEA,PG,82,82,3425,91,9,0,0,0
Latrell Sprewell,29,NYK,SF,82,82,3276,0,27,72,1,0
Kevin Garnett,23,MIN,PF,81,81,3243,0,0,5,87,7
Shareef Abdur-Rahim,23,VAN,SF,82,82,3223,0,0,63,35,3
Allan Houston,28,NYK,SG,82,82,3169,9,88,3,0,0
Shaquille O'Neal,27,LAL,C,79,79,3163,0,0,0,0,100
Mike Bibby,21,VAN,PG,82,82,3155,99,1,0,0,0
Jerry Stackhouse,25,DET,SG,82,82,3148,1,72,27,0,0
Anthony Mason,33,CHH,SF,82,81,3133,0,0,64,35,1
Vince Carter,23,TOR,SF,82,82,3126,0,48,49,3,0
Michael Dickerson,24,VAN,SG,82,82,3103,1,98,1,0,0
Ray Allen,24,MIL,SG,82,82,3070,1,96,3,0,0
Antoine Walker,23,BOS,PF,82,82,3003,0,0,13,87,0
Elton Brand,20,CHI,PF,81,80,2999,0,0,0,40,60
Reggie Miller,34,IND,SG,81,81,2987,2,91,6,0,0
Dikembe Mutombo,33,ATL,C,82,82,2984,0,0,0,0,100
Jalen Rose,27,IND,SF,80,80,2978,0,20,79,0,0
Nick Van Exel,28,DEN,PG,79,79,2950,100,0,0,0,0
Karl Malone,36,UTA,PF,82,82,2947,0,0,4,90,7
Dirk Nowitzki,21,DAL,PF,82,81,2938,0,0,1,68,31
Lindsey Hunter,29,DET,PG,82,82,2919,100,0,0,0,0
Juwan Howard,26,WAS,PF,82,82,2909,0,0,0,73,27
Glenn Robinson,27,MIL,SF,81,81,2909,0,2,76,22,0
Bryon Russell,29,UTA,SF,82,70,2900,0,3,95,3,0
Sam Cassell,30,MIL,PG,81,81,2899,96,4,0,0,0
Stephon Marbury,22,NJN,PG,74,74,2881,93,8,0,0,0
Chris Webber,26,SAC,PF,75,75,2880,0,0,0,88,12
Tim Duncan,23,SAS,PF,74,74,2875,0,0,0,65,35
Eric Snow,26,PHI,PG,82,80,2866,100,0,0,0,0
Allen Iverson,24,PHI,SG,70,70,2853,25,75,0,0,0
Vin Baker,28,SEA,C,79,75,2849,0,0,0,1,99
Rasheed Wallace,25,POR,PF,81,77,2845,0,0,0,84,15
Clifford Robinson,33,PHO,SF,80,67,2839,0,1,68,32,0
Jamal Mashburn,27,MIA,SF,76,76,2828,0,1,90,9,0
Eddie Jones,28,CHH,SG,72,72,2807,1,95,4,0,0
