Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Monta Ellis,25,GSW,SG,80,80,3227,21,78,1,0,0
LaMarcus Aldridge,25,POR,PF,81,81,3211,0,0,0,51,50
Luol Deng,25,CHI,SF,82,82,3208,0,0,87,13,0
Dorell Wright,25,GSW,SF,82,82,3147,0,1,88,11,0
Blake Griffin,21,LAC,PF,82,82,3112,0,0,0,76,24
LeBron James,26,MIA,SF,79,79,3063,0,0,81,19,0
Kevin Durant,22,OKC,SF,78,78,3038,0,3,85,12,0
Pau Gasol,30,LAL,C,82,82,3037,0,0,0,29,72
Derrick Rose,22,CHI,PG,81,81,3026,95,5,0,0,0
Al Jefferson,26,UTA,C,82,82,2940,0,0,0,2,98
Dwight Howard,25,ORL,C,78,78,2935,0,0,0,0,100
Jrue Holiday,20,PHI,PG,82,82,2901,100,1,0,0,0
Ray Allen,35,BOS,SG,80,80,2890,2,95,3,0,0
Brook Lopez,22,NJN,C,82,82,2889,0,0,0,0,100
Chris Paul,25,NOH,PG,80,80,2880,100,0,0,0,0
Mike Conley,23,MEM,PG,81,81,2872,100,0,0,0,0
Amar'e Stoudemire,28,NYK,C,78,78,2870,0,0,0,32,68
DeMar DeRozan,21,TOR,SG,82,82,2851,1,76,23,0,0
Russell Westbrook,22,OKC,PG,82,82,2847,97,3,0,0,0
Dwyane Wade,29,MIA,SG,76,76,2823,7,90,2,0,0
Elton Brand,31,PHI,PF,81,81,2809,0,0,0,61,39
Chris Bosh,26,MIA,PF,77,77,2795,0,0,0,86,14
Kobe Bryant,32,LAL,SG,82,82,2779,0,87,13,0,0
Boris Diaw,28,CHA,PF,82,82,2778,0,0,2,87,11
Paul Pierce,33,BOS,SF,80,80,2774,0,3,94,3,0
Danny Granger,27,IND,SF,79,79,2763,0,0,74,26,0
Wesley Matthews,24,POR,SG,82,69,2758,2,68,30,0,0
D.J. Augustin,23,CHA,PG,82,82,2757,100,0,0,0,0
Carmelo Anthony,26,2TM,SF,77,77,2751,0,1,81,19,0
Carmelo Anthony,26,DEN,SF,50,50,1774,0,0,77,23,0
Carmelo Anthony,26,NYK,SF,27,27,977,0,2,87,11,0
Raymond Felton,26,2TM,SG,75,54,2737,89,11,0,0,0
Raymond Felton,26,NYK,PG,54,54,2074,100,0,0,0,0
Raymond Felton,26,DEN,SG,21,0,663,53,47,0,0,0
Beno Udrih,28,SAC,PG,79,64,2734,84,16,0,0,0
Zach Randolph,29,MEM,PF,75,74,2724,0,0,0,75,25
Jason Richardson,30,2TM,SG,80,80,2715,1,76,24,0,0
Jason Richardson,30,PHO,SG,25,25,796,1,100,0,0,0
Jason Richardson,30,ORL,SG,55,55,1919,1,66,33,0,0
Al Horford,24,ATL,C,77,77,2704,0,0,0,34,66
Gerald Wallace,28,2TM,SF,71,63,2693,0,3,62,34,0
Gerald Wallace,28,CHA,SF,48,48,1872,0,5,85,10,0
Gerald Wallace,28,POR,PF,23,15,821,0,0,11,89,1
Jason Kidd,37,DAL,PG,80,80,2653,69,31,0,0,0
Andre Miller,34,POR,PG,81,81,2650,100,1,0,0,0
Josh Smith,25,ATL,PF,77,77,2645,0,0,20,76,4
Lamar Odom,31,LAL,PF,82,35,2639,0,0,0,98,2
David Lee,27,GSW,PF,73,73,2634,0,0,2,77,21
Kevin Love,22,MIN,PF,73,73,2611,0,0,0,75,25
John Wall,20,WAS,PG,69,64,2606,90,10,0,0,0
Paul Millsap,25,UTA,PF,76,76,2605,0,0,4,95,1
Kevin Martin,27,HOU,SG,80,80,2603,0,81,20,0,0
Trevor Ariza,25,NOH,SF,75,75,2600,0,0,90,10,0
Marc Gasol,26,MEM,C,81,81,2586,0,0,0,1,100
Jason Terry,33,DAL,SG,82,10,2564,0,91,9,0,0
Kyle Lowry,24,HOU,PG,75,71,2563,92,8,0,0,0
Tayshaun Prince,30,DET,SF,78,78,2562,0,2,90,8,0
John Salmons,31,MIL,SG,73,70,2554,0,86,13,0,0
Joe Johnson,29,ATL,SG,72,72,2554,0,66,34,0,0
Landry Fields,22,NYK,SG,82,81,2541,0,76,24,0,0
Channing Frye,27,PHO,PF,77,64,2541,0,0,0,65,35
Hedo Türkoğlu,31,2TM,SF,81,72,2540,0,0,68,26,6
Hedo Türkoğlu,31,PHO,PF,25,16,630,0,0,1,76,23
Hedo Türkoğlu,31,ORL,SF,56,56,1910,0,1,90,9,0
Tony Parker,28,SAS,PG,78,78,2528,100,0,0,0,0
Rajon Rondo,24,BOS,PG,68,68,2527,93,7,0,0,0
Nicolas Batum,22,POR,SF,80,67,2522,0,0,85,14,0
Dirk Nowitzki,32,DAL,PF,73,73,2504,0,0,0,98,2
Steve Nash,36,PHO,PG,75,75,2497,96,4,0,0,0
Stephen Curry,22,GSW,PG,74,74,2489,100,0,0,0,0
Andre Iguodala,27,PHI,SF,67,67,2469,0,10,86,4,0
Deron Williams,26,2TM,PG,65,65,2465,86,14,0,0,0
Deron Williams,26,UTA,PG,53,53,2009,88,12,0,0,0
Deron Williams,26,NJN,PG,12,12,456,76,24,0,0,0
Richard Jefferson,30,SAS,SF,81,81,2459,0,0,89,11,0
David West,30,NOH,PF,70,70,2451,0,0,0,91,9
Jeff Green,24,2TM,SF,75,51,2427,0,0,29,68,3
Jeff Green,24,OKC,PF,49,49,1815,0,0,18,79,3
Jeff Green,24,BOS,SF,26,2,612,0,0,62,38,0
Manu Ginóbili,33,SAS,SG,80,79,2426,0,58,41,1,0
Luis Scola,30,HOU,PF,74,74,2412,0,0,0,94,6
Metta World Peace,31,LAL,SF,82,82,2410,0,0,93,7,0
Grant Hill,38,PHO,SF,80,80,2409,0,1,84,16,0
Stephen Jackson,32,CHA,SG,67,67,2405,0,61,38,0,0
Wilson Chandler,23,2TM,SF,72,49,2401,0,11,74,14,0
Wilson Chandler,23,NYK,SF,51,30,1759,0,7,75,17,0
Wilson Chandler,23,DEN,SF,21,19,642,0,23,71,6,0
Shane Battier,32,2TM,SF,82,59,2375,0,0,89,11,0
Shane Battier,32,HOU,SF,59,59,1818,0,0,91,9,0
Shane Battier,32,MEM,SF,23,0,557,0,0,85,15,0
Michael Beasley,22,MIN,SF,73,73,2361,0,0,57,41,2
Darren Collison,23,IND,PG,79,79,2360,99,1,0,0,0
