Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Allen Iverson,27,PHI,SG,82,82,3485,16,79,5,0,0
Kobe Bryant,24,LAL,SG,82,82,3401,0,90,10,0,0
Shawn Marion,24,PHO,SF,81,81,3373,0,1,85,14,0
Jalen Rose,30,CHI,SF,82,82,3351,0,36,64,0,0
Kevin Garnett,26,MIN,PF,82,82,3321,0,0,6,82,13
Jamal Mashburn,30,NOH,SF,82,81,3321,0,0,82,17,0
Steve Francis,25,HOU,PG,81,81,3318,78,22,0,0,0
Stephon Marbury,25,PHO,PG,81,81,3240,100,0,0,0,0
Antoine Walker,26,BOS,PF,78,78,3235,0,0,3,81,16
Antawn Jamison,26,GSW,SF,82,82,3226,0,4,84,12,0
Gary Payton,34,2TM,PG,80,80,3208,64,36,0,0,0
Gary Payton,34,SEA,PG,52,52,2123,80,20,0,0,0
Gary Payton,34,MIL,PG,28,28,1085,33,67,0,0,0
Tim Duncan,26,SAS,PF,81,81,3181,0,0,0,57,43
Ricky Davis,23,CLE,SG,79,76,3131,1,82,17,0,0
Dirk Nowitzki,24,DAL,PF,80,80,3117,0,0,5,74,21
Allan Houston,31,NYK,SG,82,82,3108,3,97,0,0,0
Eric Snow,29,PHI,PG,82,82,3108,99,1,0,0,0
Paul Pierce,25,BOS,SG,79,79,3096,0,93,7,0,0
Shareef Abdur-Rahim,26,ATL,PF,81,81,3087,0,0,5,93,2
Jason Terry,25,ATL,PG,81,81,3081,97,3,0,0,0
Rashard Lewis,23,SEA,SF,77,77,3044,0,2,68,30,1
Cuttino Mobley,27,HOU,SG,73,73,3044,0,93,6,0,0
Michael Jordan,39,WAS,SF,82,67,3031,0,17,79,5,0
Jason Kidd,29,NJN,PG,80,80,2989,95,6,0,0,0
Tracy McGrady,23,ORL,SG,75,74,2954,7,74,19,0,0
Morris Peterson,25,TOR,SF,82,80,2949,0,19,80,1,0
Pau Gasol,22,MEM,PF,82,82,2948,0,0,0,50,50
Karl Malone,39,UTA,PF,81,81,2936,0,0,0,85,15
Andre Miller,26,LAC,PG,80,80,2913,100,0,0,0,0
Ray Allen,27,2TM,SG,76,75,2880,1,90,9,0,0
Ray Allen,27,MIL,SG,47,46,1683,2,96,2,0,0
Ray Allen,27,SEA,SG,29,29,1197,0,82,18,0,0
Richard Jefferson,22,NJN,SF,80,80,2879,0,0,97,3,0
Ben Wallace,28,DET,C,73,73,2873,0,0,0,10,90
Gilbert Arenas,21,GSW,PG,82,82,2866,87,13,0,0,0
Jermaine O'Neal,24,IND,PF,77,76,2864,0,0,0,68,32
Latrell Sprewell,32,NYK,SF,74,73,2859,1,24,76,0,0
Caron Butler,22,MIA,SF,78,78,2858,0,0,94,6,0
Derek Fisher,28,LAL,PG,82,82,2829,100,1,0,0,0
Clifford Robinson,36,DET,PF,81,69,2825,0,0,1,96,4
Tony Parker,20,SAS,PG,82,82,2774,99,1,0,0,0
Desmond Mason,25,2TM,SF,80,40,2763,0,30,68,2,0
Desmond Mason,25,SEA,SF,52,15,1811,0,42,57,1,0
Desmond Mason,25,MIL,SF,28,25,952,0,6,88,6,0
Jerry Stackhouse,28,WAS,SG,70,70,2747,1,90,9,0,0
Juwan Howard,29,DEN,PF,77,77,2730,0,0,5,89,5
Steve Nash,28,DAL,PG,82,82,2711,99,2,0,0,0
Doug Christie,32,SAC,SG,80,80,2710,2,96,2,0,0
David Wesley,32,NOH,SG,73,73,2710,28,67,5,0,0
Sam Cassell,33,MIL,PG,78,77,2700,100,0,0,0,0
Jason Richardson,22,GSW,SG,82,82,2698,1,81,17,1,0
Rasheed Wallace,28,POR,PF,74,74,2684,0,0,2,95,4
Michael Finley,29,DAL,SF,69,69,2642,0,24,74,3,0
Brian Grant,30,MIA,C,82,82,2641,0,0,0,23,77
Richard Hamilton,24,DET,SG,82,82,2640,1,89,11,0,0
Alvin Williams,28,TOR,PG,78,78,2638,83,17,0,0,0
Kenyon Martin,25,NJN,PF,77,77,2628,0,0,9,90,2
Chris Webber,29,SAC,PF,67,67,2622,0,0,0,96,4
P.J. Brown,33,NOH,PF,78,78,2609,0,0,1,96,4
Troy Hudson,26,MIN,PG,79,74,2600,100,0,0,0,0
Glenn Robinson,30,ATL,SF,69,68,2591,0,0,91,9,0
Pat Garrity,26,ORL,PF,81,53,2584,0,0,2,89,10
Kurt Thomas,30,NYK,C,81,81,2577,0,0,0,6,94
Amar'e Stoudemire,20,PHO,PF,82,71,2570,0,0,1,81,18
Bruce Bowen,31,SAS,SF,82,82,2566,0,4,96,0,0
Matt Harpring,26,UTA,SF,78,69,2557,0,33,67,0,0
Derek Anderson,28,POR,PG,76,76,2556,53,47,0,0,0
