Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Kevin Durant,25,OKC,SF,81,81,3122,0,4,70,26,0
Monta Ellis,28,DAL,SG,82,82,3023,4,95,1,0,0
DeMar DeRozan,24,TOR,SG,79,79,3017,1,42,57,0,0
Carmelo Anthony,29,NYK,PF,77,77,2982,0,0,38,62,1
John Wall,23,WAS,PG,82,82,2980,100,0,0,0,0
Nicolas Batum,25,POR,SF,82,82,2956,0,0,79,21,0
Damian Lillard,23,POR,PG,82,82,2937,66,34,0,0,0
LeBron James,29,MIA,PF,77,77,2902,0,0,12,83,5
Paul George,23,IND,SF,80,80,2898,0,10,90,0,0
DeAndre Jordan,25,LAC,C,82,82,2870,0,0,0,1,99
Klay Thompson,23,GSW,SG,81,81,2868,5,88,7,0,0
Blake Griffin,24,LAC,PF,80,80,2863,0,0,0,91,9
Kyle Lowry,27,TOR,PG,79,79,2862,100,0,0,0,0
Stephen Curry,25,GSW,PG,78,78,2846,100,0,0,0,0
Joakim Noah,28,CHI,C,80,80,2820,0,0,0,0,100
Jeff Green,27,BOS,SF,82,82,2805,0,0,94,6,0
Gordon Hayward,23,UTA,SF,77,77,2800,0,58,41,1,0
Kevin Love,25,MIN,PF,77,77,2797,0,0,0,73,27
Chandler Parsons,25,HOU,SF,74,74,2783,0,1,86,12,0
Wesley Matthews,27,POR,SG,82,82,2780,0,78,22,1,0
James Harden,24,HOU,SG,73,73,2777,1,91,7,0,0
Lance Stephenson,23,IND,SG,78,78,2752,2,93,5,0,0
Josh Smith,28,DET,SF,77,76,2730,0,0,56,43,0
Brandon Jennings,24,DET,PG,80,79,2728,100,0,0,0,0
Trevor Ariza,28,WAS,SF,77,77,2723,0,2,92,6,0
Thaddeus Young,25,PHI,PF,79,78,2718,0,0,0,98,2
Zach Randolph,32,MEM,PF,79,79,2705,0,0,0,88,12
Greg Monroe,23,DET,PF,82,82,2690,0,0,0,65,36
Goran Dragić,27,PHO,SG,76,75,2668,52,47,1,0,0
Serge Ibaka,24,OKC,PF,81,81,2666,0,0,6,75,19
Marcin Gortat,29,WAS,C,81,80,2655,0,0,0,0,100
Ricky Rubio,23,MIN,PG,82,82,2638,89,11,0,0,0
Dirk Nowitzki,35,DAL,PF,80,80,2628,0,0,0,73,28
Andre Drummond,20,DET,C,81,81,2619,0,0,0,0,100
Kemba Walker,23,CHA,PG,73,73,2614,100,0,0,0,0
Corey Brewer,27,MIN,SF,81,81,2609,0,12,87,1,0
Robin Lopez,25,POR,C,82,82,2603,0,0,0,0,100
Tristan Thompson,22,CLE,PF,82,82,2594,0,0,0,94,6
Jimmy Butler,24,CHI,SG,67,67,2591,0,71,29,0,0
Mike Dunleavy,33,CHI,SF,82,61,2584,0,14,85,1,0
Joe Johnson,32,BRK,SG,79,79,2575,1,61,38,1,0
Jodie Meeks,26,LAL,SG,77,70,2556,15,70,15,0,0
Al Jefferson,29,CHA,C,73,73,2553,0,0,0,0,100
Arron Afflalo,28,ORL,SG,73,73,2552,0,49,50,1,0
Jeff Teague,25,ATL,PG,79,79,2542,73,27,0,0,0
Chris Bosh,29,MIA,C,79,79,2531,0,0,0,6,94
Rudy Gay,27,2TM,SF,73,73,2531,0,0,63,34,3
Rudy Gay,27,TOR,SF,18,18,639,0,1,74,24,1
Rudy Gay,27,SAC,SF,55,55,1892,0,0,59,37,4
Bradley Beal,20,WAS,SG,73,73,2530,9,90,1,0,0
LaMarcus Aldridge,28,POR,PF,69,69,2498,0,0,0,89,11
Isaiah Thomas,24,SAC,PG,72,54,2497,100,0,0,0,0
Kyrie Irving,21,CLE,PG,71,71,2496,100,0,0,0,0
P.J. Tucker,28,PHO,SF,81,81,2490,0,3,92,6,0
Victor Oladipo,21,ORL,PG,80,44,2487,59,41,0,0,0
Randy Foye,30,DEN,SG,81,78,2485,17,72,11,0,0
Paul Millsap,28,ATL,PF,74,73,2482,0,0,0,93,7
David West,33,IND,PF,80,80,2472,0,0,0,96,4
Spencer Hawes,25,2TM,C,80,78,2470,0,0,0,0,100
Spencer Hawes,25,PHI,C,53,53,1666,0,0,0,0,100
Spencer Hawes,25,CLE,C,27,25,804,0,0,0,0,100
José Calderón,32,DAL,PG,81,81,2468,95,5,0,0,0
Gerald Henderson,26,CHA,SG,77,77,2461,0,88,12,0,0
Khris Middleton,22,MIL,SF,82,64,2460,0,27,70,3,0
Evan Turner,25,2TM,SF,81,56,2457,0,33,67,0,0
Evan Turner,25,PHI,SF,54,54,1886,0,26,74,1,0
Evan Turner,25,IND,SF,27,2,571,0,54,46,0,0
Mike Conley,26,MEM,PG,73,73,2446,100,0,0,0,0
George Hill,27,IND,PG,76,76,2434,96,4,0,0,0
J.R. Smith,28,NYK,SF,74,37,2421,0,24,72,5,0
Michael Carter-Williams,22,PHI,PG,70,70,2414,97,3,0,0,0
Roy Hibbert,27,IND,C,81,81,2409,0,0,0,0,100
Shawn Marion,35,DAL,SF,76,76,2409,0,0,54,45,0
Kyle Korver,32,ATL,SG,71,71,2408,0,68,31,0,0
Brandon Knight,22,MIL,PG,72,69,2400,89,11,0,0,0
Dwight Howard,28,HOU,C,71,71,2396,0,0,0,4,96
Josh McRoberts,26,CHA,PF,78,78,2360,0,0,0,95,5
Anthony Davis,20,NOP,PF,67,66,2358,0,0,0,71,29
Taj Gibson,28,CHI,PF,82,8,2351,0,0,1,98,1
DeMarre Carroll,27,ATL,SF,73,73,2341,0,7,89,4,0
Kyle Singler,25,DET,SF,82,36,2337,0,23,69,8,0
Gerald Green,28,PHO,SG,82,48,2330,0,78,22,0,0
Channing Frye,30,PHO,PF,82,82,2312,0,0,0,59,41
James Anderson,24,PHI,SG,80,62,2309,1,75,24,1,0
DeMarcus Cousins,23,SAC,C,71,71,2298,0,0,0,1,100
David Lee,30,GSW,PF,69,67,2288,0,0,0,81,19
Jonas Valančiūnas,21,TOR,C,81,81,2282,0,0,0,0,100
Reggie Jackson,23,OKC,PG,80,36,2277,100,0,0,0,0
Brandon Bass,28,BOS,PF,82,73,2266,0,0,0,97,2
Trey Burke,21,UTA,PG,70,68,2262,100,0,0,0,0
Jarrett Jack,30,CLE,PG,80,31,2252,50,50,0,0,0
Wesley Johnson,26,LAL,SF,79,62,2240,0,3,64,33,0
Ty Lawson,26,DEN,PG,62,61,2222,76,24,0,0,0
Amir Johnson,26,TOR,PF,77,72,2214,0,0,2,85,14
Ramon Sessions,27,2TM,PG,83,19,2214,52,48,0,0,0
Ramon Sessions,27,CHA,PG,55,7,1305,59,41,0,0,0
Ramon Sessions,27,MIL,PG,28,12,909,42,58,0,0,0
Richard Jefferson,33,UTA,SF,82,78,2213,0,0,97,3,0
Luol Deng,28,2TM,SF,63,63,2213,0,0,95,5,0
Luol Deng,28,CHI,SF,23,23,860,0,0,97,3,0
Luol Deng,28,CLE,SF,40,40,1353,0,0,94,6,0
Harrison Barnes,21,GSW,SF,78,24,2204,0,0,44,52,4
Derrick Favors,22,UTA,PF,73,73,2201,0,0,0,39,62
Alec Burks,22,UTA,SG,78,12,2193,6,89,5,0,0
Ben McLemore,20,SAC,SG,82,55,2187,1,94,5,0,0
Jameer Nelson,31,ORL,PG,68,68,2179,100,0,0,0,0
Kenneth Faried,24,DEN,PF,80,77,2178,0,0,23,70,7
Mario Chalmers,27,MIA,PG,73,73,2178,80,20,0,0,0
Kevin Martin,30,MIN,SG,68,68,2177,0,98,2,0,0
Chris Paul,28,LAC,PG,62,62,2171,100,0,0,0,0
Terrence Ross,22,TOR,SG,81,62,2159,1,93,7,0,0
Tim Duncan,37,SAS,C,74,74,2158,0,0,0,0,100
Martell Webster,27,WAS,SF,78,13,2157,0,44,56,1,0
Markieff Morris,24,PHO,PF,81,0,2153,0,0,0,75,25
Carlos Boozer,32,CHI,PF,76,76,2141,0,0,0,73,27
