Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Kevin Durant,21,OKC,SF,82,82,3239,0.0,3.0,89.0,8.0,0.0
Andre Iguodala,26,PHI,SF,82,82,3193,0.0,33.0,63.0,3.0,0.0
Rudy Gay,23,MEM,SF,80,80,3175,0.0,0.0,85.0,15.0,0.0
Stephen Jackson,31,2TM,SG,81,81,3129,0.0,53.0,36.0,9.0,1.0
Stephen Jackson,31,GSW,PF,9,9,300,0.0,0.0,10.0,78.0,12.0
Stephen Jackson,31,CHA,SG,72,72,2829,0.0,59.0,39.0,2.0,0.0
Gerald Wallace,27,CHA,SF,76,76,3119,0.0,0.0,76.0,24.0,0.0
O.J. Mayo,22,MEM,SG,82,82,3113,0.0,98.0,1.0,0.0,0.0
Zach Randolph,28,MEM,PF,81,81,3051,0.0,0.0,0.0,87.0,13.0
Jeff Green,23,OKC,PF,82,82,3043,0.0,0.0,16.0,81.0,3.0
Dirk Nowitzki,31,DAL,PF,81,80,3039,0.0,0.0,0.0,78.0,22.0
Brook Lopez,21,NJN,C,82,82,3027,0.0,0.0,0.0,0.0,100.0
David Lee,26,NYK,C,81,81,3019,0.0,0.0,0.0,5.0,95.0
LeBron James,25,CLE,SF,76,76,2966,0.0,1.0,84.0,15.0,0.0
Rajon Rondo,23,BOS,PG,81,81,2963,89.0,11.0,0.0,0.0,0.0
David West,29,NOH,PF,81,81,2949,0.0,0.0,0.0,92.0,8.0
LaMarcus Aldridge,24,POR,PF,78,78,2922,0.0,0.0,0.0,88.0,12.0
Aaron Brooks,25,HOU,PG,82,82,2919,100.0,0.0,0.0,0.0,0.0
Boris Diaw,27,CHA,PF,82,82,2906,0.0,0.0,1.0,79.0,19.0
Stephen Curry,21,GSW,PG,80,77,2896,64.0,36.0,0.0,0.0,0.0
Joe Johnson,28,ATL,SG,76,76,2886,0.0,76.0,24.0,0.0,0.0
Jason Kidd,36,DAL,PG,80,80,2881,65.0,34.0,1.0,0.0,0.0
Josh Smith,24,ATL,PF,81,81,2871,0.0,0.0,1.0,99.0,1.0
Derrick Rose,21,CHI,PG,78,78,2871,90.0,10.0,0.0,0.0,0.0
Al Horford,23,ATL,C,81,81,2845,0.0,0.0,0.0,6.0,94.0
Dwight Howard,24,ORL,C,82,82,2843,0.0,0.0,0.0,0.0,100.0
Amar'e Stoudemire,27,PHO,PF,82,82,2838,0.0,0.0,0.0,83.0,17.0
Kobe Bryant,31,LAL,SG,73,73,2835,1.0,78.0,21.0,0.0,0.0
John Salmons,30,2TM,SG,81,56,2824,0.0,63.0,36.0,1.0,0.0
John Salmons,30,CHI,SG,51,28,1695,0.0,69.0,32.0,0.0,0.0
John Salmons,30,MIL,SG,30,28,1129,0.0,55.0,43.0,2.0,0.0
Ray Allen,34,BOS,SG,80,80,2819,0.0,83.0,17.0,0.0,0.0
Russell Westbrook,21,OKC,PG,82,82,2813,95.0,5.0,0.0,0.0,0.0
Deron Williams,25,UTA,PG,76,76,2802,93.0,7.0,0.0,0.0,0.0
Andrea Bargnani,24,TOR,PF,80,80,2799,0.0,0.0,0.0,68.0,32.0
