Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Michael Finley,24,DAL,SF,82,82,3394,1,33,59,7,0
Glen Rice,30,CHH,SF,82,82,3295,0,7,92,1,0
Grant Hill,25,DET,SF,81,81,3294,0,1,86,12,0
Ray Allen,22,MIL,SG,82,82,3287,8,87,5,0,0
Antoine Walker,21,BOS,PF,82,82,3268,0,0,1,94,4
Kevin Garnett,21,MIN,PF,82,82,3222,0,0,2,72,26
Tim Duncan,21,SAS,PF,82,82,3204,0,0,8,80,12
Wesley Person,26,CLE,SG,82,82,3198,13,76,11,0,0
Michael Jordan,34,CHI,SG,82,82,3181,5,83,13,0,0
Allen Iverson,22,PHI,PG,80,80,3150,100,0,0,0,0
Anthony Mason,31,CHH,PF,81,80,3148,0,0,6,93,1
Gary Payton,29,SEA,PG,82,82,3145,92,8,0,0,0
Jason Kidd,24,PHO,PG,82,82,3118,46,50,4,0,0
Stephon Marbury,20,MIN,PG,82,81,3112,100,0,0,0,0
Jim Jackson,27,2TM,SG,79,78,3046,0,86,14,0,0
Jim Jackson,27,PHI,SG,48,47,1788,0,89,10,0,0
Jim Jackson,27,GSW,SG,31,31,1258,0,82,19,0,0
Tim Hardaway,31,MIA,PG,81,81,3031,100,0,0,0,0
Karl Malone,34,UTA,PF,81,81,3030,0,0,43,39,18
Rod Strickland,31,WAS,PG,76,76,3020,92,8,0,0,0
Bo Outlaw,26,ORL,PF,82,76,2953,0,0,80,19,0
Shareef Abdur-Rahim,21,VAN,SF,82,82,2950,0,0,82,18,0
Vin Baker,26,SEA,C,82,82,2944,0,0,0,37,63
Doug Christie,27,TOR,SG,78,78,2939,4,76,20,0,0
Dikembe Mutombo,31,ATL,C,82,82,2917,0,0,0,0,100
Eddie Jones,26,LAL,SG,80,80,2910,4,95,1,0,0
Rasheed Wallace,23,POR,PF,77,77,2896,0,0,9,76,16
Steve Smith,28,ATL,SG,73,73,2857,1,92,7,0,0
Dennis Rodman,36,CHI,PF,80,66,2856,0,0,1,69,30
Allan Houston,26,NYK,SG,82,82,2848,0,56,43,1,0
David Wesley,27,CHH,PG,81,81,2845,100,0,0,0,0
Calbert Cheaney,26,WAS,SG,82,82,2841,0,91,9,0,0
Damon Stoudamire,24,2TM,PG,71,71,2839,98,2,0,0,0
Damon Stoudamire,24,TOR,PG,49,49,2033,98,2,0,0,0
Damon Stoudamire,24,POR,PG,22,22,806,100,0,0,0,0
Corliss Williamson,24,SAC,SF,79,75,2819,0,0,32,68,0
Kerry Kittles,23,NJN,SG,77,76,2814,3,93,4,0,0
Chris Webber,24,WAS,C,71,71,2809,0,0,0,0,100
Horace Grant,32,ORL,C,76,76,2803,0,0,0,63,37
Reggie Miller,32,IND,SG,81,81,2795,0,98,2,0,0
Isaiah Rider,26,POR,SG,74,66,2786,0,96,4,0,0
Shawn Kemp,28,CLE,PF,80,80,2769,0,0,0,87,13
Detlef Schrempf,35,SEA,SF,78,78,2742,0,0,62,37,0
Charles Oakley,34,NYK,PF,79,79,2734,0,0,0,52,48
Kendall Gill,29,NJN,SF,81,81,2733,0,2,97,1,0
Rick Fox,28,LAL,SF,82,82,2709,0,0,94,6,0
Mookie Blaylock,30,ATL,PG,70,69,2700,100,0,0,0,0
Tyrone Corbin,35,ATL,SF,79,79,2699,0,9,91,0,0
Avery Johnson,32,SAS,PG,75,73,2674,100,0,0,0,0
Ron Mercer,21,BOS,SG,80,62,2662,0,66,33,0,0
Erick Dampier,22,GSW,C,82,82,2656,0,0,0,1,99
A.C. Green,34,DAL,PF,82,68,2649,0,0,10,78,12
Dean Garrett,31,DEN,C,82,82,2632,0,0,0,1,99
Voshon Lenard,24,MIA,SG,81,81,2621,0,96,4,0,0
Bison Dele,28,DET,C,78,78,2619,0,0,0,28,72
Donyell Marshall,24,GSW,SF,73,73,2611,0,1,98,2,0
Sam Cassell,28,NJN,PG,75,72,2606,84,16,0,0,0
Hersey Hawkins,31,SEA,SG,82,82,2597,0,97,3,0,0
Lamond Murray,24,LAC,SF,79,65,2579,0,0,43,56,1
LaPhonso Ellis,27,DEN,SF,76,71,2575,0,0,67,32,2
Mitch Richmond,32,SAC,SG,70,70,2569,2,95,4,0,0
Juwan Howard,24,WAS,PF,64,64,2559,0,0,11,73,15
Jerry Stackhouse,23,2TM,SG,79,37,2545,7,61,32,0,0
Jerry Stackhouse,23,PHI,SF,22,22,748,0,17,82,1,0
Jerry Stackhouse,23,DET,SG,57,15,1797,9,79,11,0,0
Kevin Willis,35,HOU,PF,81,74,2528,0,0,0,33,67
Cedric Henderson,22,CLE,SF,82,71,2527,0,1,92,7,0
Bryant Reeves,24,VAN,C,74,74,2527,0,0,0,0,100
Lindsey Hunter,27,DET,PG,71,67,2505,100,0,0,0,0
Rodney Rogers,26,LAC,SF,76,70,2499,0,0,96,4,0
Brevin Knight,22,CLE,PG,80,76,2483,100,1,0,0,0
Clyde Drexler,35,HOU,SG,70,70,2473,3,94,3,0,0
Jeff Hornacek,34,UTA,SG,80,80,2460,0,100,0,0,0
David Robinson,32,SAS,C,73,73,2457,0,0,0,0,100
Theo Ratliff,24,2TM,C,82,67,2447,0,0,0,11,89
Theo Ratliff,24,DET,C,24,12,586,0,0,0,8,92
Theo Ratliff,24,PHI,C,58,55,1861,0,0,0,12,88
Antonio McDyess,23,PHO,PF,81,81,2441,0,0,11,63,26
Mark Jackson,32,IND,PG,82,82,2413,100,0,0,0,0
Larry Johnson,28,NYK,SF,70,70,2412,0,0,29,69,2
Zydrunas Ilgauskas,22,CLE,C,82,81,2379,0,0,0,0,100
Hubert Davis,27,DAL,SG,81,30,2378,20,71,10,0,0
P.J. Brown,28,MIA,PF,74,74,2362,0,0,0,87,12
John Wallace,23,TOR,SF,82,36,2361,0,1,59,40,1
Clifford Robinson,31,PHO,SF,80,64,2359,0,0,49,48,3
Billy Owens,28,SAC,SF,78,78,2348,0,0,95,5,0
Joe Smith,22,2TM,PF,79,55,2344,0,0,19,80,2
Joe Smith,22,GSW,PF,49,49,1645,0,0,12,87,1
Joe Smith,22,PHI,PF,30,6,699,0,0,35,63,2
Jayson Williams,29,NJN,C,65,65,2343,0,0,0,2,98
Walter McCarty,23,BOS,SF,82,64,2340,0,0,77,23,0
Arvydas Sabonis,33,POR,C,73,73,2333,0,0,0,0,100
Joe Dumars,34,DET,SG,72,72,2326,45,55,0,0,0
Keith Van Horn,22,NJN,PF,62,62,2325,0,0,4,93,3
Clarence Weatherspoon,27,2TM,PF,79,49,2325,0,0,17,81,2
Clarence Weatherspoon,27,PHI,PF,48,18,1290,0,0,6,92,3
Clarence Weatherspoon,27,GSW,PF,31,31,1035,0,0,32,68,0
Charlie Ward,27,NYK,PG,82,82,2317,100,0,0,0,0
Darrick Martin,26,LAC,PG,82,63,2299,100,0,0,0,0
Glenn Robinson,25,MIL,SF,56,56,2294,0,0,92,8,0
Dennis Scott,29,2TM,SF,81,45,2290,0,2,67,31,1
Dennis Scott,29,DAL,SF,52,42,1797,0,2,64,33,1
Dennis Scott,29,PHO,SF,29,3,493,0,1,78,21,1
Ron Harper,34,CHI,PG,82,82,2284,70,29,1,0,0
Christian Laettner,28,ATL,PF,74,49,2282,0,0,0,73,27
Anthony Johnson,23,SAC,PG,77,62,2266,82,18,0,0,0
Isaac Austin,28,2TM,C,78,50,2266,0,0,0,3,97
Isaac Austin,28,MIA,C,52,25,1371,0,0,0,1,99
Isaac Austin,28,LAC,C,26,25,895,0,0,0,6,95
Rex Chapman,30,PHO,SG,68,67,2263,0,76,24,0,0
Ervin Johnson,30,MIL,C,81,81,2261,0,0,0,0,100
Charles Barkley,34,HOU,PF,68,41,2243,0,0,0,93,7
Sam Mitchell,34,MIN,SF,81,33,2239,0,2,88,10,0
Toni Kukoč,29,CHI,SF,74,52,2235,0,0,45,54,1
Tracy Murray,26,WAS,SF,82,12,2227,0,8,68,23,1
Jaren Jackson,30,SAS,SG,82,45,2226,0,88,12,0,0
Bryon Russell,27,UTA,SF,82,7,2219,0,2,90,8,0
Matt Maloney,26,HOU,PG,78,78,2217,96,4,0,0,0
Chauncey Billups,21,2TM,PG,80,70,2216,98,2,0,0,0
Chauncey Billups,21,BOS,PG,51,44,1296,97,3,0,0,0
Chauncey Billups,21,TOR,PG,29,26,920,99,2,0,0,0
Anthony Goldwire,26,DEN,PG,82,32,2212,100,0,0,0,0
Otis Thorpe,35,2TM,PF,74,66,2197,0,0,0,71,29
Otis Thorpe,35,VAN,PF,47,46,1574,0,0,0,90,10
Otis Thorpe,35,SAC,PF,27,20,623,0,0,0,24,76
Robert Horry,27,LAL,PF,72,71,2192,0,0,6,93,1
Antonio Davis,29,IND,PF,82,12,2191,0,0,1,63,37
John Starks,32,NYK,SG,82,10,2188,3,94,3,0,0
Chris Mills,28,NYK,SF,80,29,2183,0,0,86,14,0
Chris Mullin,34,IND,SF,82,82,2177,0,6,94,0,0
Johnny Newman,34,DEN,SF,74,15,2176,0,25,72,3,0
Shaquille O'Neal,25,LAL,C,60,57,2175,0,0,0,0,100
Dale Davis,28,IND,C,78,78,2174,0,0,0,61,39
Derrick Coleman,30,PHI,PF,59,58,2135,0,0,0,71,30
Armen Gilliam,33,MIL,PF,82,25,2114,0,0,11,85,4
Rik Smits,31,IND,C,73,69,2085,0,0,0,0,100
Lorenzen Wright,22,LAC,C,69,38,2067,0,0,0,38,62
Tyrone Hill,29,MIL,PF,57,56,2064,0,0,1,70,29
Kobe Bryant,19,LAL,SF,79,1,2056,0,43,57,0,0
Nick Van Exel,26,LAL,PG,64,46,2053,100,0,0,0,0
Adam Keefe,27,UTA,C,80,75,2047,0,0,1,70,30
Bobby Jackson,24,DEN,PG,68,53,2042,67,33,1,0,0
Marcus Camby,23,TOR,C,63,58,2002,0,0,7,45,48
Alan Henderson,25,ATL,PF,69,33,2000,0,0,5,91,4
Mario Elie,34,HOU,SF,73,59,1988,2,35,63,0,0
