Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Mikal Bridges,25,PHO,SF,82,82,2854,0,8,88,3,0
Miles Bridges,23,CHO,PF,80,80,2837,0,0,21,69,10
DeMar DeRozan,32,CHI,PF,76,76,2743,0,0,11,81,8
Jayson Tatum,23,BOS,SF,76,76,2731,0,1,67,32,0
Saddiq Bey,22,DET,SF,82,82,2704,0,7,59,34,0
Tyrese Haliburton,21,2TM,PG,77,77,2695,33,63,4,0,0
Tyrese Haliburton,21,SAC,SG,51,51,1757,18,78,4,0,0
Tyrese Haliburton,21,IND,PG,26,26,938,62,35,4,0,0
Russell Westbrook,33,LAL,PG,78,78,2678,89,11,1,0,0
Trae Young,23,ATL,PG,76,76,2652,100,0,0,0,0
Tyrese Maxey,21,PHI,PG,75,74,2650,99,1,0,0,0
Dorian Finney-Smith,28,DAL,PF,80,80,2644,0,0,33,65,2
Scottie Barnes,20,TOR,PF,74,74,2617,0,1,38,54,7
Harrison Barnes,29,SAC,PF,77,77,2580,0,0,50,50,1
Pascal Siakam,27,TOR,PF,68,68,2578,0,0,1,62,37
Julius Randle,27,NYK,PF,72,72,2544,0,0,1,92,7
Tobias Harris,29,PHI,PF,73,73,2543,0,0,0,97,3
Jalen Brunson,25,DAL,SG,79,61,2524,35,61,5,0,0
Buddy Hield,29,2TM,SG,81,32,2499,0,35,62,3,0
Buddy Hield,29,SAC,SG,55,6,1574,0,31,66,3,0
Buddy Hield,29,IND,SG,26,26,925,0,41,57,2,0
Nikola Jokić,26,DEN,C,74,74,2476,0,0,0,0,100
Karl-Anthony Towns,26,MIN,C,74,74,2476,0,0,0,0,100
Anthony Edwards,20,MIN,SG,72,72,2466,2,25,70,4,0
Fred VanVleet,27,TOR,PG,65,65,2462,97,3,0,0,0
Terry Rozier,27,CHO,SG,73,73,2458,31,69,0,0,0
Gary Trent Jr.,23,TOR,SG,70,69,2448,13,84,2,0,0
Darius Garland,22,CLE,PG,68,68,2430,95,5,0,0,0
Franz Wagner,20,ORL,SF,79,79,2429,0,1,74,25,0
LaMelo Ball,20,CHO,PG,75,75,2422,94,6,0,0,0
James Harden,32,2TM,PG,65,65,2419,59,40,1,0,0
James Harden,32,BRK,PG,44,44,1627,73,26,1,0,0
James Harden,32,PHI,PG,21,21,792,30,71,0,0,0
Nikola Vučević,31,CHI,C,73,73,2418,0,0,0,0,100
RJ Barrett,21,NYK,SF,70,70,2417,0,2,93,5,0
Royce O'Neale,28,UTA,SF,77,77,2406,0,18,78,5,0
Keldon Johnson,22,SAS,SF,75,74,2392,0,2,41,56,1
Aaron Gordon,26,DEN,PF,75,75,2376,0,0,3,86,11
Dejounte Murray,25,SAS,PG,68,68,2366,92,8,0,0,0
Evan Fournier,29,NYK,SG,80,80,2358,0,72,28,0,0
Patty Mills,33,BRK,SG,81,48,2346,25,62,12,0,0
Devin Booker,25,PHO,SG,68,68,2345,4,81,15,0,0
Reggie Jackson,31,LAC,SG,75,75,2337,76,24,0,0,0
Herbert Jones,23,NOP,PF,78,69,2335,0,0,23,75,2
Evan Mobley,20,CLE,PF,69,69,2331,0,0,1,76,23
Andrew Wiggins,26,GSW,SF,73,73,2330,0,2,64,32,2
Kentavious Caldwell-Pope,28,WAS,SG,77,77,2329,1,51,48,0,0
Zach LaVine,26,CHI,SG,67,67,2328,1,50,48,2,0
Alec Burks,30,NYK,SG,81,44,2318,35,35,30,0,0
Terance Mann,25,LAC,SF,81,33,2317,0,19,61,19,0
Luka Dončić,22,DAL,PG,65,65,2301,80,19,0,0,0
Joel Embiid,27,PHI,C,68,68,2297,0,0,0,0,100
Marcus Smart,27,BOS,PG,71,71,2296,63,37,0,0,0
Jordan Poole,22,GSW,SG,76,51,2283,33,62,5,0,0
Will Barton,31,DEN,SG,71,71,2277,0,65,34,1,0
Desmond Bane,23,MEM,SG,76,76,2266,0,58,41,1,0
Donovan Mitchell,25,UTA,SG,67,67,2266,44,55,1,0,0
Jonas Valančiūnas,29,NOP,C,74,74,2240,0,0,0,0,100
Monte Morris,26,DEN,PG,75,74,2239,91,9,0,0,0
Jaylen Brown,25,BOS,SF,66,66,2220,0,45,47,8,0
Stephen Curry,33,GSW,PG,64,64,2211,97,3,0,0,0
Jrue Holiday,31,MIL,PG,67,64,2208,75,25,0,0,0
Giannis Antetokounmpo,27,MIL,PF,67,67,2204,0,0,1,65,34
Kyle Kuzma,26,WAS,PF,66,66,2204,0,0,3,85,12
Derrick White,27,2TM,SG,75,52,2199,15,80,5,0,0
Derrick White,27,SAS,SG,49,48,1486,16,78,6,0,0
Derrick White,27,BOS,SG,26,4,713,13,85,1,0,0
Kevin Huerter,23,ATL,SF,74,60,2188,0,58,42,1,0
Devonte' Graham,26,NOP,PG,76,63,2162,93,7,0,0,0
Tyler Herro,22,MIA,SG,66,10,2151,25,68,7,0,0
CJ McCollum,30,2TM,PG,62,62,2145,19,76,5,0,0
CJ McCollum,30,POR,SG,36,36,1267,4,90,7,0,0
CJ McCollum,30,NOP,PG,26,26,878,41,57,1,0,0
Jordan Clarkson,29,UTA,SG,79,1,2141,1,87,12,0,0
Khris Middleton,30,MIL,SF,66,66,2141,0,10,58,30,2
Malik Monk,23,LAL,SG,76,37,2139,21,55,24,0,0
Chris Paul,36,PHO,PG,65,65,2139,100,0,0,0,0
Jalen Green,19,HOU,SG,67,67,2138,19,78,3,0,0
Domantas Sabonis,25,2TM,PF,62,61,2136,0,0,0,44,56
Domantas Sabonis,25,IND,PF,47,46,1632,0,0,0,51,49
Domantas Sabonis,25,SAC,PF,15,15,504,0,0,0,20,80
