Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
James Harden,26,HOU,SG,82,82,3125,2,77,21,1,0
Gordon Hayward,25,UTA,SF,80,80,2893,0,12,86,3,0
Kemba Walker,25,CHO,PG,81,81,2885,98,2,0,0,0
Trevor Ariza,30,HOU,SF,81,81,2859,0,0,58,41,1
Marcus Morris,26,DET,SF,80,80,2856,0,0,91,9,0
Khris Middleton,24,MIL,SG,79,79,2852,0,2,81,17,0
Kyle Lowry,29,TOR,PG,77,77,2851,100,0,0,0,0
Andrew Wiggins,20,MIN,SF,81,81,2845,0,47,52,1,0
Giannis Antetokounmpo,21,MIL,PG,80,79,2823,40,59,1,0,0
Paul George,25,IND,SF,81,81,2819,0,0,61,39,1
Draymond Green,25,GSW,PF,81,81,2808,0,0,0,80,20
DeMar DeRozan,26,TOR,SG,78,78,2804,0,68,32,0,0
Kentavious Caldwell-Pope,22,DET,SG,76,76,2789,0,100,0,0,0
John Wall,25,WAS,PG,77,77,2784,79,21,0,0,0
CJ McCollum,24,POR,SG,80,80,2780,34,66,0,0,0
Russell Westbrook,27,OKC,PG,80,80,2750,94,7,0,0,0
Monta Ellis,30,IND,SG,81,81,2734,14,86,1,0,0
LeBron James,31,CLE,SF,76,76,2709,0,0,77,23,0
Joe Johnson,34,2TM,SF,81,81,2703,0,0,83,17,0
Joe Johnson,34,BRK,SF,57,57,1934,0,0,91,9,0
Joe Johnson,34,MIA,SF,24,24,769,0,0,65,35,0
Stephen Curry,27,GSW,PG,79,79,2700,100,0,0,0,0
Damian Lillard,25,POR,PG,75,75,2676,98,2,0,0,0
Andre Drummond,22,DET,C,81,81,2666,0,0,0,0,100
Klay Thompson,25,GSW,SG,80,80,2666,1,79,20,0,0
Paul Millsap,30,ATL,PF,81,81,2647,0,0,2,92,6
Isaiah Thomas,26,BOS,PG,82,79,2644,100,0,0,0,0
Wesley Matthews,29,DAL,SF,78,78,2644,0,35,63,2,0
Al Horford,29,ATL,C,82,82,2631,0,0,0,10,90
Karl-Anthony Towns,20,MIN,C,82,82,2627,0,0,0,2,98
DeAndre Jordan,27,LAC,C,77,77,2598,0,0,0,0,100
Kevin Durant,27,OKC,SF,72,72,2578,0,0,74,26,0
Evan Fournier,23,ORL,SF,79,71,2566,1,51,47,1,0
Jordan Clarkson,23,LAL,SG,79,79,2552,3,96,1,0,0
Rodney Hood,23,UTA,SG,79,79,2541,4,89,7,0,0
P.J. Tucker,30,PHO,SF,82,80,2540,0,6,89,5,0
Rajon Rondo,29,SAC,PG,72,72,2537,58,42,0,0,0
Avery Bradley,25,BOS,SG,76,72,2536,10,76,14,0,0
