Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Damian Lillard,22,POR,PG,82,82,3167,94.0,6.0,0.0,0.0,0.0
Kevin Durant,24,OKC,SF,81,81,3119,0.0,0.0,77.0,23.0,0.0
Monta Ellis,27,MIL,SG,82,82,3076,24.0,76.0,0.0,0.0,0.0
DeMar DeRozan,23,TOR,SG,82,82,3013,0.0,80.0,20.0,0.0,0.0
Kobe Bryant,34,LAL,SG,78,78,3013,0.0,67.0,32.0,1.0,0.0
James Harden,23,HOU,SG,78,78,2985,0.0,94.0,5.0,0.0,0.0
Stephen Curry,24,GSW,PG,78,78,2983,100.0,0.0,0.0,0.0,0.0
Paul George,22,IND,SF,79,79,2972,0.0,2.0,98.0,0.0,0.0
Klay Thompson,22,GSW,SG,82,82,2936,0.0,61.0,39.0,0.0,0.0
Jrue Holiday,22,PHI,PG,78,78,2926,99.0,1.0,0.0,0.0,0.0
O.J. Mayo,25,DAL,SG,82,82,2913,0.0,97.0,3.0,0.0,0.0
David Lee,29,GSW,PF,79,79,2907,0.0,0.0,0.0,94.0,6.0
Luol Deng,27,CHI,SF,75,75,2903,0.0,0.0,81.0,19.0,0.0
Brandon Jennings,23,MIL,PG,80,80,2897,99.0,1.0,0.0,0.0,0.0
Evan Turner,24,PHI,SF,82,82,2892,0.0,25.0,71.0,4.0,0.0
LeBron James,28,MIA,PF,76,76,2877,0.0,0.0,9.0,82.0,9.0
Russell Westbrook,24,OKC,PG,82,82,2861,99.0,1.0,0.0,0.0,0.0
Kemba Walker,22,CHA,PG,82,82,2859,100.0,0.0,0.0,0.0,0.0
Deron Williams,28,BRK,PG,78,78,2842,79.0,21.0,0.0,0.0,0.0
Nicolas Batum,24,POR,SF,73,73,2807,0.0,10.0,88.0,2.0,0.0
Marc Gasol,28,MEM,C,80,80,2796,0.0,0.0,0.0,0.0,100.0
LaMarcus Aldridge,27,POR,PF,74,74,2790,0.0,0.0,0.0,84.0,16.0
Andre Iguodala,29,DEN,SG,80,80,2779,3.0,86.0,11.0,0.0,0.0
Chandler Parsons,24,HOU,SF,76,76,2758,0.0,1.0,72.0,26.0,0.0
Mike Conley,25,MEM,PG,80,80,2757,100.0,0.0,0.0,0.0,0.0
Al Horford,26,ATL,C,74,74,2756,0.0,0.0,0.0,27.0,73.0
Dwight Howard,27,LAL,C,76,76,2722,0.0,0.0,0.0,0.0,100.0
Greg Monroe,22,DET,C,81,81,2687,0.0,0.0,0.0,17.0,83.0
Rudy Gay,26,2TM,SF,75,74,2687,0.0,0.0,80.0,19.0,0.0
Rudy Gay,26,MEM,SF,42,42,1541,0.0,0.0,94.0,6.0,0.0
Rudy Gay,26,TOR,SF,33,32,1146,0.0,0.0,62.0,38.0,0.0
Greivis Vásquez,26,NOH,PG,78,78,2685,92.0,9.0,0.0,0.0,0.0
Josh Smith,27,ATL,PF,76,76,2683,0.0,0.0,13.0,77.0,10.0
J.R. Smith,27,NYK,SG,80,0,2678,0.0,53.0,45.0,2.0,0.0
Joe Johnson,31,BRK,SG,72,72,2642,0.0,55.0,45.0,0.0,0.0
Jeremy Lin,24,HOU,PG,82,82,2640,88.0,13.0,0.0,0.0,0.0
Tayshaun Prince,32,2TM,SF,82,81,2631,0.0,2.0,92.0,6.0,0.0
Tayshaun Prince,32,DET,SF,45,45,1457,0.0,3.0,95.0,2.0,0.0
Tayshaun Prince,32,MEM,SF,37,36,1174,0.0,1.0,88.0,11.0,0.0
Thaddeus Young,24,PHI,PF,76,76,2629,0.0,0.0,0.0,97.0,3.0
Jeff Teague,24,ATL,PG,80,78,2628,99.0,1.0,0.0,0.0,0.0
George Hill,26,IND,PG,76,76,2620,95.0,5.0,0.0,0.0,0.0
Zach Randolph,31,MEM,PF,76,75,2607,0.0,0.0,0.0,85.0,15.0
Blake Griffin,23,LAC,PF,80,80,2598,0.0,0.0,0.0,76.0,24.0
Goran Dragić,26,PHO,PG,77,77,2581,97.0,3.0,0.0,0.0,0.0
Al Jefferson,28,UTA,C,78,78,2578,0.0,0.0,0.0,0.0,100.0
Paul Pierce,35,BOS,SF,77,77,2575,0.0,10.0,86.0,4.0,0.0
Tristan Thompson,21,CLE,PF,82,82,2564,0.0,0.0,0.0,84.0,16.0
Nikola Vučević,22,ORL,C,77,77,2559,0.0,0.0,0.0,0.0,100.0
Carlos Boozer,31,CHI,PF,79,79,2546,0.0,0.0,0.0,76.0,24.0
Alonzo Gee,25,CLE,SF,82,82,2541,0.0,15.0,83.0,2.0,0.0
Metta World Peace,33,LAL,SF,75,66,2530,0.0,1.0,83.0,16.0,0.0
Ty Lawson,25,DEN,PG,73,71,2513,100.0,0.0,0.0,0.0,0.0
Ryan Anderson,24,NOH,PF,81,22,2503,0.0,0.0,2.0,89.0,10.0
Serge Ibaka,23,OKC,PF,80,80,2486,0.0,0.0,0.0,91.0,9.0
Carmelo Anthony,28,NYK,PF,67,67,2482,0.0,0.0,18.0,78.0,3.0
Luke Ridnour,31,MIN,SG,82,82,2474,36.0,60.0,4.0,0.0,0.0
Ömer Aşık,26,HOU,C,82,82,2464,0.0,0.0,0.0,0.0,100.0
Chris Bosh,28,MIA,C,74,74,2454,0.0,0.0,0.0,0.0,100.0
David West,32,IND,PF,73,73,2435,0.0,0.0,0.0,97.0,3.0
Joakim Noah,27,CHI,C,66,64,2426,0.0,0.0,0.0,0.0,100.0
Wesley Matthews,26,POR,SG,69,69,2403,0.0,85.0,15.0,0.0,0.0
Dwyane Wade,31,MIA,SG,69,69,2391,13.0,87.0,0.0,0.0,0.0
JJ Redick,28,2TM,SG,78,13,2379,23.0,69.0,8.0,0.0,0.0
JJ Redick,28,ORL,SG,50,11,1575,35.0,65.0,0.0,0.0,0.0
JJ Redick,28,MIL,SG,28,2,804,0.0,78.0,22.0,0.0,0.0
Paul Millsap,27,UTA,PF,78,78,2375,0.0,0.0,5.0,94.0,1.0
Darren Collison,25,DAL,PG,81,47,2372,98.0,2.0,0.0,0.0,0.0
Brandon Knight,21,DET,PG,75,75,2365,91.0,9.0,0.0,0.0,0.0
Jarrett Jack,29,GSW,SG,79,4,2349,34.0,66.0,0.0,0.0,0.0
Chris Paul,27,LAC,PG,70,70,2335,100.0,0.0,0.0,0.0,0.0
Amir Johnson,25,TOR,PF,81,38,2325,0.0,0.0,0.0,66.0,34.0
J.J. Hickson,24,POR,C,80,80,2323,0.0,0.0,0.0,7.0,93.0
Raymond Felton,28,NYK,PG,68,68,2313,100.0,0.0,0.0,0.0,0.0
Danilo Gallinari,24,DEN,SF,71,71,2309,0.0,0.0,69.0,31.0,0.0
Arron Afflalo,27,ORL,SF,64,64,2307,1.0,48.0,49.0,3.0,0.0
Kyle Singler,24,DET,SF,82,74,2293,0.0,38.0,60.0,2.0,0.0
DeMarcus Cousins,22,SAC,C,75,74,2289,0.0,0.0,0.0,0.0,100.0
Jason Thompson,26,SAC,PF,82,81,2285,0.0,0.0,0.0,82.0,18.0
Lance Stephenson,22,IND,SG,78,72,2278,0.0,95.0,4.0,0.0,0.0
John Salmons,33,SAC,SF,76,72,2278,0.0,4.0,91.0,6.0,0.0
Roy Hibbert,26,IND,C,79,79,2269,0.0,0.0,0.0,0.0,100.0
Kyle Korver,31,ATL,SF,74,60,2259,0.0,22.0,78.0,0.0,0.0
Brook Lopez,24,BRK,C,74,74,2253,0.0,0.0,0.0,0.0,100.0
Jeff Green,26,BOS,PF,81,17,2252,0.0,0.0,21.0,61.0,19.0
Randy Foye,29,UTA,SG,82,72,2249,11.0,89.0,0.0,0.0,0.0
Kenneth Faried,23,DEN,PF,80,80,2248,0.0,0.0,0.0,79.0,21.0
Brandon Bass,27,BOS,PF,81,69,2239,0.0,0.0,28.0,71.0,1.0
Spencer Hawes,24,PHI,C,82,40,2233,0.0,0.0,0.0,0.0,100.0
Jamal Crawford,32,LAC,SG,76,0,2230,6.0,86.0,8.0,0.0,0.0
Thabo Sefolosha,28,OKC,SG,81,81,2229,0.0,68.0,31.0,1.0,0.0
Danny Green,25,SAS,SG,80,80,2201,0.0,61.0,38.0,1.0,0.0
Martell Webster,26,WAS,SF,76,62,2200,0.0,17.0,81.0,2.0,0.0
Bismack Biyombo,20,CHA,C,80,65,2186,0.0,0.0,0.0,5.0,95.0
Luis Scola,32,PHO,PF,82,67,2184,0.0,0.0,0.0,91.0,9.0
Tony Parker,30,SAS,PG,66,66,2174,98.0,2.0,0.0,0.0,0.0
Rodney Stuckey,26,DET,SG,76,24,2171,12.0,77.0,11.0,0.0,0.0
Jared Dudley,27,PHO,SF,79,50,2170,0.0,19.0,77.0,3.0,0.0
Tyson Chandler,30,NYK,C,66,66,2164,0.0,0.0,0.0,0.0,100.0
José Calderón,31,2TM,PG,73,58,2160,62.0,37.0,0.0,0.0,0.0
José Calderón,31,TOR,PG,45,30,1273,82.0,18.0,0.0,0.0,0.0
José Calderón,31,DET,PG,28,28,887,35.0,65.0,0.0,0.0,0.0
Andre Miller,36,DEN,PG,82,11,2151,60.0,40.0,0.0,0.0,0.0
Robin Lopez,24,NOH,C,82,82,2136,0.0,0.0,0.0,0.0,100.0
Kevin Martin,29,OKC,SG,77,0,2136,0.0,73.0,26.0,1.0,0.0
Jimmy Butler,23,CHI,SF,82,20,2134,0.0,27.0,70.0,3.0,0.0
Gerald Henderson,25,CHA,SG,68,58,2133,1.0,52.0,46.0,1.0,0.0
Jason Terry,35,BOS,SG,79,24,2124,36.0,62.0,1.0,0.0,0.0
Isaiah Thomas,23,SAC,PG,79,62,2122,99.0,1.0,0.0,0.0,0.0
Tony Allen,31,MEM,SG,79,79,2109,1.0,89.0,10.0,0.0,0.0
Gordon Hayward,22,UTA,SF,72,27,2104,0.0,27.0,73.0,0.0,0.0
Vince Carter,36,DAL,SF,81,3,2093,0.0,29.0,69.0,2.0,0.0
Nate Robinson,28,CHI,PG,82,23,2086,100.0,0.0,0.0,0.0,0.0
Tim Duncan,36,SAS,C,69,69,2078,0.0,0.0,0.0,0.0,100.0
Gerald Wallace,30,BRK,SF,69,68,2076,0.0,1.0,79.0,21.0,0.0
Mario Chalmers,26,MIA,PG,77,77,2068,98.0,2.0,0.0,0.0,0.0
Al-Farouq Aminu,22,NOH,SF,76,71,2066,0.0,0.0,94.0,5.0,1.0
Harrison Barnes,20,GSW,SF,81,81,2058,0.0,1.0,88.0,10.0,0.0
Matt Barnes,32,LAC,SF,80,4,2058,0.0,14.0,83.0,3.0,0.0
Emeka Okafor,30,WAS,C,79,77,2052,0.0,0.0,0.0,19.0,81.0
Kyrie Irving,20,CLE,PG,59,59,2048,89.0,11.0,0.0,0.0,0.0
Jason Kidd,39,NYK,SG,76,48,2043,31.0,68.0,2.0,0.0,0.0
Ray Allen,37,MIA,SG,79,0,2035,2.0,68.0,30.0,0.0,0.0
Andrei Kirilenko,31,MIN,SF,64,64,2034,0.0,1.0,94.0,5.0,0.0
Tyler Zeller,23,CLE,C,77,55,2033,0.0,0.0,0.0,0.0,100.0
Michael Kidd-Gilchrist,19,CHA,SF,78,77,2025,0.0,0.0,80.0,20.0,0.0
Kevin Garnett,36,BOS,C,68,68,2022,0.0,0.0,0.0,5.0,95.0
Kyle Lowry,26,TOR,PG,68,52,2020,96.0,4.0,0.0,0.0,0.0
Tyreke Evans,23,SAC,SG,65,61,2016,1.0,69.0,29.0,1.0,0.0
Ersan İlyasova,25,MIL,PF,73,54,2012,0.0,0.0,0.0,98.0,2.0
DeAndre Jordan,24,LAC,C,82,82,2010,0.0,0.0,0.0,1.0,99.0
Dante Cunningham,25,MIN,PF,80,9,2010,0.0,0.0,16.0,82.0,2.0
Shawn Marion,34,DAL,PF,67,67,2010,0.0,0.0,40.0,59.0,2.0
Corey Brewer,26,DEN,SF,82,2,2003,0.0,15.0,80.0,5.0,0.0
Tiago Splitter,28,SAS,PF,81,58,1997,0.0,0.0,0.0,41.0,59.0
Jameer Nelson,30,ORL,PG,56,56,1977,99.0,1.0,0.0,0.0,0.0
Maurice Harkless,19,ORL,SF,76,59,1974,0.0,8.0,82.0,11.0,0.0
Reggie Evans,32,BRK,PF,80,56,1967,0.0,0.0,0.0,97.0,3.0
Nikola Peković,27,MIN,C,62,62,1959,0.0,0.0,0.0,0.0,100.0
Kendrick Perkins,28,OKC,C,78,78,1954,0.0,0.0,0.0,0.0,100.0
Mike Dunleavy,32,MIL,SF,75,3,1943,0.0,0.0,78.0,22.0,0.0
Courtney Lee,27,BOS,SG,78,39,1941,3.0,83.0,14.0,0.0,0.0
Larry Sanders,24,MIL,C,71,55,1937,0.0,0.0,0.0,5.0,95.0
Derrick Williams,21,MIN,PF,78,56,1916,0.0,0.0,2.0,83.0,15.0
P.J. Tucker,27,PHO,SG,79,45,1910,0.0,78.0,21.0,1.0,0.0
Marco Belinelli,26,CHI,SG,73,27,1882,1.0,94.0,5.0,0.0,0.0
Caron Butler,32,LAC,SF,78,78,1879,0.0,1.0,95.0,4.0,0.0
Carl Landry,29,GSW,PF,81,2,1876,0.0,0.0,0.0,30.0,70.0
Marcin Gortat,28,PHO,C,61,61,1876,0.0,0.0,0.0,0.0,100.0
Anthony Davis,19,NOH,PF,64,60,1846,0.0,0.0,0.0,61.0,39.0
Alexey Shved,24,MIN,SG,77,16,1840,2.0,77.0,22.0,0.0,0.0
Markieff Morris,23,PHO,PF,82,32,1837,0.0,0.0,0.0,67.0,33.0
Kosta Koufos,23,DEN,C,81,81,1817,0.0,0.0,0.0,8.0,92.0
Kawhi Leonard,21,SAS,SF,58,57,1810,0.0,3.0,92.0,5.0,0.0
Jason Maxiell,29,DET,PF,72,71,1789,0.0,0.0,1.0,99.0,1.0
Derrick Favors,21,UTA,PF,77,8,1787,0.0,0.0,0.0,80.0,20.0
Shane Battier,34,MIA,SF,72,20,1786,0.0,0.0,79.0,21.0,0.0
Dorell Wright,27,PHI,SF,79,8,1783,0.0,0.0,75.0,24.0,0.0
Patrick Patterson,23,2TM,PF,71,41,1775,0.0,0.0,3.0,90.0,7.0
Patrick Patterson,23,HOU,PF,47,38,1219,0.0,0.0,4.0,88.0,9.0
Patrick Patterson,23,SAC,PF,24,3,556,0.0,0.0,0.0,97.0,4.0
Jerryd Bayless,24,MEM,PG,80,4,1765,58.0,42.0,0.0,0.0,0.0
Kirk Hinrich,32,CHI,PG,60,60,1764,85.0,15.0,0.0,0.0,0.0
Dion Waiters,21,CLE,SG,61,48,1756,1.0,92.0,7.0,0.0,0.0
Bradley Beal,19,WAS,SG,56,46,1745,10.0,85.0,5.0,0.0,0.0
Marvin Williams,26,UTA,SF,73,51,1727,0.0,0.0,96.0,4.0,0.0
Marcus Thornton,25,SAC,SG,72,8,1726,6.0,83.0,11.0,0.0,0.0
Kevin Séraphin,23,WAS,C,79,8,1721,0.0,0.0,0.0,1.0,99.0
J.J. Barea,28,MIN,PG,74,2,1713,100.0,0.0,0.0,0.0,0.0
Boris Diaw,30,SAS,PF,75,20,1709,0.0,0.0,2.0,87.0,11.0
Jordan Crawford,24,2TM,SG,70,14,1709,32.0,64.0,3.0,0.0,0.0
Jordan Crawford,24,WAS,SG,43,12,1127,39.0,62.0,0.0,0.0,0.0
Jordan Crawford,24,BOS,SG,27,2,582,20.0,70.0,10.0,0.0,0.0
Ricky Rubio,22,MIN,PG,57,47,1691,73.0,27.0,0.0,0.0,0.0
Carlos Delfino,30,HOU,SF,67,5,1689,0.0,19.0,77.0,5.0,0.0
E'Twaun Moore,23,ORL,SG,75,21,1682,25.0,65.0,10.0,0.0,0.0
Lavoy Allen,23,PHI,C,79,37,1669,0.0,0.0,0.0,28.0,72.0
Jodie Meeks,25,LAL,SG,78,10,1663,7.0,84.0,9.0,0.0,0.0
Dirk Nowitzki,34,DAL,PF,53,47,1661,0.0,0.0,0.0,96.0,4.0
Wayne Ellington,25,2TM,SG,78,21,1661,6.0,87.0,7.0,0.0,0.0
Wayne Ellington,25,MEM,SG,40,4,676,3.0,92.0,6.0,0.0,0.0
Wayne Ellington,25,CLE,SG,38,17,985,8.0,85.0,8.0,0.0,0.0
Nenê,30,WAS,PF,61,49,1659,0.0,0.0,0.0,77.0,23.0
Pau Gasol,32,LAL,PF,49,42,1655,0.0,0.0,0.0,60.0,40.0
Ramon Sessions,26,CHA,SG,61,0,1652,46.0,54.0,0.0,0.0,0.0
Steve Novak,29,NYK,SF,81,1,1641,0.0,0.0,58.0,42.0,0.0
Antawn Jamison,36,LAL,PF,76,6,1636,0.0,0.0,33.0,65.0,2.0
Ed Davis,23,2TM,PF,81,28,1631,0.0,0.0,0.0,36.0,64.0
Ed Davis,23,TOR,C,45,24,1087,0.0,0.0,0.0,32.0,68.0
Ed Davis,23,MEM,PF,36,4,544,0.0,0.0,0.0,44.0,56.0
