Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Andrew Wiggins,21,MIN,SF,82,82,3048,0,20,79,1,0
Karl-Anthony Towns,21,MIN,C,82,82,3030,0,0,0,5,95
James Harden,27,HOU,PG,81,81,2947,98,1,0,0,0
Giannis Antetokounmpo,22,MIL,SF,80,80,2845,0,3,66,31,0
John Wall,26,WAS,PG,78,78,2836,95,6,0,0,0
Jimmy Butler,27,CHI,SF,76,75,2809,0,15,82,3,0
Harrison Barnes,24,DAL,PF,79,79,2803,0,0,8,91,1
Russell Westbrook,28,OKC,PG,81,81,2802,91,9,0,0,0
CJ McCollum,25,POR,SG,80,80,2796,30,70,1,0,0
LeBron James,32,CLE,SF,74,74,2794,0,0,57,40,3
Trevor Ariza,31,HOU,SF,80,80,2773,0,2,78,21,0
Rudy Gobert,24,UTA,C,81,81,2744,0,0,0,0,100
Kemba Walker,26,CHO,PG,79,79,2739,100,0,0,0,0
Devin Booker,20,PHO,SG,78,78,2730,1,79,20,0,0
Anthony Davis,23,NOP,C,75,75,2708,0,0,0,36,64
Damian Lillard,26,POR,PG,75,75,2694,97,3,0,0,0
Paul George,26,IND,SF,75,75,2689,0,0,86,14,0
Bradley Beal,23,WAS,SG,77,77,2684,3,94,3,0,0
Jeff Teague,28,IND,PG,82,82,2657,99,1,0,0,0
Gorgui Dieng,27,MIN,PF,82,82,2653,0,0,0,82,18
Klay Thompson,26,GSW,SG,78,78,2649,0,75,25,0,0
Stephen Curry,28,GSW,PG,79,79,2638,100,0,0,0,0
DeMar DeRozan,27,TOR,SG,74,74,2620,0,71,28,1,0
Nicolas Batum,28,CHO,SG,77,77,2617,0,57,42,1,0
Otto Porter Jr.,23,WAS,SF,80,80,2605,0,1,77,23,0
DeAndre Jordan,28,LAC,C,81,81,2570,0,0,0,0,100
Isaiah Thomas,27,BOS,PG,76,76,2569,100,0,0,0,0
Tobias Harris,24,DET,PF,82,48,2567,0,0,28,72,0
Marcus Morris,27,DET,SF,79,79,2565,0,1,95,5,0
Marcin Gortat,32,WAS,C,82,82,2556,0,0,0,10,90
Myles Turner,20,IND,C,81,81,2541,0,0,0,1,99
Carmelo Anthony,32,NYK,SF,74,74,2538,0,0,82,18,0
Marc Gasol,32,MEM,C,74,74,2531,0,0,0,0,100
Kentavious Caldwell-Pope,23,DET,SG,76,75,2529,0,100,0,0,0
Kyrie Irving,24,CLE,PG,72,72,2525,100,0,0,0,0
Gordon Hayward,26,UTA,SF,73,73,2516,1,50,50,0,0
Hassan Whiteside,27,MIA,C,77,77,2513,0,0,0,0,100
Wesley Matthews,30,DAL,SG,73,73,2495,0,40,60,0,0
Dennis Schröder,23,ATL,PG,79,78,2485,100,0,0,0,0
Kawhi Leonard,25,SAS,SF,74,74,2474,0,8,89,4,0
Draymond Green,26,GSW,PF,76,76,2471,0,0,35,60,5
Ricky Rubio,26,MIN,PG,75,75,2469,94,6,0,0,0
DeMarcus Cousins,26,2TM,C,72,72,2465,0,0,0,36,64
DeMarcus Cousins,26,SAC,C,55,55,1891,0,0,0,46,54
