Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Mikal Bridges,26,2TM,SG,83,83,2963,1,38,51,10,0
Mikal Bridges,26,PHO,SF,56,56,2040,0,19,66,15,0
Mikal Bridges,26,BRK,SG,27,27,923,2,80,17,1,0
Anthony Edwards,21,MIN,SG,79,79,2842,1,65,32,3,0
Zach LaVine,27,CHI,SG,77,77,2768,25,43,32,1,0
Nikola Vučević,32,CHI,C,82,82,2746,0,0,0,1,100
Julius Randle,28,NYK,PF,77,77,2737,0,0,0,96,4
Domantas Sabonis,26,SAC,C,79,79,2736,0,0,0,0,100
Jayson Tatum,24,BOS,SF,74,74,2732,0,13,53,34,0
Spencer Dinwiddie,29,2TM,SG,79,79,2725,36,54,9,1,0
Spencer Dinwiddie,29,DAL,SG,53,53,1808,5,81,13,1,0
Spencer Dinwiddie,29,BRK,PG,26,26,917,98,2,0,0,0
Evan Mobley,21,CLE,PF,79,79,2715,0,0,0,56,44
Dejounte Murray,26,ATL,SG,74,74,2693,29,70,1,0,0
DeMar DeRozan,33,CHI,SF,74,74,2682,0,0,68,32,0
Scottie Barnes,21,TOR,SF,77,76,2678,3,49,48,1,0
Harrison Barnes,30,SAC,PF,82,82,2662,0,0,16,84,0
Pascal Siakam,28,TOR,PF,71,71,2652,0,0,13,67,20
CJ McCollum,31,NOP,PG,75,75,2649,69,31,0,0,0
Franz Wagner,21,ORL,SF,80,80,2609,0,16,72,12,0
Jalen Green,20,HOU,SG,76,76,2602,21,79,0,0,0
Bam Adebayo,25,MIA,C,75,75,2598,0,0,0,0,100
Trae Young,24,ATL,PG,73,73,2541,100,0,0,0,0
Fred VanVleet,28,TOR,PG,69,69,2535,92,8,0,0,0
Buddy Hield,30,IND,SF,80,73,2482,0,21,68,12,0
RJ Barrett,22,NYK,SG,73,73,2475,0,21,78,1,0
Jordan Poole,23,GSW,PG,82,43,2458,64,36,0,0,0
Josh Hart,27,2TM,SF,76,52,2454,1,14,79,6,0
Josh Hart,27,POR,SF,51,51,1704,1,20,77,2,0
Josh Hart,27,NYK,SF,25,1,750,0,0,86,15,0
Jabari Smith Jr.,19,HOU,PF,79,79,2451,0,0,0,88,12
Trey Murphy III,22,NOP,SF,79,65,2448,0,7,62,32,0
Darius Garland,23,CLE,PG,69,69,2447,97,3,0,0,0
Tobias Harris,30,PHI,SF,74,74,2436,0,1,74,25,0
De'Aaron Fox,25,SAC,PG,73,73,2435,100,0,0,0,0
Donovan Mitchell,26,CLE,SG,68,68,2432,30,69,1,0,0
Paolo Banchero,20,ORL,PF,72,72,2430,0,0,23,74,3
Jaden McDaniels,22,MIN,SF,79,79,2416,0,7,73,20,0
Shai Gilgeous-Alexander,24,OKC,PG,68,68,2416,84,17,0,0,0
Royce O'Neale,29,BRK,SF,76,53,2409,0,24,61,15,0
Jaylen Brown,26,BOS,SF,67,67,2405,0,39,58,3,0
