Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Joe Johnson,22,PHO,SG,82,77,3331,12,72,16,0,0
Peja Stojaković,26,SAC,SF,81,81,3264,0,0,93,7,0
Stephon Marbury,26,2TM,PG,81,81,3254,97,3,0,0,0
Stephon Marbury,26,PHO,PG,34,34,1415,100,0,0,0,0
Stephon Marbury,26,NYK,PG,47,47,1839,95,5,0,0,0
Kevin Garnett,27,MIN,PF,82,82,3231,0,0,4,94,2
Cuttino Mobley,28,HOU,SG,80,80,3229,0,95,5,0,0
Shawn Marion,25,PHO,SF,79,79,3217,0,2,59,39,0
Steve Francis,26,HOU,PG,79,79,3194,91,10,0,0,0
Richard Jefferson,23,NJN,SF,82,82,3133,0,1,98,1,0
LeBron James,19,CLE,SG,79,79,3122,14,74,11,0,0
Jim Jackson,33,HOU,SF,80,80,3119,0,15,85,1,0
Damon Stoudamire,30,POR,PG,82,82,3118,100,0,0,0,0
Latrell Sprewell,33,MIN,SF,82,82,3100,0,12,86,2,0
Paul Pierce,26,BOS,SG,80,80,3099,0,54,46,0,0
Zach Randolph,22,POR,PF,81,80,3067,0,0,0,73,28
Ben Wallace,29,DET,C,81,81,3050,0,0,0,25,75
Michael Redd,24,MIL,SG,82,82,3021,0,94,6,0,0
Jason Terry,26,ATL,PG,81,78,3018,83,17,0,0,0
Lamar Odom,24,MIA,PF,80,80,3003,0,0,6,71,22
Eddie Jones,32,MIA,SG,81,81,2998,1,86,12,0,0
Carmelo Anthony,19,DEN,SF,82,82,2995,0,4,88,8,0
Donyell Marshall,30,2TM,PF,82,74,2988,0,0,3,88,10
Donyell Marshall,30,CHI,PF,16,8,408,0,0,19,72,10
Donyell Marshall,30,TOR,PF,66,66,2580,0,0,0,90,10
Mike Bibby,25,SAC,PG,82,82,2980,100,0,0,0,0
Eric Snow,30,PHI,PG,82,82,2966,100,0,0,0,0
Stephen Jackson,25,ATL,SF,80,78,2940,0,2,84,14,0
Jason Richardson,23,GSW,SG,78,78,2936,7,86,8,0,0
Rashard Lewis,24,SEA,SF,80,80,2931,0,0,79,20,1
Dirk Nowitzki,25,DAL,C,77,77,2915,0,0,0,16,84
Andrei Kirilenko,22,UTA,PF,78,78,2895,0,0,43,57,0
Juwan Howard,30,ORL,PF,81,77,2877,0,0,13,83,4
Clifford Robinson,37,GSW,PF,82,82,2846,0,0,0,81,19
Kerry Kittles,29,NJN,SG,82,82,2842,7,91,2,0,0
Antoine Walker,27,DAL,PF,82,82,2840,0,0,23,63,14
