Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Glen Rice,29,CHH,SF,79,78,3362,0,4,90,6,0
Latrell Sprewell,26,GSW,SG,80,79,3353,3,85,12,0,0
Juwan Howard,23,WSB,SF,82,82,3324,0,2,61,36,0
Damon Stoudamire,23,TOR,PG,81,81,3311,98,2,0,0,0
Gary Payton,28,SEA,PG,82,82,3213,91,9,0,0,0
Kendall Gill,28,NJN,SF,82,81,3199,0,36,64,0,0
Chris Mills,27,CLE,SF,80,79,3167,0,8,89,3,0
Jerry Stackhouse,22,PHI,SG,81,81,3166,0,73,26,0,0
Vin Baker,25,MIL,PF,78,78,3159,0,0,0,42,58
Grant Hill,24,DET,SF,80,80,3147,0,3,91,5,0
Anthony Mason,30,CHH,PF,73,73,3143,0,0,8,91,1
Christian Laettner,27,ATL,PF,82,82,3140,0,0,0,79,21
Tim Hardaway,30,MIA,PG,81,81,3136,100,0,0,0,0
Tom Gugliotta,27,MIN,PF,81,81,3131,0,0,0,78,22
Doug Christie,26,TOR,SG,81,81,3127,3,81,16,0,0
Mitch Richmond,31,SAC,SG,81,81,3125,2,91,7,0,0
Glenn Robinson,24,MIL,SF,80,79,3114,0,0,82,18,0
Michael Jordan,33,CHI,SG,82,82,3106,5,87,7,0,0
Scottie Pippen,31,CHI,SF,82,82,3095,0,8,86,7,0
Joe Smith,21,GSW,PF,80,80,3086,0,0,1,79,20
Kenny Anderson,26,POR,PG,82,81,3081,100,0,0,0,0
Clifford Robinson,30,POR,SF,81,79,3077,0,0,90,10,0
Mookie Blaylock,29,ATL,PG,78,78,3056,100,0,0,0,0
Mark Jackson,31,2TM,PG,82,82,3054,93,7,0,0,0
Mark Jackson,31,DEN,PG,52,52,2001,99,1,0,0,0
Mark Jackson,31,IND,PG,30,30,1053,82,18,0,0,0
Allen Iverson,21,PHI,PG,76,74,3045,100,0,0,0,0
Lindsey Hunter,26,DET,PG,82,76,3023,100,0,0,0,0
Kerry Kittles,22,NJN,SG,82,57,3012,23,77,1,0,0
Karl Malone,33,UTA,PF,82,82,2998,0,0,3,77,20
