Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Gilbert Arenas,24,WAS,PG,80,80,3384,100.0,0.0,0.0,0.0,0.0
LeBron James,21,CLE,SF,79,79,3361,0.0,1.0,97.0,2.0,0.0
Joe Johnson,24,ATL,SG,82,82,3340,20.0,76.0,4.0,0.0,0.0
Antawn Jamison,29,WAS,SF,82,80,3288,0.0,1.0,53.0,45.0,1.0
Kobe Bryant,27,LAL,SG,80,80,3277,1.0,89.0,10.0,0.0,0.0
Shawn Marion,27,PHO,PF,81,81,3263,0.0,1.0,32.0,65.0,2.0
Lamar Odom,26,LAL,PF,80,80,3221,0.0,0.0,12.0,78.0,10.0
Ricky Davis,26,2TM,SG,78,78,3207,0.0,49.0,46.0,5.0,0.0
Ricky Davis,26,BOS,SG,42,42,1747,0.0,85.0,14.0,1.0,0.0
Ricky Davis,26,MIN,SF,36,36,1460,0.0,5.0,85.0,9.0,0.0
Mike Bibby,27,SAC,PG,82,82,3167,100.0,0.0,0.0,0.0,0.0
Morris Peterson,28,TOR,SG,82,77,3140,0.0,82.0,18.0,0.0,0.0
Pau Gasol,25,MEM,PF,80,80,3135,0.0,0.0,0.0,57.0,43.0
Michael Redd,26,MIL,SG,80,80,3130,0.0,71.0,29.0,0.0,0.0
Allen Iverson,30,PHI,PG,72,72,3103,100.0,0.0,0.0,0.0,0.0
Elton Brand,26,LAC,PF,79,79,3099,0.0,0.0,0.0,85.0,15.0
Dirk Nowitzki,27,DAL,PF,81,81,3089,0.0,0.0,0.0,90.0,10.0
Andre Iguodala,22,PHI,SF,82,82,3086,0.0,48.0,51.0,1.0,0.0
Paul Pierce,28,BOS,SF,79,79,3084,0.0,36.0,59.0,5.0,0.0
Richard Jefferson,25,NJN,SF,78,78,3059,0.0,2.0,90.0,8.0,0.0
Ray Allen,30,SEA,SG,78,78,3022,3.0,94.0,4.0,0.0,0.0
Dwight Howard,20,ORL,PF,82,81,3021,0.0,0.0,0.0,74.0,26.0
Cuttino Mobley,30,LAC,SG,79,74,2979,0.0,38.0,62.0,1.0,0.0
Jason Kidd,32,NJN,PG,80,80,2975,100.0,0.0,0.0,0.0,0.0
Raja Bell,29,PHO,SG,79,79,2959,1.0,63.0,36.0,0.0,0.0
Kevin Garnett,29,MIN,PF,76,76,2957,0.0,0.0,0.0,84.0,16.0
Kirk Hinrich,25,CHI,PG,81,81,2955,47.0,51.0,2.0,0.0,0.0
Mehmet Okur,26,UTA,PF,82,82,2945,0.0,0.0,0.0,62.0,39.0
