Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
LeBron James,33,CLE,PF,82,82,3026,0,0,10,79,12
Khris Middleton,26,MIL,SF,82,82,2982,0,3,74,23,0
Andrew Wiggins,22,MIN,SF,82,82,2979,0,16,81,3,0
Bradley Beal,24,WAS,SG,82,82,2977,41,59,0,0,0
Jrue Holiday,27,NOP,SG,81,81,2927,1,40,59,0,0
CJ McCollum,26,POR,SG,81,81,2923,9,83,8,0,0
Karl-Anthony Towns,22,MIN,C,82,82,2918,0,0,0,0,100
Russell Westbrook,29,OKC,PG,80,80,2914,87,13,0,0,0
Paul George,27,OKC,SF,79,79,2891,0,19,81,0,0
Giannis Antetokounmpo,23,MIL,PF,75,75,2756,0,0,0,93,7
Kemba Walker,27,CHO,PG,80,80,2736,100,0,0,0,0
Ben Simmons,21,PHI,PG,81,81,2732,74,26,0,0,0
Anthony Davis,24,NOP,PF,75,75,2727,0,0,0,49,51
Taj Gibson,32,MIN,PF,82,82,2726,0,0,18,82,0
DeMar DeRozan,28,TOR,SG,80,80,2711,0,59,40,1,0
Josh Richardson,24,MIA,SF,81,81,2689,0,19,78,3,0
Will Barton,27,DEN,SG,81,40,2683,1,45,54,1,0
Damian Lillard,27,POR,PG,73,73,2670,78,22,0,0,0
Tobias Harris,25,2TM,PF,80,80,2668,0,0,14,86,0
Tobias Harris,25,DET,PF,48,48,1563,0,0,19,81,0
Tobias Harris,25,LAC,PF,32,32,1105,0,0,7,93,0
Donovan Mitchell,21,UTA,SG,79,71,2638,34,66,0,0,0
Harrison Barnes,25,DAL,PF,77,77,2634,0,0,39,61,0
Andre Drummond,24,DET,C,78,78,2625,0,0,0,0,100
Thaddeus Young,29,IND,PF,81,81,2607,0,0,0,98,2
Lou Williams,31,LAC,SG,79,19,2589,44,48,9,0,0
E'Twaun Moore,28,NOP,SG,82,80,2586,20,74,7,0,0
Joe Ingles,30,UTA,SF,82,81,2578,0,0,54,46,0
Jamal Murray,20,DEN,PG,81,80,2565,90,10,0,0,0
Victor Oladipo,25,IND,SG,75,75,2552,1,92,7,0,0
James Harden,28,HOU,SG,72,72,2551,19,75,6,0,0
Robert Covington,27,PHI,SF,80,80,2532,0,10,74,16,0
Kyle Lowry,31,TOR,PG,78,78,2510,100,0,0,0,0
LaMarcus Aldridge,32,SAS,C,75,75,2509,0,0,0,38,62
Klay Thompson,27,GSW,SG,73,73,2506,8,87,6,0,0
Carmelo Anthony,33,OKC,PF,78,78,2501,0,0,0,90,10
Steven Adams,24,OKC,C,76,76,2487,0,0,0,0,100
Taurean Prince,23,ATL,SF,82,82,2464,0,1,86,13,0
Bojan Bogdanović,28,IND,SF,80,80,2464,0,0,87,13,0
Dwight Howard,32,CHO,C,81,81,2463,0,0,0,1,99
Kentavious Caldwell-Pope,24,LAL,SG,74,74,2458,11,75,14,0,0
Jayson Tatum,19,BOS,SF,80,80,2443,0,9,70,21,0
Nikola Jokić,22,DEN,C,75,73,2443,0,0,0,0,100
Otto Porter Jr.,24,WAS,SF,77,77,2432,0,0,66,34,0
DeAndre Jordan,29,LAC,C,77,77,2424,0,0,0,0,100
Marc Gasol,33,MEM,C,73,73,2408,0,0,0,0,100
Kyle Kuzma,22,LAL,PF,77,37,2401,0,0,20,79,1
Goran Dragić,31,MIA,PG,75,75,2378,51,49,0,0,0
Dillon Brooks,22,MEM,SF,82,74,2350,0,18,72,10,0
Wilson Chandler,30,DEN,SF,74,71,2346,0,0,69,31,0
Kevin Durant,29,GSW,SF,68,68,2325,0,0,55,45,1
Eric Bledsoe,28,2TM,PG,74,74,2322,100,0,0,0,0
Eric Bledsoe,28,PHO,PG,3,3,83,88,12,0,0,0
Eric Bledsoe,28,MIL,PG,71,71,2239,100,0,0,0,0
Jeff Teague,29,MIN,PG,70,70,2311,97,3,0,0,0
Dario Šarić,23,PHI,PF,78,73,2310,0,0,1,91,8
Courtney Lee,32,NYK,SG,76,69,2310,0,45,54,2,0
