Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
LeBron James,22,CLE,SF,78,78,3190,0,0,96,4,0
Kobe Bryant,28,LAL,SG,77,77,3140,2,68,30,0,0
Vince Carter,30,NJN,SG,82,82,3126,0,72,26,2,0
Elton Brand,27,LAC,PF,80,80,3077,0,0,12,74,14
Luol Deng,21,CHI,SF,82,82,3071,0,0,83,17,0
Andre Iguodala,23,PHI,SG,76,76,3062,0,55,45,0,0
Rafer Alston,30,HOU,PG,82,82,3040,99,1,0,0,0
Dwight Howard,21,ORL,C,82,82,3023,0,0,0,0,100
Ricky Davis,27,MIN,SF,81,81,3021,0,1,97,2,0
Shawn Marion,28,PHO,SF,80,80,3010,0,4,72,24,0
Tayshaun Prince,26,DET,SF,82,82,3001,0,0,92,8,0
Kevin Garnett,30,MIN,PF,76,76,2995,0,0,0,72,29
Shane Battier,28,HOU,SF,82,82,2988,0,0,77,23,0
Andre Miller,30,2TM,PG,80,79,2966,86,14,0,0,0
Andre Miller,30,DEN,PG,23,23,822,70,30,0,0,0
Andre Miller,30,PHI,PG,57,56,2144,93,7,0,0,0
Deron Williams,22,UTA,PG,80,80,2950,97,3,0,0,0
Gilbert Arenas,25,WAS,PG,74,73,2942,100,0,0,0,0
Jason Kidd,33,NJN,PG,80,80,2933,89,11,0,0,0
Raja Bell,30,PHO,SG,78,78,2917,0,68,32,0,0
Eddy Curry,24,NYK,C,81,81,2849,0,0,0,3,97
Charlie Bell,27,MIL,SG,82,64,2848,5,82,13,0,0
Jason Terry,29,DAL,SG,81,80,2846,41,59,0,0,0
Cuttino Mobley,31,LAC,SG,78,73,2841,0,90,10,0,0
Kirk Hinrich,26,CHI,PG,80,80,2839,63,37,0,0,0
Raymond Felton,22,CHA,PG,78,75,2832,76,25,0,0,0
Dirk Nowitzki,28,DAL,PF,78,78,2820,0,0,0,86,14
Kevin Martin,23,SAC,SG,80,80,2818,12,85,3,0,0
Danny Granger,23,IND,SF,82,57,2785,0,0,85,14,0
Mike Bibby,28,SAC,PG,82,82,2784,100,0,0,0,0
Richard Hamilton,28,DET,SG,75,75,2763,1,94,5,0,0
Allen Iverson,31,2TM,SG,65,64,2761,50,50,0,0,0
Allen Iverson,31,PHI,PG,15,15,640,100,0,0,0,0
Allen Iverson,31,DEN,SG,50,49,2121,35,65,0,0,0
Stephon Marbury,29,NYK,PG,74,74,2748,82,18,0,0,0
Mike Miller,26,MEM,SG,70,69,2740,0,39,59,2,0
Tim Duncan,30,SAS,C,80,80,2726,0,0,0,29,71
Ben Gordon,23,CHI,SG,82,51,2704,8,84,8,0,0
Ben Wallace,32,CHI,C,77,77,2697,0,0,0,2,99
Amar'e Stoudemire,24,PHO,C,82,78,2689,0,0,0,2,99
Steve Nash,32,PHO,PG,76,76,2682,97,3,0,0,0
Mehmet Okur,27,UTA,C,80,80,2664,0,0,0,7,93
Antawn Jamison,30,WAS,PF,70,70,2662,0,0,14,80,7
Chris Bosh,22,TOR,C,69,69,2658,0,0,0,42,58
Jarrett Jack,23,POR,PG,79,79,2651,94,6,0,0,0
Josh Smith,21,ATL,SF,72,72,2647,0,5,65,30,0
Metta World Peace,27,SAC,SF,70,65,2641,0,1,71,28,1
Gerald Wallace,24,CHA,SF,72,71,2640,0,21,60,19,1
Monta Ellis,21,GSW,SG,77,53,2638,41,57,3,0,0
Leandro Barbosa,24,PHO,SG,80,18,2613,33,66,0,0,0
Larry Hughes,28,CLE,SG,70,68,2596,27,65,8,0,0
Chris Wilcox,24,SEA,PF,82,81,2586,0,0,0,88,12
Mike Dunleavy,26,2TM,PF,82,49,2580,0,41,23,31,6
Mike Dunleavy,26,GSW,PF,39,6,1051,0,0,12,74,14
Mike Dunleavy,26,IND,SG,43,43,1529,0,69,30,1,0
Desmond Mason,29,NOK,SF,75,75,2575,0,10,77,14,0
Al Harrington,26,2TM,PF,78,78,2563,0,0,12,65,24
Al Harrington,26,IND,PF,36,36,1208,0,0,25,63,12
Al Harrington,26,GSW,PF,42,42,1355,0,0,0,66,34
Carlos Boozer,25,UTA,PF,74,74,2557,0,0,0,89,11
Mark Blount,31,MIN,C,82,81,2544,0,0,0,0,100
Tracy McGrady,27,HOU,SG,71,71,2539,0,72,28,0,0
Samuel Dalembert,25,PHI,C,82,82,2535,0,0,0,0,100
Chauncey Billups,30,DET,PG,70,70,2533,93,7,0,0,0
Tyson Chandler,24,NOK,C,73,73,2525,0,0,0,0,100
Ruben Patterson,31,MIL,SF,81,53,2508,0,26,66,7,0
Tony Parker,24,SAS,PG,77,77,2499,99,1,0,0,0
Carmelo Anthony,22,DEN,SF,65,65,2486,0,15,81,5,0
Udonis Haslem,26,MIA,PF,79,79,2483,0,0,0,83,17
Stephen Jackson,28,2TM,SF,75,69,2479,0,38,48,14,0
Stephen Jackson,28,IND,SG,37,32,1186,0,70,30,1,0
Stephen Jackson,28,GSW,SF,38,37,1293,0,10,64,26,0
Caron Butler,26,WAS,SF,63,63,2474,0,0,77,23,0
Mo Williams,24,MIL,PG,68,68,2472,77,23,0,0,0
Bruce Bowen,35,SAS,SF,82,82,2464,0,21,74,5,0
Jermaine O'Neal,28,IND,C,69,69,2459,0,0,0,40,60
Smush Parker,25,LAL,PG,82,80,2457,98,2,0,0,0
Josh Howard,26,DAL,SF,70,69,2455,0,13,81,7,0
Anthony Parker,31,TOR,SG,73,73,2437,0,73,27,0,0
Zach Randolph,25,POR,PF,68,67,2425,0,0,0,85,15
