Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Antoine Walker,25,BOS,PF,81,81,3406,0,0,7,86,7
Tim Duncan,25,SAS,PF,82,82,3329,0,0,0,61,39
Latrell Sprewell,31,NYK,SF,81,81,3326,0,0,95,5,0
Baron Davis,22,CHH,PG,82,82,3318,89,11,0,0,0
Paul Pierce,24,BOS,SG,82,82,3302,0,74,26,0,0
Gary Payton,33,SEA,PG,82,82,3301,84,16,0,0,0
Stephon Marbury,24,PHO,PG,82,80,3187,100,0,0,0,0
Kevin Garnett,25,MIN,PF,81,81,3175,0,0,37,54,9
Eddie Jones,30,MIA,SG,81,81,3156,0,56,44,0,0
Jalen Rose,29,2TM,SF,83,83,3153,1,21,75,3,0
Jalen Rose,29,IND,SF,53,53,1937,1,28,70,1,0
Jalen Rose,29,CHI,SF,30,30,1216,0,12,83,5,0
Anthony Mason,35,MIL,PF,82,82,3143,0,0,2,74,24
Wally Szczerbiak,24,MIN,SF,82,82,3117,0,44,52,4,0
Cuttino Mobley,26,HOU,SG,74,74,3116,0,79,21,0,0
Shawn Marion,23,PHO,SF,81,81,3109,0,1,83,17,0
Shane Battier,23,MEM,SF,78,78,3097,0,43,55,2,0
Kobe Bryant,23,LAL,SG,80,80,3063,0,96,4,0,0
Jason Kidd,28,NJN,PG,82,82,3056,100,0,0,0,0
Brent Barry,30,SEA,SG,81,81,3040,0,90,9,0,0
Karl Malone,38,UTA,PF,80,80,3040,0,0,0,72,28
Antawn Jamison,25,GSW,SF,82,82,3033,0,0,74,25,1
Jeff McInnis,27,LAC,PG,81,80,3030,96,4,0,0,0
Andre Miller,25,CLE,PG,81,81,3023,97,4,0,0,0
Elton Brand,22,LAC,PF,80,80,3020,0,0,0,80,21
Pau Gasol,21,MEM,PF,82,79,3007,0,0,0,0,100
Shareef Abdur-Rahim,25,ATL,PF,77,77,2980,0,0,6,91,3
Antonio Davis,33,TOR,PF,77,77,2978,0,0,6,85,9
Jason Terry,24,ATL,SG,78,78,2967,48,52,0,0,0
Rasheed Wallace,27,POR,PF,79,79,2963,0,0,0,93,7
Alvin Williams,27,TOR,PG,82,82,2927,74,27,0,0,0
Ben Wallace,27,DET,C,80,80,2921,0,0,0,19,81
Allan Houston,30,NYK,SG,77,77,2914,0,99,1,0,0
Tracy McGrady,22,ORL,SG,76,76,2912,2,79,19,0,0
Dikembe Mutombo,35,PHI,C,80,80,2907,0,0,0,0,100
Dirk Nowitzki,23,DAL,C,76,76,2891,0,0,0,25,75
Reggie Miller,36,IND,SG,79,79,2889,6,92,3,0,0
Clifford Robinson,35,DET,PF,80,80,2855,0,0,0,93,7
Steve Nash,27,DAL,PG,82,82,2837,77,23,0,0,0
Doug Christie,31,SAC,SG,81,81,2798,0,94,6,0,0
Damon Stoudamire,28,POR,PG,75,71,2796,100,0,0,0,0
Wesley Person,30,CLE,SG,78,78,2793,2,86,11,0,0
Kurt Thomas,29,NYK,C,82,82,2771,0,0,0,31,69
Michael Finley,28,DAL,SF,69,69,2754,0,26,66,8,0
Darrell Armstrong,33,ORL,PG,82,79,2730,100,0,0,0,0
Jermaine O'Neal,23,IND,PF,72,72,2707,0,0,1,62,37
Jerry Stackhouse,27,DET,SF,76,76,2685,0,15,84,1,0
Mike Bibby,23,SAC,PG,80,80,2659,78,22,0,0,0
Peja Stojaković,24,SAC,SF,71,71,2649,0,16,82,2,0
Juwan Howard,28,2TM,PF,81,72,2635,0,0,18,54,27
Juwan Howard,28,DAL,PF,53,44,1659,0,0,28,66,6
Juwan Howard,28,DEN,PF,28,28,976,0,0,2,35,63
Jason Richardson,21,GSW,SG,80,75,2629,0,82,18,0,0
Allen Iverson,26,PHI,SG,60,59,2622,16,77,7,0,0
Sam Cassell,32,MIL,PG,74,73,2605,94,6,0,0,0
Kerry Kittles,27,NJN,SG,82,82,2601,12,88,0,0,0
Rashard Lewis,22,SEA,SF,71,70,2585,0,0,51,48,2
Michael Olowokandi,26,LAC,C,80,79,2568,0,0,0,0,100
John Stockton,39,UTA,PG,82,82,2566,100,0,0,0,0
P.J. Brown,32,CHH,C,80,80,2563,0,0,0,34,66
Matt Harpring,25,PHI,SF,81,81,2541,0,0,85,14,0
Ray Allen,26,MIL,SG,69,67,2525,15,84,1,0,0
Kenyon Martin,24,NJN,PF,73,73,2504,0,0,1,71,28
Nick Van Exel,30,2TM,SG,72,46,2496,60,40,0,0,0
Nick Van Exel,30,DEN,PG,45,44,1739,67,34,0,0,0
Nick Van Exel,30,DAL,SG,27,2,757,46,54,0,0,0
David Wesley,31,CHH,SG,67,63,2487,8,91,2,0,0
Kenny Thomas,24,HOU,PF,72,71,2484,0,0,12,83,6
Keith Van Horn,26,NJN,SF,81,81,2465,0,0,72,28,0
Anfernee Hardaway,30,PHO,SG,80,55,2462,4,89,7,0,0
Alonzo Mourning,31,MIA,C,75,74,2455,0,0,0,6,94
Raef LaFrentz,25,2TM,C,78,76,2455,0,0,0,25,75
