Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Bradley Beal,25,WAS,SG,82,82,3028,6,77,17,0,0
James Harden,29,HOU,PG,78,78,2867,58,42,0,0,0
Kemba Walker,28,CHO,PG,82,82,2863,100,0,0,0,0
Tobias Harris,26,2TM,PF,82,82,2847,0,0,2,91,7
Tobias Harris,26,LAC,PF,55,55,1903,0,0,2,93,5
Tobias Harris,26,PHI,PF,27,27,944,0,0,2,86,11
Paul George,28,OKC,SF,77,77,2841,0,0,91,9,0
Damian Lillard,28,POR,PG,80,80,2838,100,0,0,0,0
P.J. Tucker,33,HOU,PF,82,82,2802,0,0,11,83,6
Kevin Durant,30,GSW,SF,78,78,2702,0,0,21,69,10
Ben Simmons,22,PHI,PG,79,79,2700,80,20,0,0,0
DeMar DeRozan,29,SAS,SG,77,77,2688,0,20,75,4,0
LaMarcus Aldridge,33,SAS,C,81,81,2687,0,0,0,5,95
Steven Adams,25,OKC,C,80,80,2669,0,0,0,0,100
Klay Thompson,28,GSW,SG,78,78,2652,7,80,13,1,0
Andre Drummond,25,DET,C,79,79,2647,0,0,0,0,100
Aaron Gordon,23,ORL,PF,78,78,2633,0,0,40,60,0
Russell Westbrook,30,OKC,PG,73,73,2630,52,47,1,0,0
Blake Griffin,29,DET,PF,75,75,2622,0,0,0,93,7
Buddy Hield,26,SAC,SG,82,82,2615,6,92,2,0,0
Jerami Grant,24,OKC,PF,80,77,2612,0,0,0,99,1
Justin Holiday,29,2TM,SG,82,77,2607,0,53,46,1,0
Justin Holiday,29,CHI,SG,38,38,1325,0,64,35,1,0
Justin Holiday,29,MEM,SG,44,39,1282,0,42,56,2,0
Collin Sexton,20,CLE,PG,82,72,2605,100,0,0,0,0
Donovan Mitchell,22,UTA,SG,77,77,2598,29,71,1,0,0
Rudy Gobert,26,UTA,C,81,80,2577,0,0,0,0,100
Bojan Bogdanović,29,IND,SF,81,81,2573,0,2,94,4,0
