Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Kevin Durant,23,OKC,SF,66,66,2546,0,0,78,22,0
Pau Gasol,31,LAL,PF,65,65,2430,0,0,0,63,37
Rudy Gay,25,MEM,SF,65,65,2422,0,0,83,17,0
Blake Griffin,22,LAC,PF,66,66,2392,0,0,0,65,35
John Wall,21,WAS,PG,66,66,2386,98,2,0,0,0
Marc Gasol,27,MEM,C,65,65,2370,0,0,0,1,99
Brandon Jennings,22,MIL,PG,66,66,2331,100,0,0,0,0
Russell Westbrook,23,OKC,PG,66,66,2331,94,6,0,0,0
Josh Smith,26,ATL,PF,66,66,2329,0,0,0,76,24
LeBron James,27,MIA,SF,62,62,2326,0,0,74,26,0
Kobe Bryant,33,LAL,SG,58,58,2232,0,99,1,0,0
Wesley Matthews,25,POR,SG,66,53,2228,0,74,26,0,0
Andre Iguodala,28,PHI,SF,62,62,2209,0,34,65,2,0
DeMar DeRozan,22,TOR,SG,63,63,2206,0,68,32,0,0
Jrue Holiday,21,PHI,PG,65,65,2196,62,38,0,0,0
Jeff Teague,23,ATL,PG,66,66,2183,98,2,0,0,0
Chris Paul,26,LAC,PG,60,60,2181,100,0,0,0,0
Mike Conley,24,MEM,PG,62,61,2174,100,0,0,0,0
Tyreke Evans,22,SAC,SG,63,61,2162,3,62,35,0,0
Kris Humphries,26,NJN,PF,62,62,2162,0,0,0,87,13
Antawn Jamison,35,CLE,PF,65,65,2151,0,0,0,99,1
Kevin Love,23,MIN,PF,55,55,2145,0,0,0,55,46
Brandon Knight,20,DET,PG,66,60,2129,90,10,0,0,0
Luol Deng,26,CHI,SF,54,54,2129,0,0,95,5,0
Joe Johnson,30,ATL,SG,60,60,2127,0,62,38,0,0
Ty Lawson,24,DEN,PG,61,61,2124,100,0,0,0,0
David Lee,28,GSW,PF,57,57,2121,0,0,0,68,32
Monta Ellis,26,2TM,SG,58,58,2120,19,81,1,0,0
Monta Ellis,26,GSW,SG,37,37,1365,18,81,1,0,0
Monta Ellis,26,MIL,SG,21,21,755,20,80,0,0,0
Marcin Gortat,27,PHO,C,66,66,2114,0,0,0,0,100
Andrew Bynum,24,LAL,C,60,60,2112,0,0,0,0,100
Paul Millsap,26,UTA,PF,64,62,2100,0,0,7,93,0
Tayshaun Prince,31,DET,SF,63,63,2087,0,5,92,3,0
Arron Afflalo,26,DEN,SG,62,62,2086,2,71,26,1,0
Greg Monroe,21,DET,C,66,66,2082,0,0,0,0,100
Dirk Nowitzki,33,DAL,PF,62,62,2079,0,0,0,96,4
Gerald Wallace,29,2TM,SF,58,58,2076,0,13,68,19,0
Gerald Wallace,29,POR,SF,42,42,1503,0,18,75,7,0
Gerald Wallace,29,NJN,SF,16,16,573,0,0,51,49,0
Al Jefferson,27,UTA,C,61,61,2075,0,0,0,0,100
Paul Pierce,34,BOS,SF,61,61,2075,0,3,87,10,0
Dwight Howard,26,ORL,C,54,54,2070,0,0,0,0,100
Luis Scola,31,HOU,PF,66,66,2067,0,0,0,72,28
Danny Granger,28,IND,SF,62,62,2062,0,0,97,4,0
Tyson Chandler,29,NYK,C,62,62,2061,0,0,0,0,100
Jared Dudley,26,PHO,SG,65,60,2020,0,55,45,0,0
Gordon Hayward,21,UTA,SF,66,58,2015,0,5,92,3,0
Chris Bosh,27,MIA,PF,57,57,2007,0,0,0,49,51
Jason Terry,34,DAL,SG,63,1,2000,9,87,4,0,0
Deron Williams,27,NJN,PG,55,55,1999,80,20,0,0,0
LaMarcus Aldridge,26,POR,PF,55,55,1994,0,0,0,68,33
Marco Belinelli,25,NOH,SG,66,55,1966,36,63,1,0,0
Ryan Anderson,23,ORL,PF,61,61,1964,0,0,0,93,7
Steve Nash,37,PHO,PG,62,62,1961,94,6,0,0,0
Paul George,21,IND,SG,66,66,1958,0,90,10,0,0
Rajon Rondo,25,BOS,PG,53,53,1957,100,0,0,0,0
DeMarcus Cousins,21,SAC,C,64,62,1950,0,0,0,0,100
Carlos Boozer,30,CHI,PF,66,66,1948,0,0,0,90,10
James Harden,22,OKC,SG,62,2,1946,0,55,44,0,0
Joakim Noah,26,CHI,C,64,64,1945,0,0,0,0,100
Roy Hibbert,25,IND,C,65,65,1937,0,0,0,0,100
David West,31,IND,PF,66,66,1925,0,0,0,97,3
Tony Parker,29,SAS,PG,60,60,1923,99,1,0,0,0
Shawn Marion,33,DAL,SF,63,63,1919,0,1,87,12,0
