Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
James Harden,25,HOU,SG,81,81,2981,1,92,7,0,0
Andrew Wiggins,19,MIN,SF,82,82,2969,0,34,64,1,0
Trevor Ariza,29,HOU,SF,82,82,2930,0,1,85,14,0
Damian Lillard,24,POR,PG,82,82,2925,79,21,0,0,0
Chris Paul,29,LAC,PG,82,82,2857,100,1,0,0,0
John Wall,24,WAS,PG,79,79,2837,94,6,0,0,0
DeAndre Jordan,26,LAC,C,82,82,2820,0,0,0,0,100
Eric Bledsoe,25,PHO,PG,81,81,2800,81,19,0,0,0
Joe Johnson,33,BRK,SG,80,80,2791,0,31,60,9,0
Kyrie Irving,22,CLE,PG,75,75,2730,99,1,0,0,0
Monta Ellis,29,DAL,SG,80,80,2699,0,95,5,0,0
Tyreke Evans,25,NOP,SG,79,76,2690,2,71,27,0,0
Marc Gasol,30,MEM,C,81,81,2687,0,0,0,8,92
Pau Gasol,34,CHI,PF,78,78,2681,0,0,0,48,52
Ben McLemore,21,SAC,SG,82,82,2670,0,96,4,0,0
Ty Lawson,27,DEN,PG,75,75,2665,96,4,0,0,0
Goran Dragić,28,2TM,PG,78,78,2640,24,69,7,0,0
Goran Dragić,28,PHO,SG,52,52,1735,7,83,11,0,0
Goran Dragić,28,MIA,PG,26,26,905,58,42,0,0,0
Gordon Hayward,24,UTA,SF,76,76,2618,0,34,66,1,0
Stephen Curry,26,GSW,PG,80,80,2613,100,0,0,0,0
Kentavious Caldwell-Pope,21,DET,SG,82,82,2587,0,81,19,0,0
Markieff Morris,25,PHO,PF,82,82,2581,0,0,0,65,35
Victor Oladipo,22,ORL,SG,72,71,2573,16,71,12,0,0
Giannis Antetokounmpo,20,MIL,SG,81,71,2541,0,32,47,21,0
Kevin Love,26,CLE,PF,75,75,2532,0,0,0,95,5
Nikola Vučević,24,ORL,C,74,74,2529,0,0,0,11,89
Jimmy Butler,25,CHI,SG,65,65,2513,0,70,30,0,0
LaMarcus Aldridge,29,POR,PF,71,71,2512,0,0,0,91,9
Andre Drummond,21,DET,C,82,82,2502,0,0,0,0,100
Arron Afflalo,29,2TM,SG,78,72,2502,0,85,15,0,0
Arron Afflalo,29,DEN,SG,53,53,1750,0,91,9,0,0
Arron Afflalo,29,POR,SG,25,19,752,0,72,28,0,0
LeBron James,30,CLE,SF,69,69,2493,0,0,77,23,0
Draymond Green,24,GSW,PF,79,79,2490,0,0,0,90,10
Elfrid Payton,20,ORL,PG,82,63,2489,97,3,0,0,0
Wilson Chandler,27,DEN,SF,78,75,2471,0,5,85,10,0
Klay Thompson,24,GSW,SG,77,77,2455,0,92,8,0,0
Anthony Davis,21,NOP,PF,68,68,2455,0,0,0,64,36
Jeff Green,28,2TM,SF,78,70,2454,0,0,83,16,0
Jeff Green,28,BOS,SF,33,33,1093,0,0,89,11,0
