Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Jason Kidd,25,PHO,PG,50,50,2060,100,0,0,0,0
Michael Finley,25,DAL,SF,50,50,2051,0,47,51,2,0
Shareef Abdur-Rahim,22,VAN,SF,50,50,2021,0,1,95,4,0
Scottie Pippen,33,HOU,SF,50,50,2011,0,3,96,1,0
Gary Payton,30,SEA,PG,50,50,2008,90,10,0,0,0
Allen Iverson,23,PHI,SG,48,48,1990,7,82,11,0,0
Tim Duncan,22,SAS,PF,50,50,1963,0,0,0,80,20
Anfernee Hardaway,27,ORL,SG,50,50,1944,36,64,0,0,0
Antonio McDyess,24,DEN,C,50,50,1937,0,0,1,25,74
Mitch Richmond,33,WAS,SG,50,50,1912,0,92,8,0,0
Kobe Bryant,20,LAL,SG,50,50,1896,1,70,29,0,0
Stephon Marbury,21,2TM,PG,49,49,1895,97,3,0,0,0
Stephon Marbury,21,MIN,PG,18,18,661,95,5,0,0,0
Stephon Marbury,21,NJN,PG,31,31,1234,98,2,0,0,0
Eddie Jones,27,2TM,SF,50,50,1881,0,50,50,0,0
Eddie Jones,27,LAL,SG,20,20,724,0,100,0,0,0
Eddie Jones,27,CHH,SF,30,30,1157,0,19,81,1,0
Grant Hill,26,DET,SF,50,50,1852,0,0,92,8,0
David Wesley,28,CHH,PG,50,50,1848,100,0,0,0,0
Karl Malone,35,UTA,PF,49,49,1832,0,0,0,93,7
Dikembe Mutombo,32,ATL,C,50,50,1829,0,0,0,0,100
Allan Houston,27,NYK,SG,50,50,1815,0,91,9,0,0
Jason Williams,23,SAC,PG,50,50,1805,99,1,0,0,0
Nick Van Exel,27,DEN,PG,50,50,1802,100,0,0,0,0
Reggie Miller,33,IND,SG,50,50,1787,2,98,1,0,0
Hakeem Olajuwon,36,HOU,C,50,50,1784,0,0,0,0,100
Kevin Garnett,22,MIN,PF,47,47,1780,0,0,32,42,27
Tim Hardaway,32,MIA,PG,48,48,1772,100,0,0,0,0
Bryon Russell,28,UTA,SF,50,50,1770,0,1,98,1,0
Doug Christie,28,TOR,SG,50,50,1768,9,85,5,0,0
Detlef Schrempf,36,SEA,SF,50,39,1765,0,0,55,43,1
Mookie Blaylock,31,ATL,PG,48,48,1763,100,0,0,0,0
Vlade Divac,30,SAC,C,50,50,1761,0,0,0,0,100
Vince Carter,22,TOR,SF,50,49,1760,0,33,66,1,0
Mike Bibby,20,VAN,PG,50,50,1758,98,2,0,0,0
Lindsey Hunter,28,DET,PG,49,49,1755,100,0,0,0,0
Alonzo Mourning,28,MIA,C,46,46,1753,0,0,0,0,100
Clifford Robinson,32,PHO,SF,50,35,1740,0,1,77,22,1
Ray Allen,23,MIL,SG,50,50,1719,0,78,22,0,0
Chris Webber,25,SAC,PF,42,42,1719,0,0,0,72,28
Eric Snow,25,PHI,PG,48,48,1716,100,0,0,0,0
Shaquille O'Neal,26,LAL,C,49,49,1705,0,0,0,0,100
John Starks,33,GSW,SG,50,50,1686,0,99,1,0,0
Damon Stoudamire,25,POR,PG,50,50,1673,100,0,0,0,0
Avery Johnson,33,SAS,PG,50,50,1672,100,0,0,0,0
Horace Grant,33,ORL,PF,50,50,1660,0,0,0,88,12
Toni Kukoč,30,CHI,SF,44,44,1654,0,0,65,35,0
Hersey Hawkins,32,SEA,SG,50,34,1644,4,93,3,0,0
Larry Johnson,29,NYK,PF,49,48,1639,0,0,60,39,0
Charles Oakley,35,TOR,PF,50,50,1633,0,0,1,78,20
Paul Pierce,21,BOS,SF,48,47,1632,0,3,97,0,0
Rod Strickland,32,WAS,PG,44,43,1632,98,2,0,0,0
Theo Ratliff,25,PHI,PF,50,50,1627,0,0,0,60,40
Dan Majerle,33,MIA,SG,48,48,1624,0,58,42,0,0
P.J. Brown,29,MIA,PF,50,50,1611,0,0,0,73,27
Kendall Gill,30,NJN,SF,50,47,1606,2,20,76,3,0
Nick Anderson,31,ORL,SF,47,39,1581,0,65,35,0,0
Glenn Robinson,26,MIL,SF,47,47,1579,0,0,58,40,2
Keith Van Horn,23,NJN,PF,42,42,1576,0,0,5,89,7
Bobby Phills,29,CHH,SG,43,43,1574,0,89,10,0,0
Kerry Kittles,24,NJN,SG,46,40,1570,7,91,2,0,0
Tom Gugliotta,29,PHO,PF,43,43,1563,0,0,0,55,45
Michael Dickerson,23,HOU,SG,50,50,1558,0,97,3,0,0
Charlie Ward,28,NYK,PG,50,50,1556,100,0,0,0,0
David Robinson,33,SAS,C,49,49,1554,0,0,0,0,100
Ron Mercer,22,BOS,SG,41,40,1551,1,85,15,0,0
Antoine Walker,22,BOS,PF,42,41,1549,0,0,13,87,0
Matt Geiger,29,PHI,C,50,40,1540,0,0,0,1,99
Otis Thorpe,36,WAS,PF,49,38,1539,0,0,3,74,24
Charles Barkley,35,HOU,PF,42,40,1526,0,0,12,88,1
Brian Grant,26,POR,PF,48,46,1525,0,0,1,71,28
Cedric Henderson,23,CLE,SF,50,48,1517,0,0,89,10,0
Sean Elliott,30,SAS,SF,50,50,1509,0,0,92,8,0
Maurice Taylor,22,LAC,PF,46,45,1505,0,0,1,92,7
Darrell Armstrong,30,ORL,PG,50,15,1502,100,0,0,0,0
Chauncey Billups,22,DEN,SG,45,41,1488,12,86,2,0,0
