Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Michael Finley,27,DAL,SF,82,82,3443,0,26,65,9,0
Antoine Walker,24,BOS,PF,81,81,3396,0,0,3,96,1
Antawn Jamison,24,GSW,SF,82,82,3394,0,1,42,56,1
Anthony Mason,34,MIA,PF,80,80,3254,0,0,13,85,2
Gary Payton,32,SEA,PG,79,79,3244,77,23,0,0,0
Shareef Abdur-Rahim,24,VAN,SF,81,81,3241,0,2,78,21,0
Jerry Stackhouse,26,DET,SG,80,80,3215,0,50,49,0,0
Kevin Garnett,24,MIN,PF,81,81,3202,0,0,0,48,52
Steve Francis,23,HOU,PG,80,79,3194,72,28,0,0,0
Baron Davis,21,CHH,PG,82,82,3192,98,3,0,0,0
Mike Bibby,22,VAN,PG,82,82,3190,95,6,0,0,0
Reggie Miller,35,IND,SG,81,81,3181,38,62,0,0,0
Tim Duncan,24,SAS,PF,82,82,3174,0,0,0,61,39
Ray Allen,25,MIL,SG,82,82,3129,0,90,10,0,0
Dirk Nowitzki,22,DAL,PF,82,82,3125,0,0,3,76,21
Paul Pierce,23,BOS,SF,82,82,3120,1,29,70,0,0
David Wesley,30,CHH,SG,82,82,3106,14,86,0,0,0
Jason Terry,23,ATL,SG,82,77,3089,21,74,5,0,0
Tracy McGrady,21,ORL,SG,77,77,3087,1,95,4,0,0
Jason Kidd,27,PHO,PG,77,76,3065,91,10,0,0,0
Latrell Sprewell,30,NYK,SF,77,77,3017,0,37,63,1,0
Cuttino Mobley,25,HOU,SG,79,49,3002,0,82,18,0,0
Jamal Mashburn,28,CHH,SF,76,76,2989,0,0,96,4,0
Vince Carter,24,TOR,SF,75,75,2979,0,31,68,2,0
Allen Iverson,25,PHI,SG,71,71,2979,39,60,1,0,0
Juwan Howard,27,2TM,PF,81,81,2974,0,0,19,66,15
Juwan Howard,27,WAS,PF,54,54,1981,0,0,0,80,21
Juwan Howard,27,DAL,PF,27,27,993,0,0,57,41,3
Jalen Rose,28,IND,SF,72,72,2943,3,57,41,0,0
Rasheed Wallace,26,POR,PF,77,75,2940,0,0,3,92,5
Doug Christie,30,SAC,SG,81,81,2939,1,89,10,0,0
Shaquille O'Neal,28,LAL,C,74,74,2924,0,0,0,0,100
Elton Brand,21,CHI,PF,74,74,2906,0,0,2,72,26
Peja Stojaković,23,SAC,SF,75,75,2905,0,9,86,5,0
Karl Malone,37,UTA,PF,81,81,2895,0,0,0,88,12
Derek Anderson,26,SAS,SG,82,82,2859,0,76,24,0,0
Allan Houston,29,NYK,SG,78,78,2858,12,81,7,0,0
Shawn Marion,22,PHO,SF,79,79,2857,0,4,91,6,0
Wally Szczerbiak,23,MIN,SF,82,82,2856,0,0,95,4,0
Andre Miller,24,CLE,PG,82,82,2848,97,3,0,0,0
Lamar Odom,21,LAC,PF,76,74,2836,0,0,34,64,3
Chris Webber,27,SAC,PF,70,70,2836,0,0,0,91,9
