Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
LeBron James,20,CLE,SF,80,80,3388,0,0,95,4,0
Stephon Marbury,27,NYK,PG,82,82,3281,97,3,0,0,0
Gilbert Arenas,23,WAS,PG,80,80,3274,88,12,0,0,0
Joe Johnson,23,PHO,SF,82,82,3240,0,7,91,2,0
Tracy McGrady,25,HOU,SF,78,78,3182,0,2,90,7,0
Allen Iverson,29,PHI,PG,75,75,3174,100,0,0,0,0
Shawn Marion,26,PHO,PF,81,81,3146,0,0,10,90,0
Kevin Garnett,28,MIN,PF,82,82,3121,0,0,0,62,38
Mike Bibby,26,SAC,PG,80,80,3084,98,2,0,0,0
Ray Allen,29,SEA,SG,78,78,3064,0,75,25,0,0
Tayshaun Prince,24,DET,SF,82,82,3039,0,0,97,3,0
Dirk Nowitzki,26,DAL,PF,78,78,3020,0,0,0,66,34
Chris Bosh,20,TOR,PF,81,81,3017,0,0,3,69,29
Elton Brand,25,LAC,PF,81,81,3001,0,0,2,94,4
Steve Francis,27,ORL,PG,78,78,2978,71,28,0,0,0
Dwyane Wade,23,MIA,SG,77,77,2974,11,88,1,0,0
Paul Pierce,27,BOS,SF,82,82,2960,0,1,90,8,1
Antoine Walker,28,2TM,PF,77,77,2955,0,0,1,89,10
Antoine Walker,28,ATL,PF,53,53,2128,0,0,0,86,13
Antoine Walker,28,BOS,PF,24,24,827,0,0,2,95,3
Richard Hamilton,26,DET,SG,76,76,2926,1,93,7,0,0
Chucky Atkins,30,LAL,PG,82,82,2903,100,0,0,0,0
Desmond Mason,27,MIL,SF,80,71,2893,0,11,83,5,0
Amar'e Stoudemire,22,PHO,C,80,80,2889,0,0,0,16,84
Chauncey Billups,28,DET,PG,80,80,2866,92,8,0,0,0
Kurt Thomas,32,NYK,PF,80,80,2855,0,0,1,83,16
Andre Miller,28,DEN,PG,82,82,2852,62,38,0,0,0
Michael Redd,25,MIL,SG,75,75,2848,0,85,14,0,0
