Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%
Andre Iguodala,25,PHI,SF,82,82,3269,0,13,84,2,0
Joe Johnson,27,ATL,SG,79,79,3124,0,71,28,0,0
O.J. Mayo,21,MEM,SG,82,82,3120,8,91,1,0,0
Antawn Jamison,32,WAS,PF,81,81,3096,0,0,15,84,2
Raymond Felton,24,CHA,PG,82,81,3086,62,38,0,0,0
Tayshaun Prince,28,DET,SF,82,82,3057,0,3,81,17,0
LeBron James,24,CLE,SF,81,81,3054,0,0,74,26,0
Dirk Nowitzki,30,DAL,PF,81,81,3050,0,0,0,91,9
Dwyane Wade,27,MIA,SG,79,79,3048,9,90,1,0,0
Paul Pierce,31,BOS,SF,81,81,3035,0,1,95,4,0
LaMarcus Aldridge,23,POR,PF,81,81,3004,0,0,0,82,18
Chris Paul,23,NOH,PG,78,78,3002,100,0,0,0,0
Derrick Rose,20,CHI,PG,81,80,3000,99,1,0,0,0
Ben Gordon,25,CHI,SG,82,76,2999,23,77,0,0,0
Pau Gasol,28,LAL,C,81,81,2999,0,0,0,30,70
David West,28,NOH,PF,76,76,2982,0,0,0,87,13
Andre Miller,32,PHI,PG,82,82,2976,100,0,0,0,0
Kobe Bryant,30,LAL,SG,82,82,2960,6,94,0,0,0
John Salmons,29,2TM,SF,79,74,2959,0,12,81,7,0
John Salmons,29,SAC,SF,53,53,1980,0,15,76,9,0
John Salmons,29,CHI,SF,26,21,979,0,5,91,4,0
Vince Carter,32,NJN,SG,80,80,2946,3,79,18,0,0
Rudy Gay,22,MEM,SF,79,78,2945,0,0,85,15,0
Richard Jefferson,28,MIL,SF,82,82,2939,0,14,77,9,0
Chris Bosh,24,TOR,C,77,77,2928,0,0,0,6,94
Chris Duhon,26,NYK,PG,79,78,2906,57,43,0,0,0
Brandon Roy,24,POR,SG,78,78,2903,0,65,35,0,0
Jason Kidd,35,DAL,PG,81,81,2886,100,0,0,0,0
Kevin Durant,20,OKC,SF,74,74,2885,0,12,80,8,0
Ray Allen,33,BOS,SG,79,79,2876,0,81,19,0,0
Jeff Green,22,OKC,PF,78,78,2873,0,0,22,76,1
Rashard Lewis,29,ORL,PF,79,79,2859,0,0,5,95,0
Mo Williams,26,CLE,PG,81,81,2834,100,0,0,0,0
David Lee,25,NYK,C,81,74,2824,0,0,0,8,92
Dwight Howard,23,ORL,C,79,79,2821,0,0,0,0,100
Hedo Türkoğlu,29,ORL,SF,77,77,2815,0,1,94,6,0
Chauncey Billups,32,2TM,PG,79,79,2789,73,27,0,0,0
Chauncey Billups,32,DET,PG,2,2,70,100,0,0,0,0
Chauncey Billups,32,DEN,PG,77,77,2719,72,28,0,0,0
Boris Diaw,26,2TM,PF,81,59,2754,0,0,3,90,7
Boris Diaw,26,PHO,PF,22,0,538,0,0,4,88,8
Boris Diaw,26,CHA,PF,59,59,2216,0,0,2,90,7
Mike Bibby,30,ATL,PG,79,79,2740,100,0,0,0,0
Wilson Chandler,21,NYK,SF,82,70,2735,0,18,55,26,0
Jarrett Jack,25,IND,SG,82,53,2716,38,62,0,0,0
Emeka Okafor,26,CHA,C,82,81,2691,0,0,0,3,97
Eric Gordon,20,LAC,SG,78,65,2677,14,73,12,0,0
Gerald Wallace,26,CHA,SF,71,71,2669,0,6,88,7,0
Russell Westbrook,20,OKC,PG,82,65,2668,72,27,1,0,0
Al Thornton,25,LAC,SF,71,67,2654,0,1,80,19,0
Rajon Rondo,22,BOS,PG,80,80,2642,89,11,0,0,0
Anthony Parker,33,TOR,SG,80,71,2637,10,89,2,0,0
Mario Chalmers,22,MIA,PG,82,82,2626,97,4,0,0,0
Rasual Butler,29,NOH,SF,82,74,2614,0,46,48,7,0
Ryan Gomes,26,MIN,SF,82,76,2614,0,0,62,37,0
Ronnie Brewer,23,UTA,SF,81,80,2605,0,12,84,5,0
Yao Ming,28,HOU,C,77,77,2589,0,0,0,0,100
Caron Butler,28,WAS,SG,67,67,2585,0,40,59,0,0
Thaddeus Young,20,PHI,PF,75,71,2580,0,0,34,66,0
Udonis Haslem,28,MIA,PF,75,75,2560,0,0,0,87,13
Al Harrington,28,2TM,PF,73,56,2546,0,0,10,83,7
Al Harrington,28,GSW,PF,5,5,166,0,0,21,79,1
Al Harrington,28,NYK,PF,68,51,2380,0,0,9,84,7
