Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PG,28.242424242424242,9.212121212121213,5.303030303030303,24.054545454545455,4.112121212121211,9.972727272727273,0.38566666666666666,1.121212121212121,3.396969696969697,0.28481818181818186,2.987878787878788,6.578787878787878,0.42430303030303035,0.43966666666666665,1.9848484848484849,2.3848484848484848,0.8028666666666666,0.4757575757575757,2.178787878787879,2.6575757575757577,3.696969696969697,0.7666666666666667,0.2090909090909091,1.7575757575757576,1.9696969696969697,11.318181818181818,12.0,0.4762121212121212,0.34924242424242424,0.21472727272727274,2.121212121212121,10.06969696969697,6.057575757575758,25.366666666666667,1.4424242424242424,0.6636363636363636,16.381818181818183,22.684848484848487,0.296969696969697,0.19090909090909092,0.4666666666666667,0.019272727272727275,-0.7121212121212122,-0.6212121212121212,-1.3272727272727272,0.24848484848484848
SF,26.82857142857143,9.6,5.228571428571429,25.062857142857144,3.551428571428571,8.494285714285715,0.4082,1.0514285714285714,3.2542857142857144,0.33925714285714287,2.505714285714286,5.2457142857142856,0.4511142857142857,0.476,1.82,2.3857142857142857,0.7006969696969697,0.8257142857142856,3.274285714285714,4.094285714285714,1.602857142857143,0.8428571428571429,0.36,1.1600000000000001,2.1,9.968571428571428,12.168571428571427,0.5086285714285714,0.40125714285714287,0.26385714285714285,3.4885714285714284,14.357142857142858,8.928571428571429,9.925714285714285,1.6342857142857143,1.28,10.008571428571429,18.21142857142857,0.2857142857142857,0.2742857142857143,0.5514285714285715,0.060200000000000004,-0.4942857142857142,0.38285714285714284,-0.11142857142857139,0.23142857142857143
SG,27.857142857142858,10.69047619047619,4.095238095238095,23.111904761904764,3.4023809523809527,8.185714285714287,0.40921428571428575,1.0333333333333332,2.8904761904761904,0.3482857142857143,2.380952380952381,5.288095238095238,0.4443333333333333,0.4811428571428571,1.4880952380952381,1.8714285714285712,0.7577804878048781,0.5380952380952382,2.1595238095238094,2.7047619047619045,1.7357142857142855,0.8047619047619047,0.2904761904761905,1.0642857142857143,1.8595238095238094,9.307142857142857,11.807142857142857,0.5148095238095238,0.39971428571428574,0.22452380952380951,2.5571428571428574,10.90952380952381,6.723809523809523,12.214285714285714,1.75,0.9642857142857143,11.047619047619047,18.823809523809523,0.20238095238095238,0.21428571428571427,0.41904761904761906,0.060738095238095244,-0.8,0.48571428571428577,-0.3142857142857143,0.15714285714285717
PF,28.097560975609756,7.951219512195122,4.414634146341464,19.951219512195124,2.8536585365853657,6.304878048780488,0.4613658536585366,0.5024390243902439,1.3853658536585365,0.32040625,2.3536585365853657,4.926829268292683,0.49341463414634146,0.49926829268292683,1.2658536585365854,1.7219512195121949,0.7251944444444445,1.2536585365853659,3.3512195121951223,4.590243902439025,1.1804878048780487,0.4609756097560975,0.5073170731707317,0.9341463414634146,1.848780487804878,7.45609756097561,13.056097560975608,0.5289512195121951,0.23034146341463416,0.27190243902439026,6.931707317073171,18.414634146341463,12.560975609756097,9.917073170731708,1.1121951219512196,2.0682926829268293,12.041463414634146,17.414634146341463,0.23414634146341462,0.2097560975609756,0.4365853658536585,0.07075609756097562,-0.373170731707317,0.25365853658536586,-0.124390243902439,0.16097560975609757
C,27.37837837837838,9.621621621621621,4.027027027027027,17.82162162162162,2.464864864864865,4.883783783783784,0.5012162162162163,0.11891891891891893,0.35405405405405405,0.16515384615384615,2.348648648648649,4.535135135135135,0.5110270270270271,0.5127027027027027,1.3486486486486486,2.3729729729729727,0.6298235294117648,1.7054054054054055,3.618918918918919,5.324324324324325,0.8378378378378378,0.44594594594594594,0.8243243243243243,0.9297297297297297,2.062162162162162,6.391891891891892,14.364864864864865,0.5354054054054054,0.07048648648648649,0.5567027027027027,10.335135135135134,21.575675675675676,15.864864864864865,7.372972972972973,1.3216216216216217,3.289189189189189,14.82162162162162,17.491891891891893,0.23243243243243242,0.22432432432432434,0.47027027027027024,0.08391891891891892,-1.4702702702702701,0.5972972972972973,-0.8702702702702704,0.13513513513513514
