Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
PG,27.0,7.0,2.0,26.0,3.6,9.2,0.425,1.0,3.2,0.37,2.6,5.8,0.509,0.5,2.1,2.6,0.808,0.3,2.2,2.8,4.2,1.0,0.2,1.6,2.0,11.7,13.7,0.559,0.384,0.25,1.6,11.3,6.6,23.9,1.6,0.6,14.7,21.9,0.2,0.1,0.3,0.08,-0.2,-0.2,0.3,0.1
SF,26.0,5.5,2.5,29.9,2.85,7.3,0.403,1.5,3.85,0.3515,1.2,3.1,0.47650000000000003,0.5,1.15,1.6,0.7284999999999999,0.6499999999999999,2.8,3.75,1.1,0.8,0.4,1.0,2.05,8.5,10.85,0.5365,0.5405,0.1925,3.1500000000000004,12.1,7.5,7.15,1.5,1.5499999999999998,11.45,17.75,0.0,0.1,0.2,0.048,-0.45,0.0,-0.05,0.05
SG,26.0,6.5,1.0,24.200000000000003,2.9,7.55,0.4225,1.7,3.85,0.3645,1.6,3.15,0.5,0.52,1.25,1.35,0.84,0.3,2.3499999999999996,2.75,1.3,0.6499999999999999,0.2,0.9,1.95,7.7,12.350000000000001,0.5545,0.568,0.1975,1.3,12.5,7.05,9.8,1.3,0.8500000000000001,12.149999999999999,18.299999999999997,0.1,0.1,0.1,0.0555,-0.5,0.1,-0.1,0.1
C,27.0,7.0,2.5,19.7,2.7,5.699999999999999,0.5245,0.1,0.30000000000000004,0.396,2.2,3.9,0.571,0.5814999999999999,1.25,1.55,0.7415,1.55,3.95,5.0,0.9,0.3,0.6,0.9,2.25,6.9,15.75,0.611,0.1115,0.2975,7.35,22.25,15.8,7.4,0.8,3.25,11.3,15.1,0.2,0.2,0.4,0.1195,-0.1,0.75,-0.1,0.1
PF,26.0,7.0,0.0,16.700000000000003,2.3,4.550000000000001,0.4155,0.75,2.15,0.3295,1.25,2.1500000000000004,0.5,0.5385,0.7,1.0,0.7865,0.75,2.65,3.25,1.0,0.45,0.3,0.6499999999999999,2.05,5.7,12.1,0.563,0.47850000000000004,0.2255,4.6,15.850000000000001,10.6,7.550000000000001,1.05,1.15,9.75,16.4,0.1,0.05,0.2,0.08449999999999999,-1.15,0.2,-0.7,0.0
