Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
SF,4.12609143644102,5.980057168944319,6.920911412402643,11.461258366765566,2.876702751278245,6.06828142136363,0.12485925080792079,0.7012128830741506,1.6258836172819424,0.15477533376118655,2.6648875427986725,5.256928339487087,0.1518197661021461,0.14395537588539517,2.1331537280717034,2.668937354263907,0.12478011326596343,0.6652900400865953,2.08474402156907,2.5181264049155683,1.2712431369728185,0.5621256280182189,0.397838990131643,0.9850233174705009,0.8664661255917795,7.975771500894616,7.812210979875586,0.13711556199024777,0.1810329692641402,0.1491492293337027,2.531024247975978,6.657073352139329,3.6030672483398245,5.542918084069032,0.8353489580848228,0.8474679760577092,6.096960803095486,6.3550588824191685,1.0311646292473562,0.40877083562689903,1.3088745964986888,0.10572045814758825,4.125333245234431,1.6169590750066327,5.180277109958558,0.7069325955006467
PG,4.450960760712752,6.186639621306672,6.563076644727172,11.041971458477853,2.551634336981167,5.721725803248346,0.1656494850397652,0.6843553506690109,1.6246458547319422,0.11970526641067891,2.2335175649661854,4.811147372242213,0.19558222133678285,0.16902917983698448,1.3904435743076138,1.7218528344782298,0.19359518604323123,0.6130561064546369,1.526743181262971,2.0234807024772143,2.7733597069567306,0.7152589499047844,0.29142528845696997,1.1741572621639467,0.8818076152039793,6.626624846989989,7.598184415839898,0.172354335731523,0.1835429311516997,0.12525535281612082,2.104574425290408,4.84099859323251,2.9002120519927614,12.003472462527052,1.232973161264789,2.636310620894202,10.128546890902571,7.305008293462639,0.5128300424179703,0.2978383200398087,0.7300770354684225,0.1120906376629797,4.1328732996826725,2.167004635645501,5.152000632466387,0.3994314140693675
PF,3.791226676882428,5.352177472621331,5.689512700160849,11.192092628775699,2.3176498249816673,5.274116188018862,0.11843801158793864,0.47125781270053707,1.2823481528844884,0.22068816612285005,2.3880525881112074,5.239417974473649,0.14343105163051337,0.1219994898900326,1.8910077694362544,2.371271873640762,0.18100393679058432,1.1281853907759003,2.356698029988552,3.149697991799342,1.0969114794463177,0.3796756870165932,0.7253634984174592,0.9355321927339199,1.0415035908386152,6.219771279178328,6.10183611570569,0.12565804033564953,0.21078887929833107,0.42789963061839287,4.529106908468346,8.6812169503051,4.883869725871971,5.707002636201944,1.6679409542987504,2.115291814256241,5.75334957172362,6.4059721646375385,0.3887829790981279,0.2186210501864751,0.526644278713407,0.09634648827901532,2.417552281278924,1.676456077164825,3.3525695544394294,0.18993148423983752
SG,4.092206476481098,6.279596590015424,5.715419988157095,10.02602255159683,2.129764643310954,4.967767258886183,0.07202178712384759,0.6146710606662011,1.7136536914904872,0.17887151590852565,1.9541146595233614,4.182067179928594,0.11932991328718967,0.0830823502500797,1.5675474883413034,1.9119982163922593,0.227008582208683,0.4899960753375009,1.2568887105743416,1.5823039838905473,1.4600316118811634,0.5059580908964594,0.29525087116395937,0.8531652979587401,0.8744082247953432,5.884254849019128,5.05866861981769,0.07933943630910263,0.2108616009224765,0.15052055826875765,3.6935668259063488,4.627841469483011,2.69537947473459,7.6992773553673075,1.6464335971254929,0.996030583404407,5.283549700333805,7.712872606633267,0.504111302321427,0.26409011670940996,0.659520999451836,0.07259024445298136,2.8105980748697488,1.5760710643876437,3.3602655572714215,0.3345107410793201
C,4.217857581835257,5.479341701689262,6.00537393748568,10.786251703277262,2.473203160067474,4.684079935132371,0.12780551236912863,0.0421211769587116,0.09418581497197698,0.39210967853395307,2.4629656101485042,4.632350305712933,0.1278143815422672,0.12767492743986264,1.2732989918242474,1.6337049719835803,0.200371233051261,0.9766167323650994,2.367860661631766,3.0714016449360915,0.9804078726602483,0.41161317183225127,0.8473868751220025,0.8807014707863052,0.8025601675766405,5.847013816001817,7.240519385219677,0.11014782955119322,0.008979310897476955,0.2945133698153617,5.538312308438957,6.125283897304731,4.854071079865549,5.545296430309204,0.7374145658552479,2.1942534001046843,11.660789946543902,5.064502292204232,0.36388085164453,0.3250310158897495,0.5887983251860823,0.10598217668171167,3.955722681822358,2.1389226071447367,5.214894147318998,0.2938722292030572
