Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
SG,28.5,6.5,1.5,27.1,3.3,8.45,0.416,1.0,3.25,0.357,2.3,4.7,0.44,0.4735,2.2,2.75,0.826,0.45,2.3,2.6500000000000004,1.7,0.8,0.2,1.0,2.3499999999999996,9.45,13.2,0.5345,0.3565,0.277,2.3,10.7,6.25,12.15,1.4,0.5,9.8,19.35,0.2,0.1,0.3,0.08549999999999999,0.4,0.4,0.9500000000000001,0.1
SF,27.0,8.0,5.0,24.7,2.8,7.0,0.438,0.7,2.3,0.3,2.3,4.6,0.4855,0.48,1.1,1.7,0.779,0.8,3.0,3.8,1.4,0.6,0.5,0.7,2.0,8.4,12.6,0.527,0.32,0.294,3.3,14.5,9.4,8.9,1.7,1.4,10.7,16.1,0.2,0.2,0.3,0.076,-0.1,0.2,-0.3,0.1
PG,25.5,7.0,1.0,24.6,2.85,6.85,0.4295,0.7,1.95,0.3525,2.1,4.35,0.469,0.4765,1.65,1.95,0.806,0.45,1.5,1.95,2.55,0.6,0.1,1.2000000000000002,2.0,8.05,12.8,0.505,0.3135,0.27949999999999997,2.0,8.5,5.1,24.4,1.35,0.3,13.05,20.35,0.1,0.1,0.25,0.0645,0.25,-0.85,0.25,0.1
PF,26.0,7.0,0.0,25.4,3.3,7.0,0.48,0.0,0.2,0.111,2.7,5.1,0.528,0.5,1.4,2.0,0.742,1.7,3.8,5.6,0.6,0.4,0.5,1.0,2.7,7.5,13.9,0.537,0.022,0.341,8.5,20.1,14.0,5.0,1.0,1.6,12.2,17.9,0.1,0.2,0.2,0.091,-1.0,-0.3,-0.2,0.0
C,29.0,6.0,1.0,17.3,2.0,4.0,0.52,0.0,0.0,0.1725,1.7,3.2,0.52,0.523,1.0,1.4,0.667,1.5,2.8,4.0,0.5,0.4,0.6,0.8,2.7,5.4,12.6,0.559,0.0,0.292,9.9,19.2,13.9,5.9,1.1,3.6,13.1,15.8,0.1,0.1,0.2,0.087,-1.3,1.1,-0.6,0.0
