Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
SG,27.0,9.0,4.0,31.6,4.0,9.0,0.446,0.9,2.5,0.366,2.8,6.4,0.5,0.5,2.3,2.5,0.834,0.7,2.4,3.2,1.8,0.7,0.2,1.3,2.2,12.6,13.0,0.559,0.241,0.331,2.9,10.6,7.0,12.0,1.2,0.6,11.2,19.1,0.3,0.1,0.5,0.092,0.8,-0.3,0.6,0.2
PF,27.0,7.0,5.5,27.85,3.45,7.0,0.4775,0.1,0.45,0.32,3.1,6.25,0.491,0.503,1.55,2.5,0.718,1.55,4.05,5.85,1.2,0.55,0.45,1.4,3.1500000000000004,8.399999999999999,14.05,0.5575000000000001,0.115,0.34299999999999997,6.15,17.55,12.7,7.75,1.15,1.5499999999999998,13.600000000000001,19.15,0.15000000000000002,0.25,0.4,0.0885,0.1,0.5,0.7,0.1
PG,29.0,7.0,0.0,25.8,3.3,7.3,0.41000000000000003,0.6,2.2,0.3,2.8,5.8,0.448,0.464,1.4,1.8,0.81,0.4,1.9,2.0,2.2,0.7,0.0,1.6,2.4,8.3,11.3,0.517,0.306,0.2405,2.1,9.4,5.4,21.4,1.5,0.1,14.0,21.3,0.0,0.1,0.2,0.057,-0.4,-0.2,-1.5,0.0
SF,25.0,7.0,4.5,28.8,3.15,7.25,0.437,0.6499999999999999,2.15,0.333,2.65,6.05,0.4655,0.496,1.2,1.6,0.813,0.8,3.45,4.65,1.2999999999999998,0.75,0.4,0.9,2.5999999999999996,7.949999999999999,12.1,0.526,0.2205,0.2935,4.5,15.8,9.899999999999999,7.65,1.4,1.3,11.0,17.6,0.1,0.2,0.2,0.08499999999999999,-0.25,0.5,0.65,0.1
C,28.5,6.0,2.0,17.8,1.2,2.2,0.538,0.0,0.0,0.143,1.15,2.15,0.538,0.538,1.1,2.0,0.614,1.3,2.4,3.5999999999999996,0.35,0.4,0.6499999999999999,0.75,2.45,3.5,12.649999999999999,0.5694999999999999,0.0,0.556,9.25,19.65,15.45,4.25,1.0,2.7,18.0,13.6,0.1,0.1,0.2,0.101,-1.4,1.1,-0.15000000000000002,0.05
