Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
SG,27.88235294117647,9.352941176470589,4.823529411764706,26.21764705882353,3.9705882352941178,9.43235294117647,0.42458823529411766,1.1529411764705884,3.3147058823529414,0.31924242424242427,2.823529411764706,6.114705882352942,0.45526470588235296,0.49097058823529416,2.4705882352941178,3.0088235294117647,0.8199354838709677,0.526470588235294,2.4735294117647055,3.0,2.2676470588235293,0.7970588235294118,0.2735294117647059,1.326470588235294,2.273529411764706,11.561764705882354,13.4,0.5407352941176471,0.3821764705882353,0.2996176470588235,2.226470588235294,11.555882352941175,6.855882352941176,14.452941176470588,1.5,0.7647058823529411,10.229411764705883,19.976470588235294,0.31764705882352945,0.22647058823529412,0.5441176470588235,0.0791470588235294,0.4,0.41470588235294115,0.8235294117647058,0.25
PG,27.058823529411764,9.411764705882353,4.823529411764706,23.779411764705884,3.6205882352941177,8.352941176470589,0.3945,0.8117647058823529,2.335294117647059,0.3380625,2.802941176470588,6.035294117647059,0.4399705882352941,0.4445,2.1294117647058823,2.7088235294117644,0.7595,0.49411764705882355,1.785294117647059,2.273529411764706,3.6176470588235294,0.6823529411764706,0.11764705882352941,1.4558823529411764,1.8911764705882352,10.164705882352942,13.532352941176471,0.4866470588235294,0.3058823529411765,0.27594117647058825,2.429411764705882,8.091176470588236,5.2441176470588236,26.38529411764706,1.4264705882352942,0.4029411764705882,12.382352941176471,20.66470588235294,0.31470588235294117,0.17647058823529413,0.5029411764705882,0.06938235294117646,0.7588235294117647,-0.28235294117647064,0.4852941176470588,0.21470588235294116
SF,27.344827586206897,9.586206896551724,5.655172413793103,24.53448275862069,3.527586206896552,8.172413793103448,0.4057586206896552,0.8241379310344829,2.4413793103448276,0.28541379310344833,2.703448275862069,5.744827586206896,0.45817857142857144,0.4614827586206896,2.2241379310344827,2.8379310344827586,0.7787692307692308,0.8275862068965517,3.117241379310345,3.951724137931034,1.5517241379310345,0.7206896551724138,0.45862068965517244,1.096551724137931,2.0551724137931036,10.089655172413794,13.155172413793103,0.5152758620689655,0.3660689655172414,0.3277931034482759,4.417241379310345,14.806896551724137,9.562068965517241,9.710344827586209,1.5517241379310345,1.420689655172414,9.931034482758621,18.586206896551722,0.25517241379310346,0.2482758620689655,0.506896551724138,0.08024137931034482,0.16551724137931037,0.3724137931034483,0.5275862068965518,0.23793103448275862
PF,26.285714285714285,9.2,4.0285714285714285,23.24857142857143,3.417142857142857,7.180000000000001,0.4556857142857143,0.23714285714285716,0.8371428571428572,0.18247826086956523,3.182857142857143,6.357142857142857,0.4890285714285714,0.4702,1.782857142857143,2.442857142857143,0.735939393939394,1.6257142857142857,3.7457142857142856,5.354285714285714,1.0514285714285714,0.5371428571428571,0.5971428571428571,1.1342857142857143,2.4457142857142857,8.848571428571429,13.24,0.5143428571428571,0.13451428571428573,0.3916,9.022857142857143,19.54857142857143,14.271428571428572,6.297142857142857,1.26,1.782857142857143,14.174285714285713,18.145714285714288,0.25142857142857145,0.2714285714285714,0.5257142857142857,0.08217142857142856,-1.1542857142857141,-0.008571428571428567,-1.1628571428571428,0.15714285714285714
C,28.76923076923077,8.282051282051283,4.794871794871795,19.51025641025641,2.464102564102564,4.964102564102564,0.4918717948717949,0.09999999999999999,0.2641025641025641,0.3194,2.364102564102564,4.7,0.4969230769230769,0.5036923076923077,1.4153846153846155,2.1333333333333333,0.6879189189189189,1.5717948717948718,3.1538461538461537,4.728205128205128,0.8102564102564103,0.4333333333333333,0.8205128205128205,0.9897435897435898,2.6076923076923078,6.417948717948718,12.394871794871793,0.5375384615384615,0.04938461538461538,0.4421538461538462,9.107692307692307,17.620512820512822,13.307692307692308,5.5,1.1743589743589742,3.4743589743589745,14.946153846153846,16.194871794871794,0.18974358974358976,0.24615384615384614,0.4461538461538461,0.07066666666666667,-2.1615384615384614,0.6717948717948717,-1.4974358974358972,0.12051282051282051
