Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
POR,82,241.5,44.5,88.4,0.504,1.2,4.1,0.289,43.3,84.3,0.514,27.7,35.7,0.775,14.4,29.4,43.8,28.8,9.4,4.7,18.9,25.4,117.9,True
LAL,82,240.6,45.6,88.4,0.516,2.0,5.5,0.36700000000000005,43.6,82.9,0.526,24.5,31.1,0.789,13.7,30.7,44.4,29.6,8.9,5.9,16.6,22.6,117.8,True
DAL,82,242.4,43.8,89.9,0.48700000000000004,2.8,8.0,0.354,41.0,82.0,0.5,26.2,33.1,0.7909999999999999,14.9,30.4,45.3,24.6,8.4,5.2,14.7,22.8,116.7,True
DEN,82,241.2,45.7,97.0,0.47100000000000003,1.3,4.8,0.271,44.4,92.2,0.48100000000000004,24.1,31.3,0.769,15.8,28.9,44.7,28.3,9.2,5.1,14.8,26.6,116.7,True
OKC,82,242.1,43.8,90.9,0.48200000000000004,2.3,7.0,0.335,41.5,83.9,0.494,23.8,31.4,0.758,16.7,29.2,46.0,26.6,8.6,5.5,18.4,27.1,113.7,True
BOS,82,241.5,44.5,86.0,0.517,2.5,6.9,0.366,41.9,79.1,0.53,21.2,26.3,0.8079999999999999,11.4,31.5,42.9,29.5,6.8,6.4,15.9,20.9,112.6,True
GSW,82,242.7,43.3,90.4,0.479,1.4,4.4,0.319,41.9,86.0,0.48700000000000004,24.0,30.8,0.78,14.5,28.7,43.2,25.4,8.7,3.9,16.5,26.1,112.0,True
DET,82,241.8,43.2,88.3,0.49,0.5,2.1,0.231,42.7,86.2,0.496,24.3,31.7,0.765,15.2,32.3,47.5,24.6,7.8,5.3,17.3,25.3,111.2,True
PHO,82,242.1,43.6,87.7,0.49700000000000005,0.7,3.1,0.242,42.9,84.6,0.506,23.2,30.5,0.76,13.6,28.9,42.4,28.7,8.6,4.8,18.3,25.0,111.1,False
SAC,82,241.2,43.0,90.4,0.475,0.9,3.7,0.251,42.0,86.7,0.485,24.1,30.2,0.7959999999999999,15.6,29.8,45.4,26.6,6.3,4.8,17.1,24.5,110.9,False
MIL,82,241.2,42.2,88.8,0.475,2.3,7.0,0.32299999999999995,39.9,81.8,0.488,23.8,31.1,0.7659999999999999,13.6,28.3,42.0,24.9,10.3,4.8,15.4,26.6,110.4,True
ATL,82,240.6,41.9,87.1,0.48100000000000004,1.6,5.2,0.318,40.2,81.9,0.491,24.6,32.5,0.759,16.5,30.2,46.7,25.3,8.5,6.2,15.6,26.2,110.0,True
BRK,82,242.1,41.1,86.4,0.47600000000000003,1.8,5.5,0.32299999999999995,39.4,80.9,0.48700000000000004,24.4,31.8,0.767,14.3,29.4,43.6,24.3,7.8,4.8,19.7,28.7,108.5,False
SAS,82,241.5,43.1,90.9,0.474,1.4,4.9,0.29,41.6,86.0,0.484,20.7,28.0,0.742,15.7,28.6,44.3,27.1,9.6,4.0,17.1,23.5,108.3,False
UTA,82,240.9,42.5,91.6,0.46399999999999997,1.7,5.5,0.31,40.8,86.2,0.474,21.2,29.1,0.726,14.6,30.0,44.5,27.3,10.2,7.7,17.1,24.9,107.9,True
HOU,82,241.2,42.3,88.6,0.47700000000000004,1.1,4.0,0.275,41.2,84.6,0.48700000000000004,21.3,28.7,0.741,14.5,30.3,44.8,27.2,8.0,6.8,16.9,24.1,106.9,True
PHI,82,242.4,40.7,82.8,0.491,1.1,4.1,0.259,39.6,78.7,0.503,24.0,31.9,0.753,14.4,28.4,42.7,23.7,9.4,6.6,18.5,21.6,106.5,True
IND,82,243.0,42.1,89.3,0.47200000000000003,1.1,3.9,0.297,41.0,85.5,0.479,20.7,26.5,0.782,13.8,30.0,43.9,26.5,8.5,3.8,15.6,25.6,106.1,True
WAS,82,240.3,40.9,90.2,0.45399999999999996,0.5,2.7,0.19699999999999998,40.4,87.5,0.461,23.6,30.9,0.765,15.9,28.2,44.1,21.3,9.2,8.4,15.9,21.6,106.0,True
CHI,82,241.8,41.2,87.3,0.473,1.0,3.6,0.261,40.3,83.6,0.48200000000000004,21.4,27.5,0.778,15.2,29.3,44.5,26.1,8.3,5.3,15.3,23.4,104.8,True
LAC,82,241.2,40.4,89.4,0.452,1.0,4.2,0.22399999999999998,39.4,85.2,0.46299999999999997,22.8,30.7,0.742,15.0,26.1,41.1,24.0,9.2,5.3,18.2,24.4,104.5,False
CLE,82,240.9,40.8,86.9,0.47,1.0,4.1,0.24,39.9,82.7,0.48200000000000004,21.7,31.1,0.6970000000000001,15.3,29.5,44.8,23.3,8.2,6.8,19.7,22.6,104.4,False
NYK,82,241.2,40.6,85.6,0.474,1.5,4.6,0.33299999999999996,39.1,81.1,0.48200000000000004,21.0,28.8,0.73,13.5,26.4,39.9,23.7,8.6,4.8,17.3,24.7,103.8,False
