Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
GSW,82,241.2,41.5,90.3,0.45899999999999996,9.3,26.6,0.348,32.2,63.7,0.506,18.8,24.9,0.752,12.7,30.4,43.2,22.4,9.1,4.6,13.2,22.9,111.0,False
DEN,82,242.1,40.3,85.8,0.47,6.9,19.6,0.355,33.4,66.3,0.504,23.1,30.7,0.7509999999999999,11.2,32.9,44.1,24.7,9.2,6.7,14.7,21.1,110.7,True
PHO,82,241.2,41.4,82.7,0.5,8.5,21.5,0.39299999999999996,32.9,61.2,0.5379999999999999,18.9,24.1,0.7829999999999999,8.8,32.7,41.5,26.7,6.5,6.3,14.4,19.9,110.1,True
LAL,82,241.2,39.6,83.1,0.47600000000000003,8.1,21.4,0.37799999999999995,31.5,61.8,0.51,21.3,27.7,0.769,11.0,33.2,44.1,24.4,8.0,5.3,14.1,20.6,108.6,True
UTA,82,240.3,40.0,80.4,0.49700000000000005,5.0,13.4,0.37200000000000005,35.0,67.0,0.522,21.3,28.0,0.759,11.5,29.4,40.9,26.4,8.7,4.3,14.6,24.0,106.2,True
ORL,82,241.2,37.3,78.6,0.474,9.8,25.3,0.386,27.5,53.3,0.516,20.1,27.9,0.721,9.4,32.6,42.0,20.8,6.3,4.1,14.3,20.6,104.5,True
IND,82,240.9,37.8,85.3,0.444,9.2,24.6,0.374,28.6,60.6,0.47200000000000003,19.1,24.9,0.768,11.0,32.1,43.1,22.7,7.6,5.0,15.1,23.4,104.0,False
SAC,82,241.8,37.1,80.0,0.46399999999999997,6.2,16.7,0.373,30.9,63.3,0.488,22.1,27.7,0.7979999999999999,10.1,30.0,40.1,19.1,7.9,4.1,16.1,22.4,102.5,False
NOP,82,241.5,38.6,82.9,0.466,7.7,19.8,0.389,30.9,63.1,0.49,16.0,20.8,0.769,11.4,30.4,41.8,21.8,7.8,3.9,11.9,18.7,100.9,True
MEM,82,241.5,37.3,82.2,0.45399999999999996,7.6,21.7,0.349,29.8,60.5,0.49200000000000005,18.5,25.6,0.723,10.3,31.3,41.6,19.2,6.1,4.7,15.3,19.4,100.7,False
BOS,82,240.9,36.4,76.7,0.475,7.3,19.1,0.381,29.1,57.6,0.506,20.5,26.5,0.7709999999999999,10.1,31.9,42.0,22.4,8.5,4.6,15.2,22.7,100.5,True
