Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
SAC,50,244.0,38.4,86.1,0.445,5.8,18.9,0.308,32.6,67.3,0.484,17.7,25.9,0.6829999999999999,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3,100.2,True
LAL,50,241.0,36.8,78.7,0.46799999999999997,4.8,13.7,0.35200000000000004,32.0,65.0,0.49200000000000005,20.5,30.1,0.6829999999999999,12.4,29.6,42.0,21.9,7.8,5.7,15.1,24.6,99.0,True
PHO,50,241.0,35.9,80.1,0.449,5.2,14.0,0.37200000000000005,30.7,66.0,0.465,18.5,24.3,0.76,12.0,28.4,40.3,25.0,8.9,4.0,13.6,20.4,95.6,True
OKC,50,242.0,35.1,79.5,0.442,6.2,18.0,0.344,28.9,61.5,0.47,18.4,27.1,0.6809999999999999,13.5,28.4,42.0,21.7,7.9,4.0,15.3,20.9,94.9,False
POR,50,243.5,34.9,79.1,0.442,4.9,13.5,0.364,30.0,65.6,0.457,20.0,27.0,0.743,12.9,31.4,44.3,21.5,8.2,5.8,15.4,22.5,94.8,True
IND,50,242.0,34.6,77.3,0.44799999999999995,5.9,16.0,0.368,28.7,61.3,0.469,19.5,24.6,0.7959999999999999,11.5,29.0,40.5,20.1,6.3,4.5,13.0,21.6,94.7,True
HOU,50,241.5,35.1,76.0,0.462,6.7,18.3,0.368,28.4,57.7,0.49200000000000005,17.3,23.7,0.7290000000000001,10.7,30.8,41.5,21.2,7.7,5.2,16.2,19.2,94.2,True
DEN,50,240.5,33.6,79.8,0.42100000000000004,6.0,18.4,0.32799999999999996,27.6,61.3,0.45,20.2,26.5,0.762,12.9,27.8,40.8,19.4,7.5,5.5,14.8,22.9,93.5,False
UTA,50,243.5,33.7,72.4,0.465,2.8,7.8,0.361,30.9,64.6,0.478,23.2,30.2,0.767,11.1,30.2,41.3,24.1,8.0,5.5,16.3,22.7,93.3,True
BOS,50,243.0,36.3,83.3,0.436,5.5,15.2,0.36,30.9,68.1,0.45299999999999996,14.9,21.5,0.6920000000000001,13.6,29.2,42.8,21.5,9.1,5.1,16.1,23.9,93.0,False
CHO,50,243.0,33.4,74.4,0.449,5.4,14.7,0.365,28.1,59.7,0.47,20.7,27.7,0.747,9.6,29.9,39.5,22.2,8.9,4.9,15.9,22.0,92.9,False
MIN,50,240.5,36.8,86.5,0.425,2.4,8.2,0.298,34.3,78.3,0.43799999999999994,17.0,22.9,0.743,15.1,27.8,42.9,24.4,8.5,5.4,12.8,23.7,92.9,True
SAS,50,241.5,34.8,76.2,0.456,3.4,10.4,0.33,31.4,65.8,0.47600000000000003,19.8,28.3,0.698,12.3,31.7,44.0,22.0,8.4,7.0,15.2,20.2,92.8,True
MIL,50,241.0,35.1,76.4,0.45899999999999996,4.6,12.4,0.373,30.4,64.0,0.47600000000000003,16.9,23.1,0.733,11.4,27.4,38.8,20.6,8.8,4.0,14.4,22.8,91.7,True
DAL,50,241.5,35.0,80.7,0.434,4.0,11.9,0.33899999999999997,30.9,68.8,0.45,17.6,24.2,0.728,12.9,29.6,42.5,18.4,7.0,5.8,13.8,21.3,91.6,False
BRK,50,241.0,33.8,83.2,0.406,4.5,13.6,0.331,29.3,69.6,0.42100000000000004,19.2,25.0,0.769,14.3,28.7,43.0,18.5,9.8,5.5,15.0,22.7,91.4,False
WAS,50,241.0,35.4,79.4,0.445,3.6,11.6,0.309,31.8,67.8,0.469,16.9,24.0,0.705,11.9,28.1,40.0,21.3,7.9,3.9,14.7,23.0,91.2,False
TOR,50,241.5,33.2,78.8,0.42100000000000004,4.5,13.2,0.341,28.7,65.6,0.43700000000000006,20.2,26.6,0.76,14.2,28.9,43.2,20.7,8.8,6.4,16.0,22.8,91.1,False
LAC,50,242.5,34.2,80.1,0.42700000000000005,4.3,13.4,0.32,29.9,66.8,0.44799999999999995,17.7,24.5,0.721,13.3,25.9,39.2,16.4,8.5,4.7,15.9,24.5,90.4,False
DET,50,241.0,33.2,74.3,0.447,5.0,13.6,0.365,28.2,60.7,0.465,19.0,25.7,0.74,12.1,28.2,40.3,20.2,8.9,4.2,15.8,22.8,90.4,True
PHI,50,243.0,33.1,77.7,0.426,2.0,7.4,0.264,31.2,70.2,0.444,21.5,29.7,0.722,14.6,28.6,43.1,18.7,10.8,5.4,16.4,23.0,89.7,True
ORL,50,241.0,33.7,78.9,0.428,4.5,13.5,0.33,29.3,65.4,0.44799999999999995,17.5,25.0,0.7,13.8,28.9,42.7,21.3,9.9,4.3,16.4,18.7,89.5,True
MIA,50,240.5,32.3,71.3,0.45299999999999996,5.8,16.1,0.359,26.5,55.2,0.48100000000000004,18.6,25.2,0.735,10.1,30.2,40.3,20.4,6.5,6.1,14.9,20.7,89.0,True
MEM,50,243.5,32.9,76.8,0.428,3.0,9.1,0.327,29.9,67.7,0.442,20.2,28.2,0.7170000000000001,13.0,27.2,40.2,19.3,8.4,4.0,17.0,22.5,88.9,False
GSW,50,242.5,34.6,83.5,0.415,3.2,11.3,0.287,31.4,72.2,0.435,15.9,23.5,0.6759999999999999,16.3,31.2,47.5,20.7,8.3,4.4,15.4,25.4,88.3,False
NYK,50,242.0,32.2,74.1,0.435,4.2,11.8,0.353,28.0,62.3,0.45,17.8,24.4,0.732,11.0,30.2,41.2,19.3,7.9,5.2,16.1,22.8,86.4,True
CLE,50,241.0,31.2,71.2,0.439,3.6,10.7,0.341,27.6,60.5,0.456,20.3,27.1,0.7490000000000001,9.4,26.3,35.8,21.9,9.0,4.1,15.7,24.2,86.4,False
ATL,50,241.5,30.8,75.2,0.409,3.9,12.9,0.306,26.8,62.3,0.431,20.8,28.4,0.731,13.5,30.0,43.5,15.6,6.9,5.2,14.9,19.7,86.3,True
CHI,50,241.5,30.8,76.7,0.401,3.5,12.2,0.289,27.2,64.5,0.42200000000000004,16.8,23.7,0.7090000000000001,11.5,27.9,39.3,20.3,8.7,3.4,15.5,22.2,81.9,False
