Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
GSW,82,240.3,42.5,87.9,0.484,3.0,9.1,0.324,39.6,78.8,0.503,28.2,34.9,0.809,11.2,29.1,40.2,24.1,9.2,6.0,17.3,24.5,116.3,False
PHO,82,242.1,43.2,87.1,0.496,2.1,6.6,0.324,41.1,80.4,0.511,26.3,33.1,0.795,12.8,32.3,45.2,25.7,8.1,6.1,15.5,22.3,114.9,True
DEN,82,241.5,45.3,97.7,0.46399999999999997,2.8,8.3,0.337,42.5,89.5,0.475,21.2,26.8,0.789,14.3,30.9,45.1,27.7,9.9,4.0,13.9,25.0,114.6,True
POR,82,242.4,43.6,92.0,0.473,2.3,6.9,0.336,41.2,85.1,0.484,24.8,33.3,0.743,16.5,31.1,47.6,25.4,9.1,4.4,16.5,25.0,114.2,True
ORL,82,241.5,42.2,91.8,0.45899999999999996,1.4,4.8,0.295,40.7,87.0,0.46799999999999997,25.1,33.2,0.7559999999999999,15.9,30.1,46.0,24.3,7.5,3.6,17.2,24.1,110.9,False
LAL,82,242.1,41.9,85.5,0.49,3.8,10.3,0.36700000000000005,38.1,75.2,0.507,23.2,29.5,0.787,13.4,30.0,43.4,27.2,8.0,5.4,15.0,21.2,110.7,True
PHI,82,241.5,41.9,85.7,0.489,2.3,6.6,0.348,39.6,79.1,0.501,24.1,30.6,0.7879999999999999,13.5,29.3,42.9,23.6,8.4,4.5,14.7,20.7,110.2,True
BOS,82,240.3,43.5,87.2,0.498,1.3,4.9,0.262,42.2,82.2,0.513,21.8,26.3,0.8320000000000001,13.0,33.0,46.0,29.5,6.6,5.5,15.3,20.9,110.0,True
CHI,82,241.8,43.1,86.5,0.498,3.0,8.2,0.374,40.0,78.3,0.511,20.3,26.1,0.778,13.1,27.8,40.9,26.5,9.9,4.7,15.2,23.2,109.5,True
IND,82,242.4,41.2,83.0,0.49700000000000005,3.6,9.4,0.382,37.6,73.6,0.511,23.2,28.5,0.816,11.5,29.1,40.6,24.7,6.7,4.3,16.4,24.0,109.3,True
ATL,82,240.6,41.7,85.6,0.48700000000000004,1.5,5.0,0.302,40.2,80.6,0.498,23.7,31.0,0.764,15.5,26.7,42.2,22.2,8.7,4.3,15.5,22.8,108.5,False
NYK,82,241.8,41.9,86.5,0.484,2.9,8.7,0.332,39.0,77.8,0.501,21.6,28.6,0.7559999999999999,14.5,29.6,44.1,26.1,8.7,6.0,17.2,22.3,108.3,True
WAS,82,241.8,43.9,92.5,0.475,0.5,2.4,0.188,43.4,90.0,0.48200000000000004,19.5,25.5,0.764,14.6,29.9,44.5,27.0,6.8,5.2,14.6,23.5,107.7,False
OKC,82,242.7,42.3,88.3,0.479,2.8,7.9,0.355,39.5,80.4,0.491,19.6,26.4,0.741,16.1,27.5,43.6,22.9,8.5,4.1,16.3,25.2,106.9,False
UTA,82,241.8,40.6,80.4,0.505,2.8,7.7,0.359,37.9,72.7,0.521,22.9,30.3,0.754,11.6,30.5,42.1,27.0,8.3,6.0,17.2,24.8,106.8,True
HOU,82,241.5,42.5,88.4,0.48,1.9,6.0,0.312,40.6,82.4,0.493,19.9,27.6,0.72,14.8,32.2,47.0,26.8,9.9,6.7,18.5,23.6,106.7,True
SAS,82,240.6,41.3,85.3,0.484,0.7,2.8,0.239,40.7,82.6,0.49200000000000005,23.0,30.9,0.745,14.2,30.2,44.4,24.8,9.7,6.8,17.1,22.6,106.3,True
MIL,82,241.8,41.2,87.1,0.473,2.5,8.2,0.312,38.7,79.0,0.49,21.0,27.7,0.758,13.5,27.4,40.9,25.0,10.1,4.0,16.0,25.4,106.0,True
DET,82,241.5,40.6,85.1,0.478,2.2,6.6,0.327,38.5,78.5,0.49,20.9,27.5,0.7609999999999999,14.5,30.0,44.4,24.3,6.2,5.1,15.0,23.9,104.3,True
LAC,82,241.5,40.5,83.6,0.484,0.7,2.8,0.243,39.8,80.8,0.493,22.1,30.0,0.738,12.9,28.8,41.7,24.1,9.5,6.2,18.9,22.7,103.8,False
CLE,82,242.4,39.2,85.1,0.461,4.2,10.4,0.40700000000000003,35.0,74.7,0.46799999999999997,20.0,26.8,0.7440000000000001,13.8,29.0,42.8,25.7,7.9,6.2,15.2,20.3,102.6,True
DAL,82,242.1,39.6,83.3,0.475,1.9,5.9,0.32299999999999995,37.7,77.4,0.48700000000000004,21.2,27.6,0.767,12.7,29.5,42.2,21.7,8.1,4.9,15.0,21.1,102.2,True
SAC,82,240.9,40.3,86.0,0.46799999999999997,2.6,7.9,0.33299999999999996,37.7,78.1,0.48200000000000004,18.5,24.0,0.7709999999999999,11.6,28.8,40.4,25.0,6.7,4.8,15.1,22.7,101.7,False
MIA,82,240.6,41.3,89.6,0.461,1.1,3.7,0.293,40.2,85.9,0.46799999999999997,17.0,24.7,0.687,15.1,28.2,43.4,23.9,9.0,4.7,19.0,25.9,100.6,False
CHO,82,240.9,39.9,87.6,0.455,2.5,7.5,0.336,37.4,80.1,0.466,18.1,24.0,0.7559999999999999,11.7,27.0,38.7,25.4,9.5,3.2,15.0,23.0,100.4,False
BRK,82,240.3,38.5,90.4,0.426,1.7,6.2,0.27699999999999997,36.8,84.3,0.43700000000000006,21.4,28.7,0.746,16.6,28.3,45.0,18.0,9.4,5.9,16.6,23.8,100.1,False
MIN,82,242.1,37.4,83.9,0.446,0.9,3.6,0.248,36.5,80.3,0.455,19.5,26.1,0.747,14.6,25.0,39.6,22.5,9.6,4.2,14.6,23.2,95.2,False
