Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
LAL,82,241.8,38.4,79.7,0.48100000000000004,6.1,17.3,0.35100000000000003,32.3,62.5,0.517,22.7,33.5,0.679,13.2,30.1,43.3,24.5,9.0,6.8,15.3,22.7,105.5,True
MIN,82,243.0,38.5,83.5,0.461,3.7,10.6,0.34700000000000003,34.8,72.8,0.478,20.4,27.5,0.743,13.0,29.6,42.6,25.2,7.8,5.2,13.9,23.0,101.1,True
UTA,82,241.2,36.5,74.5,0.49,3.0,8.2,0.37200000000000005,33.5,66.4,0.504,24.9,32.2,0.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0,True
OKC,82,240.9,37.2,78.8,0.473,7.6,19.1,0.396,29.6,59.6,0.49700000000000005,18.5,25.7,0.721,11.4,27.1,38.5,24.2,9.8,4.6,14.0,22.1,100.6,True
PHO,82,243.4,38.3,81.8,0.46799999999999997,5.3,14.8,0.35600000000000004,33.0,67.1,0.49200000000000005,17.8,23.8,0.7490000000000001,12.1,29.9,42.0,25.9,9.2,5.2,15.1,21.5,99.6,True
BRK,82,242.4,37.3,84.5,0.441,3.8,11.4,0.331,33.5,73.1,0.45799999999999996,21.3,28.7,0.7440000000000001,16.4,26.1,42.5,20.5,9.5,3.8,14.4,23.4,99.6,True
HOU,82,241.8,35.9,79.4,0.452,7.0,20.4,0.34299999999999997,28.9,59.1,0.49,19.9,25.9,0.7709999999999999,12.0,28.7,40.7,21.9,8.4,3.6,15.8,20.2,98.8,True
WAS,82,241.5,37.6,83.1,0.452,3.9,11.5,0.33899999999999997,33.7,71.5,0.47,18.2,26.3,0.691,13.7,28.5,42.2,23.2,8.4,4.6,14.1,22.4,97.2,False
CHI,82,242.1,37.4,82.9,0.451,3.8,11.7,0.32299999999999995,33.6,71.2,0.47100000000000003,18.2,24.5,0.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7,True
CHO,82,241.2,36.2,77.4,0.46799999999999997,4.2,11.0,0.38299999999999995,32.0,66.3,0.48200000000000004,20.0,26.7,0.7509999999999999,12.0,28.5,40.6,23.7,8.4,3.8,15.2,21.4,96.6,True
MEM,82,241.8,36.7,80.1,0.45799999999999996,4.0,11.0,0.36200000000000004,32.7,69.1,0.473,19.3,26.2,0.7390000000000001,13.2,28.2,41.4,23.9,7.5,4.3,17.1,22.1,96.6,False
IND,82,241.8,35.6,75.9,0.469,4.9,12.5,0.39,30.7,63.3,0.485,19.9,26.0,0.764,10.7,28.6,39.3,23.0,7.9,4.5,14.2,22.7,96.0,True
BOS,82,240.6,36.7,84.6,0.434,5.1,15.2,0.332,31.7,69.3,0.457,17.4,24.0,0.726,14.6,24.9,39.5,22.1,12.0,4.5,16.2,26.9,95.9,False
LAC,82,241.2,35.7,81.6,0.43799999999999994,6.4,17.9,0.358,29.3,63.7,0.461,18.0,25.0,0.723,12.7,27.8,40.4,18.7,7.6,5.6,16.1,22.3,95.9,False
ATL,82,242.4,35.2,77.5,0.455,4.1,12.4,0.332,31.1,65.1,0.478,21.3,28.2,0.7559999999999999,13.5,29.5,43.0,19.1,8.0,6.0,14.8,20.4,95.9,True
MIA,82,240.9,34.8,77.2,0.45,6.7,18.8,0.355,28.1,58.3,0.48100000000000004,18.8,25.4,0.7390000000000001,12.5,29.5,42.0,21.4,8.1,5.2,15.0,24.2,95.0,True
TOR,82,243.0,36.2,83.1,0.435,4.5,13.2,0.34299999999999997,31.6,69.8,0.45299999999999996,18.0,25.1,0.718,14.5,26.2,40.7,21.3,9.4,8.1,16.7,22.6,94.9,False
