Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Arena,Attend.,Attend./G,Made_Playoffs
SEA,27.7,55.0,27.0,59,23,7.07,-0.42,6.66,112.3,104.9,7.4,96.0,0.316,0.085,0.546,0.502,13.5,35.5,0.24100000000000002,0.489,16.4,67.7,0.26,Seattle Center Coliseum,646589,,True
CHI,28.1,57.0,25.0,58,24,6.29,-0.1,6.19,112.9,106.1,6.8,92.5,0.271,0.09300000000000001,0.535,0.499,12.0,36.3,0.19899999999999998,0.493,15.4,68.7,0.239,Chicago Stadium,759656,,True
CLE,28.8,54.0,28.0,58,24,6.45,-0.15,6.3,112.7,106.0,6.7,94.8,0.308,0.10800000000000001,0.565,0.518,12.5,28.1,0.247,0.48200000000000004,13.1,69.1,0.185,Coliseum at Richfield,751465,,True
PHO,28.2,62.0,20.0,57,25,6.66,-0.39,6.27,113.3,106.7,6.6,99.8,0.358,0.154,0.5660000000000001,0.521,14.2,33.0,0.27,0.496,13.9,69.2,0.20600000000000002,America West Arena,779943,,True
NYK,28.3,60.0,22.0,58,24,6.16,-0.29,5.87,106.1,99.7,6.4,94.5,0.336,0.08800000000000001,0.526,0.479,14.1,33.1,0.249,0.444,14.9,72.1,0.294,Madison Square Garden (IV),804840,,True
HOU,27.4,55.0,27.0,53,29,4.23,-0.66,3.57,109.6,105.2,4.4,94.4,0.31,0.159,0.557,0.515,14.5,30.0,0.235,0.474,13.4,68.5,0.201,The Summit,554210,,True
POR,28.2,51.0,31.0,49,33,3.11,-0.19,2.92,108.3,105.2,3.1,99.1,0.34700000000000003,0.115,0.526,0.47600000000000003,12.6,32.7,0.259,0.488,14.8,71.0,0.237,Memorial Coliseum,528408,12888.0,True
SAS,27.5,49.0,33.0,48,34,2.67,-0.46,2.21,109.6,106.8,2.8,95.4,0.34700000000000003,0.102,0.555,0.507,13.6,27.8,0.265,0.47700000000000004,12.3,70.1,0.221,HemisFair Arena,658337,,True
UTA,29.3,47.0,35.0,47,35,2.17,-0.43,1.74,109.6,107.4,2.2,96.5,0.365,0.061,0.55,0.498,13.8,31.0,0.27899999999999997,0.48700000000000004,13.9,68.7,0.25,Delta Center,815892,,True
IND,26.8,41.0,41.0,46,36,1.7,0.08,1.77,111.9,110.1,1.8,96.0,0.342,0.11199999999999999,0.547,0.498,13.5,34.2,0.262,0.485,12.7,67.4,0.281,Market Square Arena,530891,,True
ORL,25.8,41.0,41.0,45,37,1.32,0.03,1.35,108.5,107.1,1.4,96.3,0.37200000000000005,0.133,0.5539999999999999,0.509,15.5,31.4,0.271,0.473,11.9,68.8,0.23199999999999998,Orlando Arena,621191,,False
NJN,27.3,43.0,39.0,45,37,1.26,-0.05,1.2,106.5,105.2,1.3,96.0,0.319,0.069,0.522,0.473,14.4,35.5,0.244,0.48,14.1,69.5,0.24,Brendan Byrne Arena,620416,,True
