Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Arena,Attend.,Attend./G,Made_Playoffs
LAL,27.4,62.0,20.0,58,24,7.35,-0.87,6.48,114.1,107.0,7.1,103.2,0.308,0.040999999999999995,0.589,0.551,15.7,33.8,0.235,0.485,13.7,67.1,0.22,The Forum,610361,15505.0,True
MIL,25.7,59.0,23.0,58,24,6.85,-0.16,6.69,110.5,103.6,6.9,99.7,0.341,0.040999999999999995,0.545,0.49700000000000005,14.2,35.4,0.258,0.467,16.1,65.6,0.29,MECCA Arena,422924,,True
BOS,28.5,63.0,19.0,57,25,6.65,-0.18,6.47,112.8,106.3,6.5,101.6,0.315,0.042,0.564,0.515,13.8,32.8,0.254,0.48100000000000004,12.6,70.4,0.198,Boston Garden,610547,14890.0,True
PHI,27.9,58.0,24.0,51,31,4.1,0.07,4.17,111.3,107.3,4.0,100.8,0.41200000000000003,0.032,0.561,0.49700000000000005,16.0,37.4,0.331,0.494,15.7,66.6,0.259,The Spectrum,575415,,True
POR,25.2,42.0,40.0,49,33,3.4,-0.6,2.8,110.4,107.2,3.2,103.5,0.36200000000000004,0.027000000000000003,0.5539999999999999,0.506,14.8,34.0,0.271,0.49700000000000005,15.9,64.4,0.23199999999999998,Memorial Coliseum,519306,,True
DET,26.9,46.0,36.0,47,35,2.49,0.24,2.73,109.6,107.2,2.4,105.0,0.28300000000000003,0.025,0.529,0.483,13.0,35.4,0.223,0.501,14.9,69.6,0.245,Pontiac Silverdome,691550,,True
DEN,28.3,52.0,30.0,47,35,2.44,-0.39,2.05,110.7,108.4,2.3,107.6,0.322,0.028999999999999998,0.54,0.491,13.2,33.6,0.253,0.516,17.0,66.1,0.275,McNichols Sports Arena,448546,,True
DAL,25.0,44.0,38.0,47,35,2.17,-0.37,1.8,111.5,109.3,2.2,98.8,0.319,0.061,0.5489999999999999,0.499,12.5,30.7,0.253,0.51,14.2,68.8,0.221,Reunion Arena,683916,,True
HOU,25.3,48.0,34.0,45,37,1.72,-0.34,1.38,107.9,106.3,1.6,102.2,0.304,0.025,0.54,0.507,16.0,37.4,0.213,0.48700000000000004,15.2,67.4,0.259,The Summit,553014,,True
SAS,28.1,41.0,41.0,43,39,0.91,-0.29,0.63,109.9,109.0,0.9,103.9,0.35700000000000004,0.027999999999999997,0.565,0.517,15.6,33.2,0.272,0.501,15.0,68.5,0.26899999999999996,HemisFair Arena,351950,,True
