Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Arena,Attend.,Attend./G,Made_Playoffs
LAL,28.9,63.0,19.0,58,24,6.78,-0.04,6.74,114.0,107.0,7.0,96.3,0.345,0.12,0.562,0.512,13.2,32.8,0.271,0.479,12.8,68.5,0.21899999999999997,Great Western Forum,712498,,True
PHO,26.7,54.0,28.0,58,24,7.1,-0.01,7.09,113.1,106.2,6.9,100.7,0.38,0.076,0.565,0.509,13.3,31.1,0.302,0.478,12.8,68.8,0.209,Arizona Veterans Memorial Coliseum,578661,,True
DET,29.5,59.0,23.0,57,25,6.09,-0.68,5.41,109.9,103.5,6.4,94.4,0.32299999999999995,0.078,0.537,0.49,13.4,34.2,0.245,0.461,13.7,70.3,0.262,The Palace of Auburn Hills,879705,,True
POR,26.7,59.0,23.0,57,25,6.32,0.16,6.48,110.5,104.4,6.1,102.3,0.36200000000000004,0.075,0.535,0.486,13.4,36.5,0.26899999999999996,0.479,15.2,70.8,0.265,Memorial Coliseum,528132,,True
PHI,27.4,53.0,29.0,54,28,4.99,-0.75,4.23,113.5,108.4,5.1,96.5,0.35700000000000004,0.077,0.556,0.502,12.9,32.0,0.281,0.495,13.3,68.4,0.223,The Spectrum,565926,,True
UTA,27.6,55.0,27.0,54,28,4.79,0.03,4.82,110.3,105.4,4.9,96.1,0.377,0.096,0.57,0.522,15.5,30.1,0.284,0.46799999999999997,13.4,69.5,0.268,Salt Palace,517256,,True
BOS,30.2,52.0,30.0,51,31,3.99,-0.76,3.23,112.0,107.9,4.1,98.2,0.301,0.057,0.557,0.506,13.4,31.5,0.251,0.47700000000000004,10.8,72.1,0.223,Boston Garden,611537,14890.0,True
SAS,26.4,56.0,26.0,50,32,3.49,0.09,3.58,107.7,104.2,3.5,98.5,0.36200000000000004,0.032,0.537,0.488,14.7,34.2,0.27,0.47700000000000004,15.0,68.7,0.235,HemisFair Arena,586787,,True
CHI,26.1,55.0,27.0,50,32,3.26,-0.51,2.74,112.3,109.0,3.3,96.7,0.302,0.094,0.5589999999999999,0.516,13.4,31.9,0.235,0.508,15.2,68.1,0.262,Chicago Stadium,752564,,True
HOU,27.9,41.0,41.0,45,37,1.46,0.24,1.71,104.8,103.4,1.4,101.2,0.313,0.068,0.531,0.491,15.5,33.1,0.225,0.475,14.7,69.2,0.228,The Summit,649702,,True
NYK,26.5,45.0,37.0,45,37,1.41,-0.63,0.78,109.4,108.0,1.4,98.2,0.331,0.1,0.547,0.501,14.8,34.2,0.25,0.48200000000000004,13.3,66.0,0.215,Madison Square Garden (IV),730432,,True
DEN,29.5,43.0,39.0,45,37,1.41,0.15,1.56,108.0,106.7,1.3,105.4,0.275,0.084,0.523,0.478,11.2,29.1,0.217,0.501,15.2,71.3,0.264,McNichols Sports Arena,484288,,True
SEA,25.6,41.0,41.0,44,38,1.04,0.36,1.4,110.9,109.8,1.1,95.3,0.299,0.09,0.535,0.494,14.0,37.5,0.222,0.499,14.3,69.1,0.297,Seattle Center Coliseum,473277,,False
ATL,28.6,41.0,41.0,44,38,1.02,-0.39,0.64,113.0,111.9,1.1,95.8,0.36200000000000004,0.059000000000000004,0.547,0.496,13.5,36.3,0.27699999999999997,0.509,14.0,65.5,0.254,Omni Coliseum,573711,,False
IND,26.4,42.0,40.0,41,41,0.16,-0.34,-0.18,111.5,111.4,0.1,97.0,0.34299999999999997,0.113,0.5720000000000001,0.518,14.6,29.0,0.28,0.494,12.6,67.1,0.25,Market Square Arena,518923,,True
DAL,29.2,47.0,35.0,41,41,0.07,0.35,0.42,107.2,107.2,0.0,94.5,0.331,0.071,0.536,0.48700000000000004,13.6,30.3,0.254,0.48100000000000004,13.4,67.9,0.23199999999999998,Reunion Arena,691490,,True
CLE,26.1,42.0,40.0,40,42,-0.3,-0.31,-0.62,106.9,107.2,-0.3,95.0,0.315,0.122,0.529,0.485,13.5,31.5,0.235,0.49,14.0,67.7,0.20199999999999999,Coliseum at Richfield,695710,20273.0,True
MIL,28.1,44.0,38.0,39,43,-0.78,-0.28,-1.06,107.3,108.1,-0.8,98.0,0.318,0.094,0.5329999999999999,0.488,13.9,31.5,0.24100000000000002,0.49200000000000005,15.8,66.0,0.29,Bradley Center,659602,,True
WSB,27.5,31.0,51.0,35,47,-2.16,-0.27,-2.43,107.5,109.7,-2.2,99.4,0.276,0.026000000000000002,0.519,0.47700000000000004,12.4,32.4,0.21100000000000002,0.484,12.4,67.2,0.249,Capital Centre,458332,,False
GSW,26.0,37.0,45.0,33,49,-3.13,0.59,-2.55,109.6,112.6,-3.0,105.9,0.397,0.10400000000000001,0.563,0.501,14.3,26.1,0.321,0.494,13.6,61.5,0.253,Oakland-Alameda County Coliseum Arena,616025,,False
LAC,24.5,30.0,52.0,32,50,-3.39,0.59,-2.8,104.0,107.4,-3.4,99.2,0.359,0.034,0.536,0.488,16.3,30.9,0.265,0.489,14.3,67.3,0.24100000000000002,Los Angeles Memorial Sports Arena,486621,,False
MIN,26.2,22.0,60.0,29,53,-4.23,0.63,-3.6,103.6,108.2,-4.6,91.1,0.311,0.043,0.499,0.451,13.3,34.0,0.23199999999999998,0.49200000000000005,15.5,66.2,0.29100000000000004,Hubert H. Humphrey Metrodome,1072572,,False
SAC,26.4,23.0,59.0,28,54,-5.06,0.65,-4.41,104.8,110.0,-5.2,96.7,0.278,0.092,0.527,0.484,13.5,27.3,0.215,0.484,12.5,67.3,0.255,ARCO Arena (II),697667,,False
NJN,26.6,17.0,65.0,21,61,-7.87,0.05,-7.82,100.7,108.6,-7.9,99.3,0.317,0.068,0.486,0.435,13.9,34.5,0.237,0.495,14.9,67.0,0.272,Brendan Byrne Arena,473760,,False
CHO,25.6,19.0,63.0,21,61,-7.82,0.81,-7.0,102.0,109.9,-7.9,98.1,0.27399999999999997,0.085,0.511,0.47,13.2,26.1,0.207,0.506,14.7,67.5,0.26899999999999996,Charlotte Coliseum,979941,,False
ORL,26.5,18.0,64.0,21,61,-8.91,0.19,-8.73,105.8,114.3,-8.5,104.1,0.36200000000000004,0.052000000000000005,0.521,0.467,13.9,33.7,0.27399999999999997,0.511,12.1,67.8,0.245,Orlando Arena,617468,,False
MIA,24.7,18.0,64.0,18,64,-9.72,0.13,-9.59,99.3,108.9,-9.6,101.0,0.276,0.040999999999999995,0.501,0.467,15.9,33.5,0.19,0.499,15.2,67.3,0.292,Miami Arena,615328,,False
