Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Kareem Abdul-Jabbar*,C,32,LAL,82,,38.3,10.2,16.9,.604,0.0,0.0,.000,10.2,16.9,.604,.604,4.4,5.8,.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8,25.3,.639,.001,.344,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,9.5,5.3,14.8,.227,4.8,2.4,7.2,7.3,
Tom Abernethy,PF,25,GSW,67,,18.2,2.3,4.7,.481,0.0,0.0,.000,2.3,4.7,.483,.481,0.8,1.2,.683,0.9,1.9,2.9,1.3,0.5,0.2,0.6,1.8,5.4,11.0,.511,.003,.258,5.4,12.0,8.6,9.3,1.4,0.6,9.9,13.3,1.2,0.8,2.0,.080,-1.0,-0.2,-1.2,0.2,
Alvan Adams,C,25,PHO,75,,28.9,6.2,11.7,.531,0.0,0.0,.000,6.2,11.6,.533,.531,2.5,3.1,.797,2.1,6.0,8.1,4.3,1.4,0.7,2.9,3.2,14.9,19.2,.571,.002,.270,8.2,22.4,15.4,21.6,2.3,1.4,18.2,21.9,3.1,3.9,7.0,.155,1.7,1.9,3.6,3.1,
Tiny Archibald*,PG,31,BOS,80,80,35.8,4.8,9.9,.482,0.1,0.2,.222,4.7,9.7,.488,.485,4.5,5.4,.830,0.7,1.7,2.5,8.4,1.3,0.1,3.0,2.7,14.1,15.3,.574,.023,.548,2.3,5.3,3.8,30.2,1.7,0.2,19.7,17.0,5.9,2.9,8.9,.148,1.4,-0.3,1.1,2.3,
Dennis Awtrey,C,31,CHI,26,,21.5,1.0,2.3,.450,0.0,0.0,,1.0,2.3,.450,.450,1.2,1.9,.640,1.1,3.3,4.4,1.5,0.5,0.6,1.0,2.5,3.3,7.4,.524,.000,.833,6.0,16.9,11.5,9.0,1.0,1.5,24.8,7.9,0.1,0.5,0.6,.053,-2.3,0.9,-1.4,0.1,
Gus Bailey,SG,28,WSB,20,,9.0,0.8,1.8,.457,0.1,0.1,1.000,0.8,1.7,.441,.471,0.3,0.7,.385,0.3,1.1,1.4,1.3,0.4,0.2,0.6,0.9,1.9,9.3,.467,.029,.371,3.3,12.4,7.8,17.8,1.8,1.2,21.3,11.3,0.0,0.2,0.2,.043,-3.0,1.3,-1.7,0.1,
James Bailey,PF,22,SEA,67,,10.8,1.8,4.0,.450,0.0,0.0,,1.8,4.0,.450,.450,1.0,1.5,.673,1.1,1.9,2.9,0.4,0.3,0.8,1.2,1.7,4.7,12.3,.495,.000,.373,10.2,18.3,14.3,5.3,1.4,4.1,20.0,21.4,-0.4,1.4,1.0,.063,-4.2,0.9,-3.3,-0.2,
Greg Ballard,SF,25,WSB,82,,29.7,6.6,13.4,.495,0.2,0.6,.340,6.5,12.9,.502,.502,2.1,2.8,.753,2.9,4.9,7.8,1.9,1.1,0.4,1.6,2.4,15.6,18.1,.532,.043,.206,9.8,16.6,13.1,9.7,1.7,0.8,10.0,21.6,4.1,2.8,6.9,.136,1.9,0.1,2.0,2.5,
Mike Bantom,SF,28,IND,77,,30.3,5.0,9.9,.505,0.0,0.0,.333,5.0,9.8,.506,.506,1.8,2.7,.665,2.5,3.4,5.9,3.6,1.1,0.6,2.5,3.5,11.8,13.7,.533,.004,.275,8.3,12.1,10.1,15.9,1.7,1.1,18.2,17.3,2.1,1.9,3.9,.081,-0.3,-0.5,-0.7,0.7,
Marvin Barnes,PF,27,SDC,20,,14.4,1.2,3.0,.400,0.0,0.0,,1.2,3.0,.400,.400,0.8,1.6,.500,1.7,2.2,3.9,0.9,0.3,0.6,0.9,2.6,3.2,8.2,.432,.000,.533,12.4,16.8,14.5,7.8,0.8,2.3,19.5,12.8,-0.1,0.2,0.1,.019,-3.8,-0.5,-4.3,-0.2,
Rick Barry*,SF,35,HOU,72,,25.2,4.5,10.7,.422,1.0,3.1,.330,3.5,7.6,.458,.469,2.0,2.1,.935,0.7,2.5,3.3,3.7,1.1,0.4,2.1,2.5,12.0,14.8,.517,.287,.198,3.1,11.5,7.2,20.4,2.1,0.9,15.3,21.6,2.2,1.2,3.4,.090,1.1,0.0,1.1,1.4,
Tim Bassett,PF,28,TOT,12,,13.7,1.0,2.8,.353,0.0,0.0,,1.0,2.8,.353,.353,0.8,1.3,.667,0.9,1.8,2.8,1.2,0.7,0.0,0.8,2.3,2.8,6.7,.419,.000,.441,7.1,14.0,10.6,9.7,2.2,0.0,18.1,11.6,-0.1,0.2,0.1,.033,-3.5,0.1,-3.4,-0.1,
Tim Bassett,PF,28,NJN,7,,13.1,1.1,3.1,.364,0.0,0.0,,1.1,3.1,.364,.364,1.1,1.7,.667,1.0,1.6,2.6,0.6,0.7,0.0,0.6,2.0,3.4,7.9,.440,.000,.545,7.9,12.4,10.1,5.5,2.5,0.0,12.8,13.1,0.0,0.1,0.1,.063,-3.5,0.1,-3.4,0.0,
Tim Bassett,PF,28,SAS,5,,14.4,0.8,2.4,.333,0.0,0.0,,0.8,2.4,.333,.333,0.4,0.6,.667,0.8,2.2,3.0,2.0,0.6,0.0,1.0,2.6,2.0,5.3,.375,.000,.250,6.1,16.0,11.1,15.1,1.8,0.0,27.3,9.6,-0.1,0.0,0.0,-0.005,-3.6,0.2,-3.4,0.0,
Billy Ray Bates,SG,23,POR,16,,14.7,4.5,9.1,.493,0.5,1.2,.421,4.0,7.9,.504,.521,1.8,2.4,.718,0.8,1.0,1.8,1.9,0.9,0.1,1.3,1.6,11.3,24.1,.552,.130,.267,6.0,7.6,6.8,23.8,2.9,0.5,10.9,32.0,0.7,0.3,0.9,.188,3.7,0.6,4.3,0.5,
Ron Behagen,PF,29,WSB,6,,10.7,1.5,3.8,.391,0.0,0.0,,1.5,3.8,.391,.391,0.8,1.0,.833,1.0,1.3,2.3,1.2,0.0,0.7,0.7,2.3,3.8,10.2,.449,.000,.261,9.3,12.7,11.0,14.4,0.0,3.3,13.5,18.3,0.0,0.1,0.1,.055,-3.7,0.3,-3.4,0.0,
Kent Benson,C,25,TOT,73,,25.9,4.1,8.5,.484,0.0,0.1,.200,4.1,8.4,.486,.485,1.4,1.9,.702,1.7,4.5,6.2,2.4,1.0,1.3,2.2,3.4,9.6,13.1,.513,.008,.228,7.3,18.3,12.9,12.2,1.8,2.7,18.8,17.4,0.4,2.7,3.2,.080,-1.6,1.4,-0.3,0.8,
Kent Benson,C,25,MIL,56,,24.8,3.8,7.7,.494,0.0,0.0,.000,3.8,7.7,.495,.494,1.2,1.7,.680,1.7,4.2,5.9,2.3,1.0,1.3,1.9,3.2,8.8,13.3,.519,.002,.225,7.7,18.0,13.0,11.8,1.8,2.9,18.3,16.6,0.6,2.3,2.9,.100,-1.4,1.8,0.5,0.9,
Kent Benson,C,25,DET,17,,29.5,5.1,11.0,.460,0.1,0.2,.250,5.0,10.8,.464,.463,1.9,2.6,.750,1.8,5.3,7.1,3.0,1.1,1.1,3.0,4.0,12.1,12.4,.499,.021,.235,6.2,19.0,12.6,13.6,1.7,1.9,19.8,19.7,-0.2,0.4,0.3,.026,-2.3,0.1,-2.2,0.0,
Del Beshore,PG,23,CHI,68,,12.8,1.3,3.7,.352,0.1,0.4,.385,1.1,3.3,.348,.372,0.9,1.3,.667,0.2,0.7,0.9,2.0,0.9,0.1,1.5,1.5,3.6,6.4,.423,.104,.348,2.1,5.9,4.1,21.5,3.1,0.3,26.5,18.4,-1.7,0.8,-0.9,-0.052,-5.0,-0.1,-5.1,-0.7,
Henry Bibby,PG,30,PHI,82,8,24.8,3.1,7.6,.401,0.1,0.6,.212,2.9,7.0,.418,.410,2.8,3.5,.790,0.8,1.7,2.5,3.7,0.8,0.1,1.8,2.0,9.0,11.1,.491,.083,.457,3.6,7.1,5.4,19.8,1.4,0.2,16.4,17.7,1.3,2.1,3.4,.079,-1.7,-0.5,-2.2,-0.1,
