Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Shareef Abdur-Rahim,PF,29,SAC,72,30,27.2,4.6,8.8,.525,0.1,0.3,.227,4.5,8.5,.536,.529,3.0,3.9,.784,1.5,3.5,5.0,2.1,0.7,0.6,1.5,3.2,12.3,17.2,.588,.035,.440,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,4.0,2.2,6.2,.152,0.5,0.4,0.9,1.4,5000000.0
Alex Acker,SG,23,DET,5,0,7.0,0.8,3.2,.250,0.2,1.0,.200,0.6,2.2,.273,.281,0.0,0.0,,0.2,0.8,1.0,0.8,0.2,0.0,0.8,0.8,1.8,-2.4,.281,.313,.000,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,-0.2,0.0,-0.2,-0.230,-11.0,-4.2,-15.3,-0.1,398762.0
Malik Allen,PF,27,CHI,54,20,13.0,2.2,4.6,.490,0.0,0.0,1.000,2.2,4.6,.488,.492,0.4,0.7,.605,0.8,1.8,2.6,0.4,0.3,0.3,0.6,1.7,4.9,11.5,.504,.004,.154,7.2,15.7,11.5,4.9,1.0,1.8,11.4,19.2,0.0,1.0,1.0,.068,-3.0,0.3,-2.7,-0.1,1670000.0
Ray Allen*,SG,30,SEA,78,78,38.7,8.7,19.2,.454,3.4,8.4,.412,5.3,10.9,.486,.544,4.2,4.6,.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1,22.2,.590,.435,.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,9.8,-0.3,9.5,.150,6.4,-2.0,4.4,4.9,
Tony Allen,PG,24,BOS,51,9,19.2,2.5,5.4,.471,0.2,0.7,.324,2.3,4.7,.492,.491,2.0,2.6,.746,0.6,1.5,2.2,1.3,1.0,0.4,1.3,2.5,7.2,12.9,.554,.124,.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,0.6,1.0,1.7,.082,-2.3,0.9,-1.4,0.1,969600.0
Rafer Alston,PG,29,HOU,63,63,38.6,4.4,11.7,.379,1.6,5.0,.327,2.8,6.8,.418,.449,1.6,2.3,.692,0.6,3.5,4.0,6.7,1.6,0.2,2.5,3.1,12.1,12.6,.475,.423,.194,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,0.2,3.1,3.4,.067,-1.0,0.6,-0.4,1.0,3850000.0
Chris Andersen,C,27,NOK,32,2,17.8,1.8,3.1,.571,0.0,0.0,,1.8,3.1,.571,.571,1.5,3.2,.476,1.9,2.9,4.8,0.2,0.3,1.3,0.8,2.6,5.0,14.1,.562,.000,1.051,12.4,20.2,16.2,1.7,0.8,5.9,15.4,13.9,0.6,0.7,1.3,.112,-2.0,0.9,-1.2,0.1,
Alan Anderson,SF,23,CHA,36,7,15.7,2.1,5.0,.414,0.7,1.6,.414,1.4,3.4,.415,.481,0.9,1.1,.805,0.6,1.3,1.9,0.9,0.3,0.1,0.9,1.3,5.8,10.4,.520,.320,.227,4.4,10.3,7.2,9.3,1.0,0.6,13.9,18.2,0.2,0.3,0.4,.037,-1.7,-1.7,-3.3,-0.2,398762.0
Derek Anderson,SG,31,TOT,43,11,24.3,2.5,7.0,.356,0.9,3.1,.299,1.6,3.9,.402,.422,2.2,2.6,.838,0.5,2.8,3.3,2.3,0.5,0.1,1.3,2.3,8.1,10.8,.496,.442,.366,2.4,13.3,8.0,15.7,1.2,0.5,13.3,18.2,0.5,1.1,1.6,.074,-1.3,0.1,-1.2,0.2,1670000.0
Derek Anderson,SG,31,HOU,20,8,29.1,3.4,8.7,.393,1.0,3.4,.284,2.5,5.3,.462,.448,3.1,3.7,.836,0.6,3.6,4.2,2.7,0.8,0.2,1.9,2.5,10.8,12.5,.527,.387,.422,2.5,14.1,8.4,16.1,1.4,0.6,15.3,19.8,0.3,0.7,1.0,.084,-0.4,0.7,0.3,0.3,1670000.0
Derek Anderson,SG,31,MIA,23,3,20.2,1.7,5.7,.308,0.9,2.9,.313,0.8,2.7,.302,.388,1.4,1.7,.842,0.4,2.2,2.6,2.1,0.3,0.1,0.7,2.1,5.8,8.7,.453,.515,.292,2.4,12.4,7.6,15.1,0.9,0.3,10.4,16.3,0.2,0.4,0.6,.061,-2.4,-0.7,-3.1,-0.1,1670000.0
Shandon Anderson,SF,32,MIA,48,1,13.3,1.1,2.6,.429,0.1,0.4,.263,1.0,2.2,.458,.448,0.3,0.4,.722,0.4,1.3,1.7,0.6,0.4,0.1,0.5,1.6,2.6,6.2,.470,.151,.143,3.5,11.1,7.5,6.9,1.4,0.7,15.2,11.4,-0.1,0.7,0.5,.039,-4.1,0.4,-3.7,-0.3,719373.0
