Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Shareef Abdur-Rahim,PF,27,TOT,85,56,31.6,5.9,12.4,.475,0.1,0.4,.265,5.8,12.0,.482,.480,4.4,5.0,.869,2.2,5.3,7.5,2.0,0.8,0.4,2.2,2.6,16.3,19.9,.557,.032,.407,8.2,19.0,13.6,12.3,1.4,1.0,12.9,24.4,6.1,2.0,8.1,.145,2.3,-0.7,1.6,2.4,13500000.0
Shareef Abdur-Rahim,PF,27,ATL,53,53,36.9,7.2,14.9,.485,0.1,0.4,.217,7.1,14.5,.493,.488,5.5,6.3,.880,2.7,6.7,9.3,2.4,0.8,0.4,2.5,2.8,20.1,21.2,.568,.029,.423,8.2,20.3,14.3,12.6,1.2,0.7,12.3,24.8,5.3,1.3,6.6,.163,3.3,-1.0,2.3,2.1,13500000.0
Shareef Abdur-Rahim,PF,27,POR,32,3,22.8,3.7,8.3,.447,0.1,0.3,.364,3.6,7.9,.451,.455,2.5,3.0,.832,1.5,3.0,4.5,1.5,0.8,0.6,1.7,2.3,10.0,16.5,.522,.042,.360,7.9,15.5,11.8,11.5,1.8,1.8,14.8,23.3,0.9,0.6,1.5,.098,-0.4,0.0,-0.4,0.3,13500000.0
Malik Allen,PF,25,MIA,45,6,13.7,1.8,4.4,.419,0.0,0.0,,1.8,4.4,.419,.419,0.6,0.7,.758,0.9,1.7,2.6,0.4,0.3,0.6,0.6,1.8,4.2,10.5,.449,.000,.167,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,-0.1,0.8,0.7,.051,-3.7,-0.1,-3.8,-0.3,
Ray Allen*,SG,28,SEA,56,56,38.4,8.0,18.2,.440,2.6,6.8,.392,5.3,11.4,.468,.512,4.4,4.8,.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23.0,21.7,.566,.372,.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,6.5,0.4,6.9,.153,5.5,-1.5,4.0,3.2,
Rafer Alston,PG,27,MIA,82,28,31.5,3.5,9.3,.376,2.0,5.3,.371,1.5,4.0,.382,.481,1.3,1.6,.769,0.3,2.4,2.8,4.5,1.4,0.2,1.6,2.6,10.2,13.7,.509,.568,.175,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3,3.1,2.8,5.9,.110,0.2,0.7,0.9,1.9,
Chris Andersen,PF,25,DEN,71,0,14.5,1.3,2.9,.443,0.0,0.0,.000,1.3,2.8,.446,.443,0.9,1.5,.589,1.3,2.9,4.2,0.5,0.5,1.6,0.7,1.7,3.4,14.4,.486,.005,.527,9.6,23.3,16.3,5.1,1.7,7.8,16.1,12.7,0.5,1.9,2.4,.111,-2.2,2.7,0.4,0.6,
Derek Anderson,SG,29,POR,51,46,35.5,4.5,12.0,.376,1.5,5.1,.305,3.0,6.9,.428,.440,3.0,3.7,.824,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.5,13.6,15.1,.499,.423,.307,1.7,10.2,6.0,21.1,2.0,0.1,11.5,20.5,2.7,0.9,3.6,.097,0.8,-0.5,0.3,1.0,7794000.0
Kenny Anderson,PG,33,IND,44,31,20.6,2.6,5.8,.441,0.0,0.1,.250,2.5,5.7,.444,.443,0.8,1.1,.729,0.4,1.4,1.8,2.8,0.6,0.1,1.1,1.7,6.0,11.1,.473,.016,.188,2.5,8.2,5.3,24.2,1.6,0.4,15.3,17.1,0.4,1.1,1.5,.079,-2.3,0.6,-1.7,0.1,
Shandon Anderson,SG,30,NYK,80,37,24.7,3.0,7.1,.422,0.5,1.6,.281,2.5,5.5,.463,.454,1.5,2.0,.764,0.7,2.1,2.8,1.5,0.9,0.2,1.5,2.3,7.9,10.1,.500,.227,.285,3.1,9.7,6.5,10.2,1.8,0.7,15.7,17.7,0.2,1.5,1.7,.042,-2.4,0.1,-2.4,-0.2,6700000.0
