Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
DET,4,252.5,46.8,97.3,0.48100000000000004,0.3,2.0,0.125,46.5,95.3,0.488,22.8,31.3,0.728,17.5,29.8,47.3,25.8,6.5,2.5,16.3,30.0,116.5,False
LAL,14,240.0,47.4,88.6,0.535,1.8,5.6,0.321,45.6,83.0,0.55,18.9,24.9,0.7559999999999999,12.5,29.8,42.3,32.0,8.4,4.3,16.1,24.2,115.5,False
DEN,10,247.5,43.8,96.1,0.456,1.9,5.4,0.35200000000000004,41.9,90.7,0.462,25.0,31.5,0.794,16.6,29.3,45.9,24.7,7.2,4.4,14.4,27.3,114.5,False
BOS,18,242.8,43.9,86.7,0.507,2.5,6.4,0.391,41.4,80.3,0.516,24.1,30.3,0.794,12.9,32.2,45.2,28.6,9.0,6.1,15.2,22.3,114.4,False
CHI,3,256.7,42.7,92.3,0.462,0.7,2.7,0.25,42.0,89.7,0.46799999999999997,27.0,35.0,0.7709999999999999,13.7,26.0,39.7,17.0,8.0,3.7,14.7,30.7,113.0,False
POR,4,240.0,43.5,87.8,0.496,1.3,5.5,0.22699999999999998,42.3,82.3,0.514,24.3,31.3,0.7759999999999999,13.0,31.0,44.0,28.0,7.0,4.5,19.0,31.0,112.5,False
HOU,20,243.8,44.7,92.3,0.485,0.7,2.5,0.26,44.1,89.8,0.491,21.3,29.7,0.715,16.9,30.5,47.3,28.5,8.6,7.5,15.2,23.1,111.3,False
ATL,9,245.6,43.4,87.8,0.495,0.7,2.3,0.28600000000000003,42.8,85.4,0.501,23.4,32.1,0.73,13.3,30.1,43.4,26.1,7.3,5.1,15.3,26.0,111.0,False
DAL,10,240.0,42.6,87.1,0.489,3.0,5.8,0.517,39.6,81.3,0.48700000000000004,22.6,28.9,0.782,13.9,28.0,41.9,25.0,6.6,3.1,14.2,21.5,110.8,False
MIL,14,240.0,42.1,84.7,0.49700000000000005,1.8,5.1,0.34700000000000003,40.3,79.6,0.506,23.9,33.1,0.721,12.9,26.6,39.5,24.1,8.9,6.1,16.5,28.5,109.8,False
PHI,12,240.0,40.9,83.8,0.489,0.3,3.1,0.081,40.7,80.7,0.504,27.4,37.1,0.7390000000000001,15.8,29.1,44.8,24.9,8.9,7.1,16.8,23.0,109.5,False
NJN,3,240.0,39.3,84.7,0.465,0.7,5.7,0.11800000000000001,38.7,79.0,0.489,26.3,35.0,0.752,15.3,24.3,39.7,22.0,9.3,4.0,17.3,32.7,105.7,False
UTA,4,240.0,43.3,89.8,0.48200000000000004,1.0,2.3,0.444,42.3,87.5,0.483,15.5,22.0,0.705,15.5,26.8,42.3,26.0,5.8,6.3,11.0,25.0,103.0,False
WSB,5,240.0,40.0,86.4,0.46299999999999997,1.0,4.8,0.20800000000000002,39.0,81.6,0.478,19.6,27.4,0.715,14.4,24.0,38.4,21.0,8.6,8.6,15.2,22.6,100.6,False
SAC,3,240.0,36.3,89.3,0.40700000000000003,0.7,3.3,0.2,35.7,86.0,0.415,22.7,29.7,0.764,21.7,24.7,46.3,19.0,8.0,5.7,17.3,23.3,96.0,False
SAS,3,240.0,38.7,83.0,0.466,0.7,3.3,0.2,38.0,79.7,0.47700000000000004,14.0,21.7,0.6459999999999999,7.0,19.3,26.3,25.0,9.3,3.3,18.0,26.0,92.0,False
