Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
HOU,6,252.5,40.8,91.7,0.445,8.2,25.7,0.318,32.7,66.0,0.495,22.2,29.8,0.743,16.7,32.5,49.2,18.3,6.0,5.0,13.8,26.0,112.0,False
LAC,13,240.0,39.4,85.4,0.461,9.2,25.8,0.355,30.2,59.6,0.507,20.8,28.5,0.73,11.4,28.4,39.8,23.8,9.4,4.4,12.6,24.3,108.8,False
GSW,7,240.0,38.3,83.1,0.46,9.6,26.3,0.364,28.7,56.9,0.505,20.3,27.9,0.728,13.1,29.6,42.7,24.4,7.0,4.6,17.3,25.3,106.4,False
SAS,23,241.1,39.7,80.9,0.491,8.8,21.6,0.409,30.9,59.3,0.521,18.0,23.5,0.767,9.4,32.6,42.0,22.2,8.1,3.5,12.6,19.8,106.3,False
POR,11,246.8,38.4,87.7,0.43700000000000006,7.9,22.8,0.34700000000000003,30.5,64.9,0.469,19.6,24.6,0.797,11.7,32.5,44.2,17.5,5.9,6.0,13.8,22.5,104.3,False
OKC,19,246.6,36.6,81.4,0.45,7.5,23.3,0.32299999999999995,29.1,58.1,0.5,21.8,26.6,0.82,11.2,34.1,45.2,19.3,6.3,6.2,15.1,23.0,102.5,False
DAL,7,240.0,39.1,86.7,0.451,8.4,22.4,0.376,30.7,64.3,0.478,14.4,18.9,0.765,11.7,29.0,40.7,19.1,6.6,4.1,11.4,20.3,101.1,False
MIA,20,240.0,35.4,72.2,0.491,9.3,23.5,0.396,26.1,48.7,0.536,17.2,22.0,0.78,6.0,28.1,34.0,18.3,7.4,3.9,12.2,20.7,97.3,False
MEM,7,254.3,36.7,88.1,0.41700000000000004,4.4,15.3,0.29,32.3,72.9,0.44299999999999995,18.9,25.9,0.7290000000000001,12.9,29.9,42.7,21.7,9.0,2.4,11.1,20.9,96.7,False
TOR,7,240.0,32.7,74.1,0.441,6.6,21.0,0.313,26.1,53.1,0.49200000000000005,24.1,29.0,0.833,10.1,31.6,41.7,17.7,5.6,3.0,15.3,25.9,96.1,False
BRK,12,240.0,34.8,75.1,0.46299999999999997,7.8,22.7,0.342,27.0,52.4,0.515,18.3,24.8,0.737,10.0,27.8,37.8,18.3,6.9,2.8,12.3,22.3,95.5,False
ATL,7,240.0,30.3,78.7,0.385,11.3,32.9,0.34299999999999997,19.0,45.9,0.414,20.6,24.9,0.828,9.1,30.1,39.3,16.9,6.6,4.6,13.6,20.9,92.4,False
CHO,4,240.0,33.8,75.3,0.449,7.8,21.3,0.365,26.0,54.0,0.48100000000000004,16.8,23.5,0.713,8.3,31.5,39.8,19.8,4.3,4.5,15.0,20.3,92.0,False
IND,19,240.0,33.6,74.5,0.451,7.3,19.3,0.38,26.3,55.3,0.47600000000000003,17.0,23.4,0.727,8.2,31.3,39.5,18.8,7.1,4.2,13.6,20.7,91.6,False
WAS,11,242.3,34.5,79.7,0.43200000000000005,5.6,16.8,0.335,28.8,62.9,0.45799999999999996,15.8,22.7,0.696,11.7,33.2,44.9,19.5,7.5,5.6,12.8,22.3,90.4,False
CHI,5,245.0,33.2,78.6,0.42200000000000004,6.4,19.2,0.33299999999999996,26.8,59.4,0.451,17.2,22.8,0.754,12.2,29.6,41.8,20.2,5.0,4.4,13.2,22.0,90.0,False
