Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
DAL,6,244.2,42.2,89.2,0.473,13.5,37.5,0.36,28.7,51.7,0.555,19.2,26.5,0.723,7.7,35.5,43.2,21.5,6.5,3.7,12.7,22.5,117.0,False
LAC,13,241.9,40.9,86.4,0.474,12.1,32.8,0.368,28.8,53.5,0.539,20.1,25.2,0.7979999999999999,9.5,34.5,44.0,21.2,7.5,3.7,13.0,22.9,114.0,False
UTA,7,243.6,39.9,81.9,0.48700000000000004,15.7,37.3,0.42100000000000004,24.1,44.6,0.542,18.0,23.3,0.773,9.3,31.9,41.1,21.4,6.1,3.1,12.0,19.0,113.4,False
LAL,21,240.0,41.0,84.0,0.489,12.1,34.2,0.354,29.0,49.8,0.581,18.6,24.6,0.758,10.6,33.5,44.1,25.6,8.0,5.3,15.4,22.7,112.8,False
MIL,10,242.5,40.1,87.1,0.46,13.3,37.1,0.358,26.8,50.0,0.536,17.6,24.3,0.7240000000000001,9.4,37.3,46.7,24.3,7.2,4.2,14.9,21.7,111.1,False
MIA,21,242.4,37.7,82.0,0.46,12.8,35.5,0.359,25.0,46.5,0.536,21.8,26.4,0.825,7.8,33.6,41.3,24.9,6.9,3.9,13.2,19.9,110.0,False
BOS,17,244.4,38.6,84.9,0.45399999999999996,12.4,36.4,0.341,26.2,48.5,0.539,19.8,24.2,0.816,8.8,36.5,45.2,22.6,6.7,4.8,13.9,22.3,109.4,False
TOR,11,244.5,39.1,88.5,0.442,14.6,40.3,0.363,24.5,48.2,0.508,16.5,21.3,0.778,8.2,36.5,44.6,24.8,7.1,5.5,13.1,22.5,109.4,False
HOU,12,242.1,37.4,85.8,0.436,16.9,46.8,0.36200000000000004,20.5,39.0,0.526,15.9,20.2,0.789,6.7,32.2,38.8,21.3,9.1,3.5,13.4,22.2,107.7,False
DEN,19,241.3,38.8,82.5,0.47100000000000003,12.3,32.4,0.379,26.6,50.2,0.53,17.5,21.4,0.816,9.3,31.4,40.6,22.5,6.2,4.0,13.9,22.4,107.4,False
ORL,5,240.0,37.2,88.6,0.42,15.0,39.8,0.377,22.2,48.8,0.455,17.6,21.0,0.838,6.6,36.4,43.0,23.8,6.8,3.2,14.6,21.0,107.0,False
POR,5,240.0,37.6,88.2,0.426,11.6,30.6,0.379,26.0,57.6,0.451,19.8,25.0,0.792,9.8,33.0,42.8,17.8,7.4,3.6,16.0,25.0,106.6,False
BRK,4,240.0,36.3,91.3,0.397,15.5,46.0,0.337,20.8,45.3,0.45899999999999996,17.8,24.5,0.7240000000000001,9.3,35.0,44.3,25.8,5.0,4.5,14.5,21.3,105.8,False
OKC,7,243.6,36.7,85.4,0.43,12.0,36.6,0.32799999999999996,24.7,48.9,0.506,18.6,24.0,0.774,9.0,40.9,49.9,17.9,5.3,4.0,17.0,17.1,104.0,False
IND,4,240.0,36.5,80.3,0.455,12.0,32.0,0.375,24.5,48.3,0.508,15.8,20.3,0.778,5.8,30.8,36.5,22.5,9.3,5.5,15.3,23.3,100.8,False
PHI,4,240.0,33.3,84.0,0.396,8.0,30.3,0.264,25.3,53.8,0.47,26.0,32.0,0.813,12.3,33.8,46.0,17.5,5.0,4.5,12.0,22.3,100.5,False
