Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
DAL,8,243.1,39.8,88.0,0.452,8.4,22.1,0.379,31.4,65.9,0.476,21.1,25.3,0.837,10.9,31.0,41.9,19.6,6.3,4.6,12.5,25.8,109.0,False
MIN,3,240.0,36.0,81.0,0.444,5.0,12.7,0.395,31.0,68.3,0.454,25.0,34.7,0.721,14.3,35.0,49.3,16.0,5.7,2.7,15.7,27.0,102.0,False
SAC,16,243.1,36.9,82.4,0.448,5.0,16.2,0.309,31.9,66.3,0.482,22.2,29.9,0.741,12.9,32.6,45.6,20.6,7.5,4.7,14.8,23.8,101.1,False
LAL,19,241.3,35.7,80.5,0.444,6.1,18.0,0.339,29.6,62.5,0.474,20.3,28.1,0.721,12.3,33.2,45.4,19.6,6.8,5.8,13.7,23.6,97.8,False
CHO,9,245.6,34.1,81.0,0.421,4.4,12.2,0.364,29.7,68.8,0.431,23.4,32.3,0.725,14.7,31.6,46.2,19.6,8.9,7.3,14.8,27.4,96.1,False
BRK,20,242.5,35.9,82.9,0.432,4.2,14.6,0.285,31.7,68.4,0.464,19.5,26.9,0.726,12.4,30.4,42.7,21.3,7.9,5.5,14.2,24.5,95.4,False
ORL,4,252.5,33.3,78.5,0.424,4.3,16.5,0.258,29.0,62.0,0.468,23.0,31.0,0.742,9.0,30.5,39.5,19.5,5.5,3.8,12.0,25.8,93.8,False
IND,5,250.0,34.8,76.0,0.458,4.8,11.8,0.407,30.0,64.2,0.467,17.2,22.6,0.761,8.4,33.8,42.2,21.2,8.2,4.0,18.2,25.0,91.6,False
BOS,16,240.0,32.8,78.4,0.418,7.9,22.9,0.343,24.9,55.5,0.449,17.8,22.9,0.774,10.6,32.7,43.3,18.8,8.9,4.8,14.1,22.9,91.3,False
POR,3,240.0,31.3,82.0,0.382,6.7,18.0,0.37,24.7,64.0,0.385,22.0,27.7,0.795,12.0,32.0,44.0,20.7,8.3,3.0,14.7,27.0,91.3,False
SAS,10,240.0,32.9,76.2,0.432,5.0,14.7,0.34,27.9,61.5,0.454,20.3,26.6,0.763,11.1,29.9,41.0,16.9,6.1,6.5,11.1,20.4,91.1,False
PHI,5,240.0,30.4,73.6,0.413,4.0,13.0,0.308,26.4,60.6,0.436,24.2,32.0,0.756,12.6,28.6,41.2,19.4,9.0,4.0,14.4,18.6,89.0,False
UTA,4,240.0,33.0,79.5,0.415,3.5,11.5,0.304,29.5,68.0,0.434,18.5,27.0,0.685,15.3,28.0,43.3,23.0,9.0,7.0,16.5,26.0,88.0,False
OKC,5,240.0,34.2,79.6,0.43,4.8,12.2,0.393,29.4,67.4,0.436,13.0,19.0,0.684,11.4,28.8,40.2,17.4,4.0,4.8,10.6,23.4,86.2,False
TOR,5,240.0,32.6,77.2,0.422,3.4,10.6,0.321,29.2,66.6,0.438,15.2,20.6,0.738,12.4,30.0,42.4,21.0,8.0,5.2,16.0,23.4,83.8,False
DET,10,240.0,29.4,73.6,0.399,8.0,22.6,0.354,21.4,51.0,0.42,16.2,22.4,0.723,9.6,28.1,37.7,18.7,7.3,5.6,14.6,21.0,83.0,False
