Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
PHO,12,240.0,45.0,95.1,0.473,2.8,8.8,0.314,42.3,86.3,0.489,25.6,30.4,0.841,16.9,33.4,50.3,27.5,9.3,4.6,15.8,22.8,118.3,False
DEN,3,240.0,43.3,94.7,0.45799999999999996,5.3,13.0,0.41,38.0,81.7,0.465,20.7,25.7,0.805,12.0,32.3,44.3,24.0,7.7,1.7,16.7,29.0,112.7,False
LAL,15,240.0,40.0,80.5,0.49700000000000005,3.4,9.7,0.349,36.6,70.8,0.517,27.1,34.7,0.7809999999999999,12.5,29.6,42.1,25.4,6.9,4.9,14.7,22.5,110.5,False
GSW,8,240.0,42.8,93.9,0.455,2.6,12.8,0.20600000000000002,40.1,81.1,0.495,21.8,26.5,0.821,14.1,29.0,43.1,20.0,9.8,8.5,14.5,24.3,109.9,False
POR,3,240.0,42.7,94.0,0.45399999999999996,3.0,9.7,0.31,39.7,84.3,0.47,18.7,24.7,0.757,17.7,23.7,41.3,27.0,7.0,5.3,13.3,24.7,107.0,False
NYK,9,245.6,40.4,85.0,0.47600000000000003,4.3,12.1,0.358,36.1,72.9,0.495,21.6,29.7,0.727,15.2,28.0,43.2,26.1,7.9,4.0,16.1,25.6,106.8,False
HOU,4,240.0,40.0,84.8,0.47200000000000003,2.8,7.3,0.379,37.3,77.5,0.48100000000000004,23.8,32.5,0.731,12.8,26.5,39.3,24.3,9.3,5.3,16.5,25.0,106.5,False
PHI,3,248.3,42.7,88.3,0.483,1.3,7.0,0.19,41.3,81.3,0.508,19.0,27.0,0.7040000000000001,10.7,29.3,40.0,29.0,6.7,4.7,12.3,25.0,105.7,False
UTA,3,240.0,38.3,89.7,0.428,4.0,11.3,0.353,34.3,78.3,0.43799999999999994,24.7,29.7,0.831,18.0,32.0,50.0,18.0,7.0,5.0,18.7,26.0,105.3,False
ATL,5,250.0,35.4,78.6,0.45,2.6,9.2,0.28300000000000003,32.8,69.4,0.473,29.8,38.6,0.772,15.2,26.4,41.6,25.6,5.4,5.8,13.2,24.0,103.2,False
SEA,8,240.0,39.9,87.9,0.45399999999999996,2.6,10.0,0.263,37.3,77.9,0.478,19.6,27.6,0.71,17.4,26.4,43.8,23.3,8.6,7.5,15.8,27.3,102.0,False
DET,17,240.0,37.9,80.1,0.473,2.5,8.4,0.29600000000000004,35.4,71.7,0.494,22.4,29.4,0.762,13.8,30.4,44.2,22.6,4.9,4.5,12.1,25.0,100.6,False
CHI,17,242.9,36.6,78.1,0.469,4.3,12.2,0.353,32.4,65.9,0.491,22.1,29.1,0.759,12.2,29.0,41.2,23.5,7.8,4.2,15.9,26.4,99.6,False
CLE,5,245.0,36.4,77.6,0.469,2.2,6.6,0.33299999999999996,34.2,71.0,0.48200000000000004,22.2,31.0,0.716,12.4,27.8,40.2,23.0,7.6,7.4,15.6,21.0,97.2,False
MIL,9,245.6,36.2,78.3,0.462,2.3,7.9,0.29600000000000004,33.9,70.4,0.48100000000000004,22.4,26.8,0.838,10.7,25.1,35.8,23.2,5.7,2.1,11.2,26.2,97.2,False
BOS,3,240.0,37.0,83.3,0.444,0.0,2.7,0.0,37.0,80.7,0.45899999999999996,16.3,22.3,0.731,9.7,30.3,40.0,21.7,6.7,2.3,14.0,24.0,90.3,False
