Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
DEN,6,240.0,37.2,84.8,0.43799999999999994,7.0,22.5,0.311,30.2,62.3,0.484,21.7,29.7,0.73,11.8,26.8,38.7,21.2,9.0,2.8,14.5,23.2,103.0,False
GSW,12,246.3,39.0,84.4,0.462,8.7,22.3,0.38799999999999996,30.3,62.1,0.489,16.0,21.8,0.736,11.5,34.6,46.1,21.7,6.4,4.9,16.5,23.8,102.7,False
SAS,21,247.1,38.0,82.2,0.46299999999999997,7.9,20.8,0.37799999999999995,30.2,61.4,0.49200000000000005,16.4,21.5,0.763,9.7,32.9,42.6,21.9,7.9,5.0,12.9,19.1,100.3,False
HOU,6,240.0,34.3,81.0,0.424,11.7,33.7,0.34700000000000003,22.7,47.3,0.479,19.7,27.7,0.711,10.8,32.7,43.5,18.0,5.8,5.5,15.8,23.2,100.0,False
BRK,7,250.7,37.0,83.7,0.442,6.1,19.4,0.316,30.9,64.3,0.48,19.3,25.4,0.758,11.7,30.4,42.1,19.9,6.3,5.6,11.6,19.9,99.4,False
OKC,11,242.3,34.8,81.6,0.42700000000000005,8.6,24.7,0.349,26.2,56.9,0.46,20.2,24.1,0.838,9.8,33.1,42.9,18.1,6.0,7.0,13.6,24.9,98.5,False
MIA,23,242.2,35.8,76.6,0.46799999999999997,7.7,20.2,0.381,28.1,56.4,0.499,17.8,23.2,0.7659999999999999,9.7,28.4,38.1,20.6,8.3,5.4,13.1,22.2,97.1,False
LAC,6,240.0,35.2,75.3,0.467,5.8,19.2,0.304,29.3,56.2,0.522,18.5,23.7,0.782,8.8,28.3,37.2,18.0,5.2,5.7,13.3,27.8,94.7,False
MEM,15,245.0,34.1,81.5,0.418,4.8,14.8,0.324,29.3,66.7,0.439,21.7,29.1,0.748,11.7,30.0,41.7,19.3,7.3,4.6,10.7,22.1,94.7,False
CHI,12,246.3,35.0,79.9,0.43799999999999994,5.4,17.0,0.319,29.6,62.9,0.47,16.5,22.9,0.72,11.8,29.0,40.8,19.5,6.4,4.6,14.3,22.4,91.9,False
IND,19,241.3,32.2,74.4,0.433,6.3,19.2,0.327,25.9,55.2,0.47,21.1,28.5,0.74,12.7,32.9,45.6,17.5,5.4,4.5,16.4,22.4,91.8,False
ATL,6,240.0,32.7,77.3,0.42200000000000004,6.2,18.7,0.33,26.5,58.7,0.452,17.8,26.2,0.682,8.3,30.0,38.3,19.2,7.3,3.8,12.2,24.2,89.3,False
NYK,12,242.1,33.3,81.0,0.41,8.0,23.3,0.34299999999999997,25.3,57.7,0.43799999999999994,14.1,18.0,0.782,10.7,28.8,39.5,15.1,8.8,4.3,11.6,23.8,88.6,False
LAL,4,240.0,34.5,78.0,0.442,5.0,18.5,0.27,29.5,59.5,0.496,11.3,18.5,0.608,8.5,31.5,40.0,18.5,5.8,5.3,16.5,17.5,85.3,False
MIL,4,240.0,33.3,76.8,0.433,6.0,23.0,0.261,27.3,53.8,0.507,12.8,20.3,0.63,8.8,26.0,34.8,19.8,10.0,2.5,16.3,19.8,85.3,False
BOS,6,244.2,28.5,69.0,0.413,6.8,20.7,0.331,21.7,48.3,0.44799999999999995,18.5,21.5,0.86,5.2,33.8,39.0,16.8,5.5,3.0,17.3,18.8,82.3,False
