Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
SAC,12,244.2,39.3,85.5,0.45899999999999996,6.8,18.4,0.36700000000000005,32.5,67.1,0.484,22.7,29.2,0.777,12.8,31.5,44.3,22.6,7.5,4.8,13.4,23.0,107.9,False
DAL,20,242.5,38.7,86.1,0.45,9.2,23.2,0.397,29.5,62.9,0.469,17.5,21.1,0.8290000000000001,11.2,30.9,42.1,20.4,6.1,5.2,12.5,24.3,104.1,False
POR,7,240.0,36.4,79.0,0.461,6.3,17.0,0.37,30.1,62.0,0.486,22.1,29.4,0.752,15.0,29.7,44.7,23.3,6.3,3.0,13.7,22.6,101.3,False
MIN,6,244.2,37.5,81.0,0.46299999999999997,4.7,14.0,0.33299999999999996,32.8,67.0,0.49,20.8,25.8,0.8059999999999999,8.8,33.3,42.2,22.0,6.8,3.5,15.8,24.2,100.5,False
LAL,12,242.1,37.3,83.3,0.44799999999999995,7.1,20.0,0.354,30.3,63.3,0.478,18.5,26.1,0.7090000000000001,12.3,30.9,43.3,20.9,7.0,5.3,13.8,24.0,100.3,False
MIL,6,244.2,36.5,79.5,0.45899999999999996,6.3,17.0,0.373,30.2,62.5,0.483,18.5,24.8,0.745,8.3,27.0,35.3,20.2,7.2,3.8,13.3,27.3,97.8,False
SAS,24,241.0,33.8,76.8,0.441,5.3,15.2,0.35100000000000003,28.5,61.5,0.46299999999999997,21.8,30.6,0.7120000000000001,12.1,33.4,45.5,20.7,7.8,6.9,15.2,21.4,94.8,False
BOS,10,247.5,33.4,79.1,0.42200000000000004,8.6,24.3,0.354,24.8,54.8,0.45299999999999996,19.2,24.0,0.8,8.8,31.9,40.7,20.7,8.6,4.3,14.8,25.9,94.6,False
BRK,20,243.8,34.2,80.6,0.425,4.7,13.3,0.35,29.6,67.3,0.439,20.6,27.1,0.762,13.6,31.5,45.1,21.3,7.5,4.3,15.2,25.1,93.7,False
UTA,5,240.0,33.8,77.8,0.434,1.8,6.8,0.265,32.0,71.0,0.451,23.6,30.0,0.787,14.0,25.2,39.2,21.0,7.2,5.6,16.4,24.8,93.0,False
NOP,6,240.0,33.8,77.2,0.43799999999999994,6.3,17.2,0.369,27.5,60.0,0.45799999999999996,18.8,25.3,0.743,12.3,26.8,39.2,20.0,7.3,5.0,14.7,25.5,92.8,False
PHI,12,244.2,33.7,75.9,0.44299999999999995,3.8,10.7,0.35200000000000004,29.9,65.3,0.45799999999999996,21.0,26.2,0.8029999999999999,12.1,29.8,41.8,18.9,7.2,2.5,14.8,23.9,92.1,False
IND,6,244.2,30.2,77.7,0.38799999999999996,5.2,17.7,0.292,25.0,60.0,0.41700000000000004,25.7,32.5,0.79,13.2,33.7,46.8,19.8,7.0,5.8,14.2,23.5,91.2,False
DET,17,242.9,30.2,73.8,0.41,6.7,19.1,0.35200000000000004,23.5,54.8,0.43,22.8,30.7,0.741,10.8,28.3,39.1,17.8,8.0,5.9,13.4,23.5,89.9,False
ORL,7,240.0,31.0,73.1,0.424,5.1,16.3,0.316,25.9,56.9,0.455,20.4,26.1,0.7809999999999999,9.9,28.3,38.1,16.0,5.3,4.0,15.3,29.9,87.6,False
PHO,6,244.2,32.3,83.7,0.386,4.7,15.7,0.298,27.7,68.0,0.40700000000000003,15.8,22.2,0.7140000000000001,13.3,29.7,43.0,16.2,9.5,5.8,16.2,29.2,85.2,False
