Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
GSW,11,242.3,36.5,81.2,0.45,11.1,31.0,0.358,25.5,50.2,0.507,22.5,30.5,0.735,11.5,26.8,38.3,17.2,10.3,5.5,14.9,26.6,106.6,False
PHO,11,240.0,39.0,81.8,0.47700000000000004,7.1,18.7,0.379,31.9,63.1,0.506,19.0,24.4,0.78,9.2,31.2,40.4,23.4,6.4,5.2,13.8,19.6,104.1,False
DAL,6,240.0,34.2,80.8,0.423,7.0,22.2,0.316,27.2,58.7,0.46299999999999997,23.2,30.0,0.772,14.0,30.3,44.3,17.8,8.3,5.0,16.3,23.8,98.5,False
LAL,5,240.0,38.0,86.0,0.442,6.4,19.8,0.32299999999999995,31.6,66.2,0.47700000000000004,15.6,21.6,0.722,14.2,29.2,43.4,14.4,5.8,4.0,15.2,23.0,98.0,False
UTA,17,241.5,36.4,79.4,0.45899999999999996,4.3,12.6,0.341,32.1,66.8,0.48100000000000004,20.8,27.7,0.7490000000000001,13.0,31.2,44.2,22.2,7.4,4.8,16.0,24.6,97.9,False
SAS,20,240.0,35.3,76.8,0.45899999999999996,7.6,19.7,0.384,27.7,57.1,0.485,17.6,24.3,0.7240000000000001,10.5,30.1,40.6,19.9,7.1,5.5,13.9,20.5,95.7,False
CHI,10,240.0,32.5,75.6,0.43,5.9,16.6,0.355,26.6,59.0,0.451,21.5,29.5,0.7290000000000001,11.6,30.3,41.9,20.6,7.0,4.2,15.3,22.1,92.4,False
WAS,4,240.0,34.3,83.0,0.413,6.3,20.5,0.305,28.0,62.5,0.44799999999999995,16.8,21.8,0.77,10.3,26.3,36.5,18.8,5.5,3.0,8.8,21.3,91.5,False
DET,16,243.1,32.7,76.0,0.43,5.8,16.6,0.35,26.9,59.4,0.45299999999999996,20.2,26.3,0.767,11.8,28.8,40.6,20.1,7.1,4.7,13.3,23.9,91.4,False
TOR,6,240.0,32.5,73.5,0.442,5.3,14.5,0.368,27.2,59.0,0.46,20.5,25.5,0.804,7.3,30.5,37.8,16.2,7.7,4.0,14.7,21.3,90.8,False
BRK,12,240.0,32.6,73.3,0.444,7.7,20.8,0.368,24.9,52.5,0.475,17.3,23.3,0.743,8.6,31.3,39.8,23.0,6.3,2.9,16.1,21.2,90.2,False
CLE,20,242.5,32.1,76.3,0.42100000000000004,5.4,16.6,0.326,26.7,59.8,0.447,19.2,26.1,0.737,11.9,31.4,43.3,17.5,7.2,3.5,13.0,20.7,88.8,False
MIA,4,240.0,33.3,74.8,0.445,5.5,17.0,0.324,27.8,57.8,0.48100000000000004,16.8,27.3,0.615,8.0,28.3,36.3,17.8,6.3,5.3,14.8,25.3,88.8,False
DEN,5,240.0,33.6,79.4,0.423,4.6,14.4,0.319,29.0,65.0,0.446,16.4,21.0,0.7809999999999999,13.0,30.4,43.4,17.6,5.6,4.2,15.2,18.0,88.2,False
ORL,4,240.0,34.5,72.3,0.478,2.5,7.3,0.345,32.0,65.0,0.49200000000000005,16.5,28.5,0.579,11.3,29.0,40.3,18.0,4.3,3.5,14.8,24.3,88.0,False
HOU,7,240.0,29.7,72.4,0.41,7.1,22.3,0.321,22.6,50.1,0.45,20.7,26.3,0.7879999999999999,9.9,31.7,41.6,18.1,7.0,4.1,14.9,19.3,87.3,False
