Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
BOS,5,240.0,45.6,83.2,0.5479999999999999,1.6,6.8,0.235,44.0,76.4,0.5760000000000001,26.0,30.2,0.861,11.8,28.2,40.0,30.2,6.8,6.0,17.4,21.2,118.8,False
SAS,10,247.5,47.9,95.3,0.503,0.5,2.9,0.172,47.4,92.4,0.513,20.7,29.5,0.7020000000000001,15.6,32.7,48.3,30.4,8.5,6.2,16.8,27.7,117.0,False
DEN,3,240.0,43.3,98.7,0.439,2.7,10.7,0.25,40.7,88.0,0.462,25.0,28.7,0.872,13.0,31.0,44.0,28.7,9.3,4.7,12.7,25.7,114.3,False
PHO,16,240.0,39.7,83.3,0.47700000000000004,2.3,7.2,0.313,37.4,76.1,0.49200000000000005,26.5,33.6,0.79,12.3,31.6,43.9,23.0,6.7,4.9,15.5,23.3,108.1,False
POR,21,244.8,39.3,88.4,0.445,3.1,9.3,0.33299999999999996,36.2,79.1,0.45799999999999996,25.4,34.9,0.727,15.5,28.7,44.2,23.5,8.7,5.4,16.0,26.7,107.1,False
CLE,5,240.0,40.2,77.8,0.517,2.2,7.0,0.314,38.0,70.8,0.537,24.2,31.2,0.7759999999999999,9.2,31.6,40.8,27.4,6.6,4.6,13.0,22.2,106.8,False
LAL,9,240.0,40.3,80.9,0.499,2.8,9.6,0.29100000000000004,37.6,71.3,0.526,22.7,28.3,0.8,12.4,27.8,40.2,25.0,8.7,5.7,15.8,23.4,106.1,False
NYK,10,240.0,40.3,84.5,0.47700000000000004,2.5,6.9,0.36200000000000004,37.8,77.6,0.48700000000000004,21.9,28.5,0.768,13.0,26.4,39.4,26.8,8.4,3.4,13.3,23.1,105.0,False
UTA,5,240.0,40.4,87.6,0.461,3.2,9.6,0.33299999999999996,37.2,78.0,0.47700000000000004,18.4,25.4,0.7240000000000001,13.0,27.6,40.6,25.4,8.6,5.8,12.8,28.4,102.4,False
PHI,10,240.0,37.9,79.9,0.474,2.6,8.2,0.317,35.3,71.7,0.49200000000000005,23.7,30.8,0.769,12.8,27.1,39.9,22.8,6.3,4.9,15.0,21.6,102.1,False
CHI,16,240.0,38.1,81.4,0.469,2.7,8.9,0.303,35.4,72.5,0.489,22.9,30.2,0.76,13.1,27.1,40.1,22.8,8.6,4.3,14.4,25.6,101.9,False
DET,20,241.3,38.6,81.9,0.47100000000000003,3.1,8.4,0.369,35.5,73.5,0.48200000000000004,21.6,28.7,0.7509999999999999,14.0,29.8,43.7,21.1,6.7,4.5,15.1,25.1,101.8,False
MIL,4,240.0,35.0,73.3,0.478,3.8,10.8,0.349,31.3,62.5,0.5,27.3,35.5,0.768,10.0,23.5,33.5,22.5,9.0,4.8,17.0,29.8,101.0,False
DAL,3,240.0,38.3,81.0,0.473,3.0,9.7,0.31,35.3,71.3,0.495,20.7,27.0,0.765,11.3,28.7,40.0,20.3,8.0,5.7,18.0,27.3,100.3,False
HOU,4,240.0,38.3,84.5,0.45299999999999996,2.8,10.0,0.275,35.5,74.5,0.47700000000000004,18.5,27.8,0.667,15.3,23.8,39.0,22.8,9.0,6.5,14.5,21.8,97.8,False
IND,3,240.0,35.0,76.0,0.461,1.7,7.7,0.217,33.3,68.3,0.488,20.0,24.3,0.8220000000000001,11.0,25.3,36.3,17.3,3.7,2.3,14.7,25.7,91.7,False
