Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
GSW,24,241.0,38.9,85.6,0.455,12.8,32.4,0.39299999999999996,26.2,53.2,0.49200000000000005,17.1,23.3,0.735,10.5,32.7,43.2,24.3,8.0,5.5,14.0,22.0,107.7,False
OKC,18,240.0,38.2,84.5,0.452,8.3,24.9,0.33299999999999996,29.9,59.6,0.502,21.7,27.6,0.7859999999999999,12.5,34.4,46.9,20.5,7.7,5.4,13.9,20.3,106.4,False
POR,11,242.3,37.1,89.1,0.41600000000000004,11.9,31.3,0.381,25.2,57.8,0.436,18.9,25.5,0.74,12.9,34.7,47.6,21.5,6.2,3.9,13.1,23.5,105.0,False
CLE,21,240.0,38.3,81.8,0.469,12.3,30.2,0.406,26.0,51.5,0.506,15.8,21.8,0.725,10.7,32.6,43.3,21.2,7.8,4.2,12.5,19.6,104.8,False
SAS,10,240.0,38.7,82.5,0.469,8.2,19.1,0.429,30.5,63.4,0.48100000000000004,16.4,20.5,0.8,7.9,31.6,39.5,21.3,9.1,7.0,11.6,18.2,102.0,False
ATL,10,242.5,36.6,84.8,0.43200000000000005,10.6,31.8,0.33299999999999996,26.0,53.0,0.491,16.3,20.5,0.795,8.9,35.4,44.3,22.6,7.5,7.6,14.4,20.2,100.1,False
LAC,6,240.0,37.2,85.0,0.43700000000000006,5.7,19.5,0.29100000000000004,31.5,65.5,0.48100000000000004,18.3,29.3,0.625,11.3,34.8,46.2,18.2,8.5,4.7,9.7,20.5,98.3,False
MIA,14,245.4,36.9,80.5,0.45799999999999996,6.9,19.1,0.358,30.0,61.4,0.489,16.3,21.3,0.765,9.1,35.1,44.2,16.4,5.4,5.9,13.1,21.2,96.9,False
DET,4,240.0,36.0,75.3,0.478,8.8,23.3,0.376,27.3,52.0,0.524,14.3,22.0,0.648,7.0,30.8,37.8,21.8,5.3,3.3,10.5,19.0,95.0,False
BOS,6,244.2,34.3,89.5,0.384,8.7,31.5,0.275,25.7,58.0,0.44299999999999995,16.5,21.0,0.7859999999999999,10.7,35.3,46.0,21.0,6.3,6.5,14.7,22.0,93.8,False
DAL,5,240.0,35.4,81.2,0.436,6.2,21.4,0.29,29.2,59.8,0.488,16.8,24.2,0.6940000000000001,9.2,25.8,35.0,20.6,6.0,2.4,11.8,24.0,93.8,False
IND,7,240.0,33.0,74.9,0.441,8.1,21.3,0.38299999999999995,24.9,53.6,0.46399999999999997,19.6,23.9,0.82,9.1,30.1,39.3,18.1,7.6,5.6,14.4,22.3,93.7,False
TOR,20,243.8,34.3,81.4,0.42100000000000004,6.9,23.0,0.298,27.4,58.5,0.469,18.1,24.5,0.737,10.8,29.6,40.4,15.7,7.5,3.7,13.0,21.9,93.4,False
HOU,5,240.0,33.0,85.6,0.386,7.6,28.4,0.268,25.4,57.2,0.444,17.6,27.4,0.642,14.4,33.0,47.4,18.0,8.4,4.2,19.0,25.6,91.2,False
CHO,7,240.0,31.9,80.4,0.396,5.7,18.6,0.308,26.1,61.9,0.423,20.9,24.9,0.8390000000000001,7.1,29.7,36.9,13.6,5.7,3.3,9.4,17.4,90.3,False
MEM,4,240.0,32.0,81.3,0.39399999999999996,4.8,16.0,0.297,27.3,65.3,0.418,12.3,17.5,0.7,13.8,27.3,41.0,16.5,7.8,4.0,15.5,21.5,81.0,False
