Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
CHI,7,265.0,38.4,87.1,0.441,7.3,19.3,0.37799999999999995,31.1,67.9,0.45899999999999996,24.1,29.9,0.809,10.4,35.1,45.6,19.9,6.7,8.1,16.1,24.6,108.3,False
DEN,16,240.0,37.3,78.4,0.475,8.1,21.1,0.38299999999999995,29.2,57.4,0.509,25.4,33.4,0.759,10.7,29.6,40.3,22.6,9.2,5.2,12.1,25.8,107.9,False
LAL,23,242.2,37.4,80.5,0.465,7.0,18.4,0.377,30.5,62.1,0.491,20.6,27.5,0.747,11.1,30.9,42.0,19.4,7.9,6.3,13.0,23.5,102.4,False
BOS,14,252.5,37.4,84.1,0.445,6.7,18.6,0.36,30.7,65.4,0.469,20.6,26.0,0.7909999999999999,10.9,32.4,43.2,22.9,7.8,4.9,13.6,24.3,102.1,False
DAL,10,240.0,35.6,75.7,0.47,7.3,20.6,0.354,28.3,55.1,0.514,23.1,28.4,0.813,9.2,31.5,40.7,18.1,6.5,3.8,13.0,22.8,101.6,False
CLE,14,241.8,34.8,75.1,0.46299999999999997,6.6,19.8,0.336,28.1,55.4,0.508,21.4,28.8,0.742,10.1,30.2,40.3,19.1,6.6,4.6,12.4,20.6,97.6,False
UTA,5,240.0,35.0,81.0,0.43200000000000005,5.0,14.6,0.342,30.0,66.4,0.452,22.4,30.2,0.742,13.2,29.4,42.6,25.4,9.8,3.4,14.6,23.8,97.4,False
ORL,24,243.1,34.5,75.4,0.457,8.4,23.3,0.36,26.1,52.1,0.501,19.6,27.1,0.722,8.3,30.0,38.4,18.9,6.8,4.8,13.2,21.4,97.0,False
HOU,13,240.0,34.0,76.1,0.447,6.6,20.2,0.32799999999999996,27.4,55.9,0.49,16.8,21.9,0.768,9.7,30.8,40.5,17.0,6.2,3.2,14.2,20.1,91.5,False
SAS,5,240.0,35.0,76.6,0.457,5.8,17.6,0.33,29.2,59.0,0.495,14.6,20.6,0.7090000000000001,8.8,28.8,37.6,16.0,5.6,3.0,11.0,22.0,90.4,False
PHI,6,240.0,34.0,75.0,0.45299999999999996,5.8,15.8,0.368,28.2,59.2,0.47600000000000003,14.7,20.7,0.71,8.0,28.8,36.8,17.8,6.2,3.0,14.7,23.0,88.5,False
MIA,7,240.0,31.3,69.6,0.45,7.1,20.0,0.35700000000000004,24.1,49.6,0.48700000000000004,18.4,22.6,0.816,8.9,29.9,38.7,15.0,6.1,5.7,13.4,22.1,88.1,False
POR,6,240.0,33.3,74.5,0.447,5.5,14.2,0.38799999999999996,27.8,60.3,0.461,15.0,19.7,0.763,9.8,26.5,36.3,14.7,6.0,7.5,11.3,21.7,87.2,False
NOP,5,240.0,27.8,70.2,0.396,6.0,18.4,0.326,21.8,51.8,0.42100000000000004,22.6,28.0,0.807,9.2,27.8,37.0,15.8,6.6,2.6,18.4,24.8,84.2,False
ATL,11,240.0,30.1,73.6,0.409,6.1,17.5,0.34700000000000003,24.0,56.1,0.428,17.7,23.8,0.7440000000000001,10.7,24.2,34.9,16.9,6.9,3.4,12.1,21.4,84.0,False
DET,4,240.0,31.5,77.0,0.409,3.0,12.3,0.245,28.5,64.8,0.44,12.0,14.5,0.828,7.5,26.0,33.5,16.5,4.3,3.0,11.3,23.8,78.0,False
