Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
PHO,20,245.0,40.1,83.1,0.48200000000000004,9.2,23.5,0.391,30.9,59.6,0.518,17.9,21.6,0.831,7.7,29.0,36.7,23.4,5.7,4.4,11.6,21.9,107.2,False
LAC,12,244.2,39.7,80.8,0.491,4.5,11.9,0.37799999999999995,35.2,68.8,0.511,21.8,26.8,0.816,11.0,34.6,45.6,20.8,5.0,5.9,15.5,23.9,105.7,False
SAS,13,245.8,36.5,74.1,0.49200000000000005,6.0,15.3,0.392,30.5,58.8,0.518,24.2,31.1,0.777,8.2,29.0,37.2,17.5,6.5,5.5,13.3,23.7,103.1,False
WAS,6,248.3,35.3,78.7,0.449,6.2,19.2,0.322,29.2,59.5,0.49,24.8,33.3,0.745,11.5,27.7,39.2,17.5,6.8,5.5,12.8,22.7,101.7,False
LAL,7,247.1,37.7,83.1,0.45399999999999996,7.1,21.4,0.33299999999999996,30.6,61.7,0.495,18.0,23.6,0.764,11.0,31.6,42.6,17.1,6.4,3.1,15.0,22.9,100.6,False
DAL,23,244.3,36.1,80.1,0.451,4.8,15.1,0.317,31.3,65.0,0.48200000000000004,22.7,28.0,0.809,12.2,30.5,42.7,15.3,6.6,4.3,12.8,25.5,99.7,False
CHI,6,240.0,34.0,76.3,0.445,7.8,19.8,0.395,26.2,56.5,0.46299999999999997,22.5,30.3,0.742,8.8,30.5,39.3,18.3,5.7,3.8,15.8,25.8,98.3,False
MIL,5,240.0,37.8,80.2,0.47100000000000003,5.2,12.4,0.419,32.6,67.8,0.48100000000000004,16.8,21.4,0.785,10.6,26.4,37.0,21.0,6.0,2.4,13.2,26.8,97.6,False
SAC,6,244.2,34.7,78.2,0.44299999999999995,5.2,15.7,0.33,29.5,62.5,0.47200000000000003,22.8,28.8,0.792,12.3,26.0,38.3,15.3,7.5,2.5,13.0,26.0,97.3,False
MIA,23,241.1,34.8,72.4,0.48100000000000004,6.3,19.1,0.33299999999999996,28.5,53.3,0.534,20.3,30.9,0.655,9.5,32.5,42.0,17.5,7.0,4.6,15.5,24.0,96.3,False
BRK,11,240.0,34.3,75.8,0.452,5.4,17.5,0.307,28.9,58.4,0.495,20.3,26.6,0.7609999999999999,10.0,28.6,38.6,22.1,6.9,2.5,12.7,26.6,94.2,False
DET,18,240.0,32.1,74.3,0.43200000000000005,6.9,18.5,0.37200000000000005,25.2,55.8,0.452,20.6,28.4,0.7240000000000001,11.3,27.4,38.8,18.7,6.4,4.1,11.9,20.4,91.7,False
CLE,13,243.8,33.6,76.8,0.43700000000000006,4.2,13.2,0.32,29.4,63.6,0.462,18.9,24.8,0.764,12.5,29.8,42.2,16.2,6.5,4.2,14.5,24.6,90.4,False
IND,6,240.0,31.2,70.3,0.44299999999999995,6.7,19.5,0.342,24.5,50.8,0.48200000000000004,20.3,27.2,0.748,8.3,29.0,37.3,17.8,6.0,4.5,15.8,24.8,89.3,False
DEN,5,240.0,32.6,85.8,0.38,3.0,13.6,0.221,29.6,72.2,0.41,19.2,26.4,0.727,14.0,27.8,41.8,19.8,6.8,4.2,11.8,23.2,87.4,False
MEM,4,246.3,30.0,66.5,0.451,3.8,12.0,0.313,26.3,54.5,0.48200000000000004,20.5,28.3,0.726,8.3,26.0,34.3,14.0,4.8,3.8,16.0,27.5,84.3,False
