Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
IND,5,240.0,41.8,84.8,0.493,5.2,11.6,0.44799999999999995,36.6,73.2,0.5,29.6,35.4,0.836,10.6,26.2,36.8,24.2,7.8,4.2,15.0,29.0,118.4,False
GSW,9,242.8,43.8,87.9,0.498,4.9,13.0,0.376,38.9,74.9,0.519,22.0,27.4,0.802,9.0,27.8,36.8,24.7,8.6,6.0,12.8,29.8,114.4,False
BOS,11,242.3,41.2,83.1,0.496,0.9,4.2,0.217,40.3,78.9,0.51,27.1,33.8,0.8009999999999999,11.5,30.5,42.0,22.1,6.5,3.8,12.7,25.0,110.4,False
SAS,4,240.0,40.5,83.3,0.486,0.8,6.5,0.115,39.8,76.8,0.518,26.0,34.5,0.754,12.0,31.3,43.3,26.5,9.5,5.8,17.3,23.3,107.8,False
UTA,9,240.0,38.4,81.2,0.473,1.9,6.0,0.315,36.6,75.2,0.486,26.3,31.3,0.84,11.1,31.9,43.0,26.2,6.3,3.9,14.2,26.9,105.1,False
CHI,17,241.5,40.9,79.6,0.514,1.8,5.4,0.326,39.2,74.2,0.528,20.3,26.6,0.763,12.5,27.7,40.2,25.5,9.5,4.5,12.5,22.2,103.9,False
POR,16,240.0,38.8,82.6,0.47,2.8,9.0,0.306,36.1,73.6,0.49,23.5,31.9,0.736,15.1,27.4,42.5,23.5,8.1,3.6,15.0,23.5,103.9,False
LAL,19,242.6,38.3,79.3,0.483,3.4,9.9,0.34,34.9,69.4,0.503,23.8,30.2,0.789,11.5,27.8,39.3,23.1,7.1,4.8,14.7,20.4,103.8,False
SEA,5,240.0,37.8,82.4,0.45899999999999996,2.6,9.2,0.28300000000000003,35.2,73.2,0.48100000000000004,25.4,31.0,0.8190000000000001,13.4,25.2,38.6,20.8,9.2,4.6,16.2,27.0,103.6,False
DET,15,241.7,38.5,86.6,0.444,3.1,9.7,0.317,35.4,76.9,0.46,21.1,28.8,0.731,16.3,28.4,44.7,20.7,5.3,3.9,11.5,25.9,101.1,False
PHI,8,243.1,36.3,74.8,0.485,2.9,8.1,0.354,33.4,66.6,0.501,25.5,31.9,0.8,9.9,27.8,37.6,22.4,8.6,4.4,13.8,20.6,100.9,False
MIL,3,248.3,40.0,84.7,0.47200000000000003,3.7,10.3,0.355,36.3,74.3,0.489,17.0,23.0,0.7390000000000001,11.7,26.7,38.3,24.3,8.0,1.7,17.0,25.7,100.7,False
ATL,5,240.0,33.0,82.6,0.4,2.6,10.4,0.25,30.4,72.2,0.42100000000000004,28.6,34.4,0.831,15.0,29.2,44.2,16.8,6.6,2.8,11.6,23.4,97.2,False
PHO,4,240.0,34.0,81.3,0.418,2.3,8.5,0.265,31.8,72.8,0.436,25.5,35.0,0.7290000000000001,10.8,28.3,39.0,22.3,7.0,6.5,13.8,24.5,95.8,False
HOU,3,240.0,38.3,83.0,0.462,4.0,13.0,0.308,34.3,70.0,0.49,12.7,16.3,0.7759999999999999,12.0,28.7,40.7,24.3,7.0,4.3,15.7,24.0,93.3,False
NYK,3,240.0,32.3,73.0,0.44299999999999995,3.7,9.3,0.39299999999999996,28.7,63.7,0.45,17.7,22.0,0.8029999999999999,11.3,27.3,38.7,20.7,5.3,3.7,22.3,27.0,86.0,False
