Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
LAL,16,241.6,38.3,81.8,0.46799999999999997,6.1,15.9,0.386,32.1,65.9,0.48700000000000004,20.8,30.7,0.6759999999999999,14.3,33.9,48.2,22.8,9.2,5.8,14.0,22.7,103.4,False
ORL,4,246.3,39.0,89.8,0.435,8.0,20.5,0.39,31.0,69.3,0.44799999999999995,16.8,24.5,0.684,13.5,30.3,43.8,22.0,8.0,6.3,11.3,26.5,102.8,False
SAC,8,240.0,34.6,86.0,0.40299999999999997,5.0,14.3,0.35100000000000003,29.6,71.8,0.413,23.4,28.6,0.8170000000000001,15.1,32.5,47.6,16.8,8.1,5.3,16.6,24.3,97.6,False
CHO,10,240.0,33.9,78.1,0.434,4.4,12.0,0.36700000000000005,29.5,66.1,0.446,23.5,31.4,0.748,13.2,29.9,43.1,19.7,8.6,4.6,12.1,20.9,95.7,False
MIL,18,241.4,35.0,80.6,0.434,6.7,17.6,0.38299999999999995,28.3,63.0,0.449,18.9,23.7,0.8,12.8,31.9,44.8,21.9,5.9,6.8,13.0,23.8,95.7,False
PHI,23,241.1,34.0,80.8,0.42100000000000004,3.8,11.4,0.336,30.2,69.4,0.435,20.4,26.9,0.7609999999999999,14.1,29.7,43.9,20.0,8.0,4.9,12.4,20.7,92.3,False
DAL,10,240.0,32.2,80.8,0.39899999999999997,6.1,17.2,0.355,26.1,63.6,0.41,21.7,25.6,0.848,12.2,28.8,41.0,17.0,5.9,5.5,11.6,23.4,92.2,False
TOR,12,240.0,35.3,79.5,0.44299999999999995,5.9,15.1,0.392,29.3,64.4,0.455,15.8,20.8,0.7559999999999999,11.9,26.8,38.8,22.4,7.8,6.1,13.6,21.4,92.2,False
SAS,13,240.0,33.4,76.1,0.439,5.5,15.2,0.364,27.8,60.8,0.45799999999999996,19.2,26.8,0.716,10.7,32.9,43.6,19.6,6.1,6.0,13.9,20.7,91.5,False
UTA,5,240.0,33.0,77.8,0.424,3.6,11.0,0.327,29.4,66.8,0.44,20.0,25.8,0.775,12.6,29.4,42.0,23.2,5.2,5.2,12.2,26.8,89.6,False
NYK,5,240.0,33.4,71.4,0.46799999999999997,4.0,11.8,0.33899999999999997,29.4,59.6,0.493,18.2,23.4,0.778,7.8,28.6,36.4,15.6,6.2,3.8,14.6,24.2,89.0,False
POR,3,240.0,32.0,76.3,0.419,5.3,20.3,0.262,26.7,56.0,0.47600000000000003,19.7,26.0,0.7559999999999999,9.7,28.0,37.7,16.3,6.3,4.7,15.0,21.3,89.0,False
PHO,4,240.0,34.0,89.5,0.38,4.3,17.0,0.25,29.8,72.5,0.41,16.3,22.8,0.7140000000000001,13.5,30.8,44.3,21.3,9.8,5.8,13.8,23.5,88.5,False
IND,4,240.0,32.8,82.3,0.39799999999999996,6.3,18.3,0.342,26.5,64.0,0.414,15.5,18.8,0.8270000000000001,11.8,28.0,39.8,20.8,4.8,4.5,12.5,23.5,87.3,False
MIN,4,240.0,30.8,79.5,0.387,3.0,10.0,0.3,27.8,69.5,0.39899999999999997,17.5,21.5,0.8140000000000001,11.0,31.5,42.5,18.5,7.5,5.8,12.8,24.3,82.0,False
MIA,3,240.0,29.7,72.3,0.41,5.3,16.7,0.32,24.3,55.7,0.43700000000000006,13.7,19.3,0.7070000000000001,7.3,27.7,35.0,16.7,5.0,5.0,18.7,25.3,78.3,False
