Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
DAL,5,240.0,38.2,96.4,0.396,5.0,17.4,0.287,33.2,79.0,0.42,18.2,23.6,0.7709999999999999,20.4,31.8,52.2,20.6,9.2,6.6,13.6,21.6,99.6,False
SAC,12,242.1,35.3,82.9,0.425,5.8,16.8,0.348,29.4,66.2,0.445,18.8,24.8,0.758,10.9,33.1,44.0,22.8,9.4,3.7,14.3,21.1,95.2,False
MIN,18,241.4,33.9,77.1,0.441,5.9,15.2,0.387,28.1,61.8,0.45399999999999996,18.2,23.3,0.78,9.7,32.3,42.0,19.3,6.6,5.2,15.0,24.3,91.9,False
DEN,5,240.0,37.2,87.2,0.42700000000000005,4.4,13.0,0.33799999999999997,32.8,74.2,0.442,11.8,16.8,0.7020000000000001,14.4,28.8,43.2,20.4,7.8,2.8,14.2,24.2,90.6,False
SAS,10,240.0,33.5,76.2,0.44,6.9,18.9,0.365,26.6,57.3,0.46399999999999997,15.4,23.9,0.644,12.6,29.7,42.3,19.4,7.7,4.2,15.5,22.8,89.3,False
BRK,11,246.8,30.8,72.8,0.423,4.5,16.4,0.272,26.4,56.5,0.467,22.1,30.3,0.73,10.6,32.1,42.7,20.5,8.6,5.4,18.5,26.0,88.2,False
LAL,22,242.3,33.0,74.5,0.444,5.0,15.5,0.321,28.1,59.0,0.47600000000000003,17.1,27.9,0.612,10.2,30.0,40.2,22.6,7.3,4.2,12.6,22.9,88.1,False
DET,23,244.3,31.4,76.3,0.41200000000000003,4.2,13.9,0.304,27.2,62.4,0.436,20.1,27.3,0.7340000000000001,12.9,32.0,44.8,19.4,8.0,7.1,14.9,22.5,87.1,False
MIL,5,240.0,32.4,77.8,0.41600000000000004,4.8,14.4,0.33299999999999996,27.6,63.4,0.435,16.0,21.6,0.741,11.2,28.0,39.2,20.6,8.2,4.2,16.4,22.4,85.6,False
IND,16,240.0,30.7,75.1,0.408,5.9,17.8,0.33299999999999996,24.8,57.3,0.43200000000000005,18.2,24.8,0.733,10.8,31.3,42.1,17.9,8.7,6.3,13.6,23.5,85.5,False
HOU,5,245.0,31.8,74.4,0.42700000000000005,4.6,15.2,0.303,27.2,59.2,0.45899999999999996,16.4,22.8,0.7190000000000001,9.6,34.8,44.4,17.2,5.2,3.6,16.8,22.8,84.6,False
BOS,4,240.0,28.8,70.5,0.408,5.3,15.8,0.33299999999999996,23.5,54.8,0.429,21.8,27.0,0.8059999999999999,9.3,31.8,41.0,17.5,6.5,5.0,19.8,20.3,84.5,False
MIA,13,240.0,30.5,74.8,0.408,3.7,13.4,0.276,26.8,61.4,0.43700000000000006,19.3,25.6,0.754,11.4,30.5,41.8,16.3,7.5,4.1,14.2,24.4,84.1,False
NYK,4,240.0,30.8,80.0,0.384,4.3,14.5,0.293,26.5,65.5,0.405,18.3,25.3,0.723,12.3,26.3,38.5,19.5,9.3,4.0,16.3,28.0,84.0,False
MEM,4,240.0,30.8,72.5,0.424,3.8,12.8,0.294,27.0,59.8,0.452,18.3,23.5,0.777,9.5,25.0,34.5,14.5,9.5,5.0,14.3,25.0,83.5,False
NOP,7,240.0,29.3,76.3,0.384,5.9,18.6,0.315,23.4,57.7,0.406,16.1,20.7,0.779,12.3,30.0,42.3,19.3,6.1,4.6,17.1,20.9,80.6,False
