Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
DEN,3,240.0,48.0,97.0,0.495,0.3,2.7,0.125,47.7,94.3,0.505,23.0,27.7,0.831,14.0,26.0,40.0,24.7,8.7,3.7,14.7,25.3,119.3,False
LAL,14,240.0,47.2,91.3,0.517,0.1,0.9,0.16699999999999998,47.1,90.4,0.521,20.9,28.9,0.723,16.5,31.4,47.9,31.4,10.0,7.4,18.1,24.4,115.4,False
PHO,7,240.0,46.3,95.0,0.48700000000000004,0.7,3.0,0.23800000000000002,45.6,92.0,0.495,16.7,22.4,0.745,15.6,26.4,42.0,28.6,10.6,6.7,17.3,24.4,110.0,False
SAS,9,240.0,43.0,93.4,0.46,0.6,3.1,0.179,42.4,90.3,0.47,20.8,28.2,0.736,16.9,30.4,47.3,29.1,7.3,4.9,16.1,26.4,107.3,False
BOS,12,246.3,41.4,89.5,0.46299999999999997,0.4,2.3,0.185,41.0,87.3,0.47,22.6,30.8,0.732,18.0,32.5,50.5,23.4,7.4,9.4,18.1,27.0,105.8,False
PHI,21,241.2,41.9,85.4,0.491,0.4,1.6,0.265,41.5,83.8,0.495,21.5,29.0,0.742,13.9,26.7,40.6,26.5,8.4,7.5,17.1,27.4,105.7,False
MIL,6,240.0,38.7,81.8,0.473,1.3,4.0,0.33299999999999996,37.3,77.8,0.48,23.8,33.2,0.7190000000000001,15.8,22.3,38.2,23.7,7.3,5.7,16.8,28.5,102.5,False
WSB,7,250.7,38.6,89.3,0.43200000000000005,1.4,3.6,0.4,37.1,85.7,0.433,21.6,27.7,0.778,14.7,29.0,43.7,21.4,7.7,4.6,18.3,27.0,100.1,False
SEA,8,240.0,38.3,86.3,0.44299999999999995,0.5,1.6,0.308,37.8,84.6,0.446,22.5,29.3,0.769,15.4,30.5,45.9,26.0,7.5,4.4,14.4,24.6,99.5,False
NJN,2,240.0,37.0,87.0,0.425,1.0,4.5,0.222,36.0,82.5,0.436,12.5,20.5,0.61,13.0,27.0,40.0,19.5,9.5,4.5,16.0,26.0,87.5,False
HOU,3,240.0,35.7,90.3,0.395,0.0,3.0,0.0,35.7,87.3,0.408,15.7,20.3,0.77,18.7,27.0,45.7,19.3,5.3,5.7,9.3,22.0,87.0,False
ATL,2,252.5,31.5,75.0,0.42,0.0,1.5,0.0,31.5,73.5,0.429,22.5,30.0,0.75,13.0,22.5,35.5,16.5,5.0,6.0,19.5,30.5,85.5,False
