Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
LAL,21,241.2,36.8,78.6,0.46799999999999997,7.0,19.0,0.36700000000000005,29.8,59.7,0.5,22.0,29.1,0.753,8.8,30.8,39.6,20.8,7.2,5.3,13.3,23.3,102.4,False
DEN,4,240.0,37.8,88.5,0.42700000000000005,4.5,18.0,0.25,33.3,70.5,0.47200000000000003,21.5,29.0,0.741,16.5,32.3,48.8,18.5,6.3,4.8,14.5,25.5,101.5,False
PHO,5,250.0,38.0,82.4,0.461,5.0,14.8,0.33799999999999997,33.0,67.6,0.488,19.4,30.4,0.638,9.4,32.2,41.6,18.8,5.2,7.0,12.4,22.6,100.4,False
TOR,5,240.0,37.2,85.6,0.435,8.4,24.0,0.35,28.8,61.6,0.46799999999999997,16.6,19.2,0.865,9.8,29.4,39.2,24.0,7.2,2.4,10.0,22.8,99.4,False
UTA,12,242.1,36.4,81.8,0.445,5.8,16.7,0.35,30.6,65.2,0.469,20.3,27.0,0.75,14.5,29.8,44.3,21.4,6.5,5.8,12.9,25.5,98.9,False
ORL,10,240.0,35.4,75.4,0.469,9.0,25.3,0.35600000000000004,26.4,50.1,0.527,17.3,24.3,0.7120000000000001,11.7,31.2,42.9,17.4,4.8,4.9,14.5,20.5,97.1,False
NOP,12,240.0,37.6,81.0,0.46399999999999997,5.8,14.0,0.41100000000000003,31.8,67.0,0.475,15.7,20.3,0.774,10.3,31.8,42.1,19.3,7.3,5.1,8.8,20.7,96.6,False
SAS,17,242.9,35.5,79.7,0.446,7.5,20.1,0.375,28.0,59.6,0.469,15.5,20.8,0.745,9.0,32.8,41.8,20.4,5.3,4.1,12.8,22.5,94.1,False
BOS,26,240.0,33.6,75.1,0.447,6.0,16.8,0.359,27.5,58.3,0.47200000000000003,20.8,26.6,0.7829999999999999,11.1,28.9,40.0,21.5,7.6,4.3,12.8,24.3,94.0,False
DAL,5,240.0,31.6,78.8,0.401,7.2,20.8,0.34600000000000003,24.4,58.0,0.42100000000000004,23.6,30.0,0.787,14.4,30.8,45.2,19.4,4.0,4.0,11.6,20.6,94.0,False
WAS,6,240.0,32.0,75.2,0.426,6.0,19.7,0.305,26.0,55.5,0.46799999999999997,22.2,29.0,0.764,9.7,27.7,37.3,15.7,7.2,4.8,12.3,22.8,92.2,False
DET,17,240.0,33.9,74.5,0.455,4.5,13.3,0.341,29.4,61.2,0.48,19.1,23.8,0.802,10.6,25.6,36.2,20.5,7.4,5.8,12.9,23.3,91.4,False
CLE,13,240.0,31.1,74.1,0.42,6.7,19.4,0.345,24.4,54.7,0.446,21.1,29.2,0.721,11.8,29.2,40.9,20.2,6.0,4.8,13.8,22.1,89.9,False
HOU,6,240.0,32.2,78.7,0.409,5.8,20.0,0.292,26.3,58.7,0.449,17.8,26.2,0.682,13.0,29.0,42.0,15.5,6.8,5.5,10.8,21.2,88.0,False
ATL,7,240.0,29.3,71.3,0.41100000000000003,4.0,12.4,0.322,25.3,58.9,0.43,24.6,31.4,0.782,11.6,26.7,38.3,17.4,4.3,5.7,15.9,20.1,87.1,False
PHI,6,240.0,31.2,74.7,0.41700000000000004,1.8,7.8,0.23399999999999999,29.3,66.8,0.439,21.7,30.0,0.722,13.5,24.7,38.2,15.8,8.8,3.7,14.8,19.2,85.8,False
