Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
SAS,82,240.9,31.9,77.9,0.409,3.8,11.6,0.327,28.1,66.3,0.423,16.7,22.5,0.7440000000000001,11.1,30.0,41.1,17.3,7.7,4.6,15.3,22.4,84.3,True
DET,82,241.2,32.1,77.8,0.413,4.3,14.4,0.302,27.8,63.4,0.43799999999999994,15.7,21.1,0.7440000000000001,12.0,28.7,40.6,19.0,7.9,5.0,16.0,22.9,84.3,True
IND,82,241.5,32.6,75.4,0.43200000000000005,4.0,12.4,0.324,28.6,63.0,0.45299999999999996,16.5,22.0,0.75,10.6,29.5,40.1,20.1,7.1,6.2,15.9,21.9,85.6,True
BRK,82,240.3,32.8,76.9,0.42700000000000005,5.1,14.5,0.35,27.7,62.3,0.445,17.0,22.3,0.7609999999999999,10.6,30.1,40.8,19.8,8.0,4.6,16.1,21.2,87.8,True
HOU,82,243.0,32.1,78.1,0.41200000000000003,5.6,15.0,0.37200000000000005,26.6,63.1,0.42100000000000004,18.2,24.7,0.737,11.1,28.7,39.7,20.6,8.7,4.4,13.5,20.7,88.0,True
TOR,82,243.7,33.2,77.6,0.428,3.3,10.8,0.307,29.9,66.8,0.447,18.7,25.1,0.747,12.6,32.5,45.1,18.5,7.2,4.1,14.6,19.7,88.5,False
MIN,82,240.9,33.4,80.8,0.414,4.8,14.4,0.33399999999999996,28.6,66.4,0.431,17.4,23.1,0.753,12.2,29.3,41.5,20.7,6.7,3.6,13.5,20.2,89.1,True
MIA,82,240.9,32.4,75.7,0.428,5.3,15.3,0.34299999999999997,27.2,60.4,0.45,19.7,25.6,0.768,10.9,30.3,41.2,18.6,7.0,5.4,14.7,21.1,89.7,True
UTA,82,241.2,31.0,71.7,0.43200000000000005,5.1,14.7,0.34299999999999997,25.9,57.0,0.455,22.9,29.6,0.7709999999999999,10.6,26.0,36.6,18.6,8.1,6.5,15.4,24.4,89.9,False
PHI,82,242.1,33.5,77.7,0.43200000000000005,5.4,16.2,0.33299999999999996,28.1,61.5,0.45799999999999996,18.0,24.2,0.7440000000000001,12.1,29.2,41.4,21.3,8.3,5.6,15.2,21.4,90.5,False
