Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
SAS,82,242.1,35.2,82.7,0.425,4.3,12.6,0.34299999999999997,30.8,70.1,0.44,15.6,21.0,0.7390000000000001,12.0,29.4,41.4,20.3,7.9,5.2,14.4,23.1,90.2,True
NYK,82,241.8,33.1,78.0,0.424,4.9,14.6,0.33799999999999997,28.1,63.4,0.444,19.6,26.3,0.747,11.3,29.8,41.1,19.6,7.4,4.3,14.2,21.9,90.7,True
POR,82,241.2,34.5,80.0,0.431,4.8,14.6,0.33,29.6,65.4,0.45299999999999996,17.3,24.2,0.716,11.9,27.1,39.0,20.8,8.0,4.3,14.5,22.8,91.0,True
MIA,82,241.8,33.9,80.4,0.42200000000000004,5.0,13.8,0.361,29.0,66.6,0.434,18.4,24.7,0.748,11.9,28.5,40.4,19.3,7.6,4.4,14.0,21.9,91.3,True
UTA,82,240.9,33.9,76.1,0.446,4.7,13.4,0.354,29.2,62.7,0.465,19.5,26.1,0.746,10.8,27.3,38.1,19.8,7.2,5.0,15.5,24.7,92.0,True
LAL,82,241.5,34.6,83.2,0.41600000000000004,4.5,13.9,0.326,30.1,69.3,0.434,18.5,24.9,0.742,12.3,30.9,43.1,19.5,7.6,4.2,14.6,25.6,92.3,True
PHI,82,241.8,35.0,80.4,0.435,5.1,14.3,0.35600000000000004,29.9,66.1,0.452,18.4,24.4,0.755,13.0,30.5,43.5,22.3,7.7,6.5,17.6,24.1,93.4,True
PHO,82,241.5,34.5,81.3,0.424,4.9,14.0,0.35200000000000004,29.5,67.3,0.439,19.9,26.9,0.7390000000000001,13.1,30.1,43.1,20.7,8.9,5.2,17.3,21.9,93.7,True
CHI,82,241.5,35.6,78.0,0.456,4.4,12.8,0.341,31.2,65.2,0.478,18.7,25.2,0.741,12.2,29.5,41.7,23.2,10.4,5.6,15.2,24.0,94.2,False
CHO,82,241.2,37.2,83.1,0.44799999999999995,5.0,13.2,0.37799999999999995,32.2,69.8,0.461,16.4,22.0,0.745,11.8,31.1,42.9,23.2,7.4,5.1,15.8,25.3,95.8,True
MIN,82,242.7,35.7,80.2,0.445,4.6,13.0,0.35600000000000004,31.0,67.2,0.462,20.0,26.6,0.752,11.2,29.8,40.9,21.2,7.2,4.2,15.0,20.5,96.0,True
IND,82,240.6,38.0,85.1,0.446,4.0,12.3,0.327,34.0,72.9,0.466,16.8,22.2,0.755,12.7,31.0,43.7,21.2,7.4,3.9,13.7,23.3,96.7,True
