Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
CLE,82,241.2,33.8,78.6,0.431,5.9,17.6,0.33299999999999996,28.0,60.9,0.45899999999999996,17.8,23.1,0.77,10.7,28.2,38.9,19.1,6.3,4.1,13.9,20.3,91.4,True
SAS,82,242.7,36.3,80.1,0.45299999999999996,5.5,14.4,0.379,30.8,65.7,0.469,15.3,19.9,0.769,9.1,31.3,40.4,18.1,6.5,4.3,11.7,18.4,93.3,True
BOS,82,242.4,33.7,78.3,0.431,6.2,17.7,0.349,27.5,60.6,0.45399999999999996,19.8,25.7,0.7709999999999999,10.2,27.4,37.6,18.9,7.1,4.7,14.6,22.2,93.4,True
POR,82,241.8,35.4,76.9,0.46,5.9,15.9,0.374,29.4,61.0,0.48200000000000004,17.4,21.7,0.8029999999999999,9.6,26.7,36.3,19.4,6.3,3.9,13.2,21.1,94.1,True
NOP,82,240.9,34.8,77.2,0.45,7.0,19.8,0.354,27.8,57.4,0.484,17.7,22.9,0.773,10.0,30.0,40.0,20.1,5.8,3.5,13.3,20.4,94.3,True
HOU,82,241.5,36.5,82.1,0.444,5.7,15.8,0.35700000000000004,30.8,66.3,0.465,15.8,21.1,0.7490000000000001,10.6,29.3,39.9,19.8,7.2,5.3,12.3,20.6,94.4,True
ORL,82,240.6,35.8,82.7,0.433,5.4,15.8,0.342,30.4,66.9,0.45399999999999996,17.3,23.0,0.755,10.5,31.6,42.1,18.1,6.9,3.8,13.1,22.4,94.4,True
DET,82,242.7,35.1,77.8,0.451,5.3,15.0,0.354,29.8,62.8,0.474,19.3,24.9,0.775,10.5,29.9,40.4,20.1,5.6,4.2,11.8,19.7,94.7,True
CHO,82,243.0,35.2,77.4,0.45399999999999996,6.8,18.6,0.366,28.4,58.8,0.48200000000000004,17.8,23.5,0.7559999999999999,10.7,28.2,38.9,19.6,7.6,6.0,14.7,20.9,94.9,False
ATL,82,240.3,36.6,80.6,0.45399999999999996,6.4,18.2,0.353,30.2,62.4,0.484,16.9,22.0,0.769,11.6,30.3,41.9,20.8,6.5,4.3,13.7,20.5,96.5,True
