Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
CHI,82,242.1,40.0,85.0,0.47,1.3,4.5,0.293,38.6,80.5,0.48,20.4,26.9,0.757,12.5,27.7,40.1,25.4,7.3,5.1,15.2,22.9,101.6,True
CLE,82,241.2,41.3,86.6,0.47600000000000003,1.5,4.9,0.318,39.7,81.7,0.486,19.6,24.9,0.7879999999999999,14.1,27.5,41.6,24.3,8.4,5.5,17.5,24.6,103.7,True
DET,82,241.2,40.7,87.0,0.467,1.4,4.8,0.289,39.3,82.2,0.478,21.4,28.0,0.762,14.0,27.8,41.7,24.0,7.9,5.0,16.2,26.4,104.1,True
ATL,82,241.2,39.5,84.0,0.47100000000000003,1.7,5.0,0.335,37.9,79.0,0.48,23.5,30.2,0.777,14.1,28.7,42.8,24.1,7.8,4.3,16.1,24.5,104.3,True
UTA,82,240.3,39.9,88.8,0.449,1.8,5.7,0.315,38.1,83.2,0.45899999999999996,23.2,30.2,0.77,15.6,29.8,45.4,24.3,9.4,5.8,17.9,24.5,104.8,True
DAL,82,240.9,42.3,90.1,0.47,2.0,6.3,0.32299999999999995,40.3,83.8,0.48100000000000004,18.3,23.9,0.7659999999999999,14.6,27.2,41.9,27.3,7.5,5.3,15.0,24.4,104.9,True
IND,82,240.3,40.7,86.1,0.47200000000000003,1.4,4.5,0.321,39.2,81.6,0.48100000000000004,22.7,29.8,0.76,14.1,30.5,44.6,23.6,8.5,5.0,15.5,22.7,105.4,False
MIL,82,241.2,40.8,86.1,0.473,1.6,5.4,0.301,39.2,80.7,0.485,22.3,29.4,0.76,14.3,29.3,43.6,26.0,7.6,5.5,16.4,23.8,105.5,True
NYK,82,241.5,39.0,81.8,0.47700000000000004,1.4,4.6,0.304,37.7,77.3,0.48700000000000004,26.5,34.2,0.7759999999999999,14.1,27.9,41.9,24.5,8.6,5.5,19.9,24.0,106.0,True
WSB,82,242.4,42.2,88.2,0.478,1.6,4.8,0.32799999999999996,40.6,83.5,0.48700000000000004,20.4,27.4,0.7440000000000001,15.0,28.8,43.8,26.0,8.4,6.4,16.9,24.0,106.3,True
LAL,82,241.5,43.3,91.1,0.47600000000000003,1.6,5.4,0.298,41.7,85.7,0.48700000000000004,18.8,24.6,0.7609999999999999,14.3,27.4,41.8,26.8,8.9,4.8,15.2,23.7,107.0,True
PHI,82,242.7,42.7,86.1,0.496,1.7,5.2,0.33799999999999997,41.0,81.0,0.506,20.0,26.4,0.758,13.5,27.1,40.7,27.0,8.8,5.4,15.6,25.8,107.1,False
HOU,82,240.0,42.1,90.5,0.465,1.3,4.8,0.275,40.8,85.7,0.47600000000000003,22.0,28.7,0.767,15.4,30.6,45.9,23.8,9.0,4.5,17.1,24.5,107.6,True
BOS,82,241.2,42.6,88.5,0.48200000000000004,1.3,4.5,0.301,41.3,84.1,0.491,21.0,27.4,0.767,13.7,26.8,40.4,25.1,9.0,4.2,14.3,24.3,107.7,True
NJN,82,241.2,41.9,84.4,0.49700000000000005,1.6,4.4,0.361,40.3,79.9,0.504,23.1,29.5,0.7829999999999999,12.6,30.0,42.6,24.3,9.9,6.4,17.5,23.7,108.5,False
LAC,82,241.5,42.8,89.8,0.47700000000000004,1.5,4.4,0.342,41.3,85.3,0.484,21.9,28.2,0.779,15.1,32.5,47.6,28.0,10.3,5.9,17.7,23.3,109.1,False
SEA,82,242.1,40.2,82.9,0.485,1.6,4.9,0.325,38.6,78.0,0.495,27.3,36.5,0.7490000000000001,13.8,28.1,41.9,24.0,7.4,5.2,18.7,23.9,109.3,True
POR,82,240.6,42.6,89.5,0.47600000000000003,1.7,5.6,0.305,40.9,83.9,0.48700000000000004,24.7,32.1,0.768,14.1,29.3,43.3,26.3,7.9,4.6,17.6,26.0,111.5,True
DEN,82,241.2,44.0,89.7,0.49,1.4,4.6,0.3,42.6,85.1,0.501,23.3,30.6,0.762,14.4,33.5,47.9,26.5,7.6,6.2,19.6,24.3,112.7,True
PHO,82,240.6,44.0,88.4,0.498,1.6,5.1,0.304,42.5,83.3,0.51,23.4,30.6,0.767,13.5,29.5,42.9,27.1,8.7,5.4,15.8,23.2,113.0,False
SAC,82,241.2,45.3,91.0,0.498,1.5,4.5,0.324,43.9,86.5,0.507,21.6,28.4,0.7609999999999999,14.1,29.6,43.6,26.5,9.6,6.5,14.6,23.8,113.7,False
GSW,82,241.2,44.2,88.3,0.501,1.9,5.7,0.32299999999999995,42.4,82.6,0.513,25.0,32.9,0.758,14.7,30.6,45.3,27.7,9.1,5.3,17.2,22.1,115.3,False
SAS,82,241.5,47.0,93.6,0.502,1.9,5.5,0.349,45.0,88.1,0.511,22.6,29.1,0.7759999999999999,15.8,30.6,46.4,30.1,8.4,6.5,17.4,24.0,118.5,True
