Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
PHI,82,242.1,40.3,89.5,0.451,0.6,2.4,0.24,39.7,87.0,0.457,22.6,30.3,0.7440000000000001,15.7,27.9,43.6,24.8,10.0,4.6,20.0,24.9,103.8,True
BOS,82,241.2,41.1,89.0,0.462,0.4,1.7,0.21600000000000003,40.8,87.3,0.467,21.4,27.8,0.769,14.5,26.5,41.0,23.0,9.0,4.3,18.0,25.1,104.0,True
PHO,82,240.9,41.1,88.1,0.466,0.8,2.5,0.33,40.2,85.5,0.47,21.5,29.1,0.7390000000000001,14.1,27.9,42.0,24.0,11.1,4.9,21.4,25.8,104.5,True
WSB,82,241.2,42.9,91.4,0.47,0.5,2.1,0.21,42.5,89.2,0.47600000000000003,19.4,26.4,0.735,14.7,32.2,46.9,25.1,9.0,5.7,17.2,23.0,105.6,False
SEA,82,241.2,42.1,90.5,0.465,0.5,1.9,0.268,41.6,88.6,0.47,21.0,28.3,0.74,15.2,28.7,44.0,24.9,9.1,4.7,16.4,24.9,105.7,False
MIL,82,240.9,40.4,88.0,0.45899999999999996,0.4,2.4,0.17600000000000002,40.0,85.6,0.467,24.7,32.9,0.7490000000000001,15.4,26.9,42.4,24.8,9.0,4.9,20.4,25.0,105.9,True
DET,82,240.9,42.7,83.8,0.509,0.4,1.5,0.244,42.3,82.2,0.514,20.3,27.0,0.75,13.3,29.2,42.5,24.8,9.7,7.1,21.9,25.5,106.0,False
IND,82,240.6,42.2,86.2,0.489,0.5,2.2,0.22899999999999998,41.7,84.0,0.496,21.4,27.9,0.767,15.2,29.4,44.5,25.8,8.5,5.4,20.2,25.2,106.2,True
NYK,82,241.8,43.4,86.5,0.501,0.5,2.1,0.25,42.8,84.4,0.508,19.1,25.4,0.7509999999999999,14.0,30.0,44.0,25.5,8.4,5.5,20.2,24.3,106.3,True
KCK,82,241.8,41.8,86.8,0.48100000000000004,0.4,1.9,0.203,41.4,84.9,0.48700000000000004,23.0,30.5,0.7559999999999999,13.9,30.6,44.5,22.6,8.7,4.7,18.5,24.6,106.9,True
CHI,82,241.2,43.0,87.9,0.489,0.6,2.7,0.233,42.4,85.2,0.49700000000000005,20.4,27.0,0.755,14.0,25.6,39.5,23.8,9.6,5.4,18.3,26.0,107.0,True
UTA,82,240.6,41.8,85.6,0.489,0.5,1.8,0.306,41.3,83.8,0.493,22.9,30.1,0.76,14.1,29.8,43.8,24.2,7.3,5.0,15.9,22.6,107.1,False
LAL,82,241.5,43.7,93.9,0.465,0.5,2.2,0.228,43.2,91.7,0.47100000000000003,19.5,26.3,0.741,16.8,27.7,44.5,27.8,9.2,4.4,18.0,22.8,107.3,True
HOU,82,241.5,44.1,89.5,0.493,0.6,2.1,0.287,43.5,87.4,0.498,19.1,25.7,0.7440000000000001,14.4,28.9,43.2,26.7,8.4,4.5,17.4,24.1,107.9,True
ATL,82,243.0,41.5,83.7,0.495,0.4,1.9,0.21100000000000002,41.1,81.9,0.502,24.7,32.2,0.7659999999999999,14.7,28.3,43.0,23.6,9.1,6.8,20.5,26.9,108.0,False
SDC,82,240.6,42.8,84.8,0.505,0.4,1.9,0.21600000000000003,42.4,82.9,0.511,22.2,29.7,0.747,13.3,29.0,42.3,25.6,8.3,4.8,18.9,24.5,108.1,False
SAS,82,241.5,43.7,92.5,0.47200000000000003,0.5,2.0,0.268,43.1,90.4,0.47700000000000004,21.5,29.1,0.74,14.8,26.5,41.4,26.9,8.5,5.9,17.3,26.8,109.4,True
POR,82,242.1,43.7,89.6,0.488,0.4,1.8,0.228,43.3,87.8,0.493,22.0,29.0,0.759,15.2,29.5,44.7,25.7,9.8,5.1,19.2,23.6,109.8,True
DAL,82,241.2,44.2,86.1,0.513,0.4,1.7,0.263,43.7,84.4,0.518,21.1,28.0,0.754,14.3,30.5,44.8,25.6,8.7,5.9,17.5,26.7,109.9,False
CLE,82,241.2,44.0,87.5,0.503,0.6,2.0,0.31,43.4,85.4,0.508,22.0,29.2,0.752,14.1,30.5,44.6,26.4,8.3,5.5,18.0,23.9,110.6,False
GSW,82,240.6,44.3,87.9,0.504,0.5,2.0,0.231,43.8,85.9,0.51,22.0,29.4,0.748,13.9,27.0,40.8,27.1,8.7,4.7,16.9,25.5,111.0,False
NJN,82,241.5,44.0,87.3,0.505,0.3,1.6,0.215,43.7,85.7,0.51,24.5,32.5,0.755,12.9,30.5,43.4,26.1,9.9,6.1,20.0,25.5,113.0,False
DEN,82,243.4,49.5,97.8,0.506,0.5,2.0,0.272,49.0,95.8,0.511,22.7,30.6,0.743,16.1,32.7,48.8,30.8,8.6,6.7,19.0,29.1,122.3,False
