Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
UTA,82,240.6,38.0,87.4,0.434,2.3,7.4,0.305,35.7,80.0,0.446,21.5,28.6,0.754,14.9,27.2,42.1,22.1,9.5,6.2,16.2,25.4,99.7,True
DET,82,241.8,38.3,85.6,0.447,1.9,6.8,0.285,36.4,78.9,0.461,22.3,28.4,0.785,13.8,26.7,40.5,22.6,7.9,4.2,14.9,25.5,100.8,True
CLE,82,240.9,41.3,89.6,0.461,2.1,6.2,0.33899999999999997,39.2,83.4,0.47,16.6,21.3,0.777,14.8,27.8,42.6,24.9,8.4,4.4,17.4,24.0,101.2,True
DAL,82,241.2,41.7,89.1,0.469,2.0,6.3,0.322,39.7,82.8,0.48,19.2,25.5,0.753,15.0,30.5,45.5,26.0,8.0,4.7,14.3,22.8,104.7,False
CHI,82,241.2,41.0,86.6,0.474,2.4,7.2,0.327,38.6,79.4,0.48700000000000004,20.6,26.7,0.773,13.1,28.0,41.2,25.6,8.4,4.2,15.3,21.7,105.0,True
MIL,82,240.9,40.3,84.2,0.478,2.4,6.5,0.368,37.9,77.7,0.488,22.4,28.9,0.7759999999999999,13.3,28.5,41.8,25.7,8.6,5.2,18.6,23.6,105.3,True
ATL,82,241.5,41.0,86.9,0.47200000000000003,1.8,6.2,0.28800000000000003,39.2,80.6,0.486,22.3,28.4,0.784,15.4,28.4,43.7,24.8,8.4,4.2,18.1,25.7,106.1,True
LAL,82,241.5,43.2,92.0,0.47,2.4,7.2,0.33,40.8,84.8,0.48100000000000004,18.8,25.0,0.752,14.4,27.1,41.5,26.3,9.2,5.3,15.4,23.7,107.5,True
HOU,82,242.1,41.6,88.9,0.46799999999999997,2.3,6.5,0.35,39.3,82.4,0.478,22.0,28.9,0.7609999999999999,14.0,29.6,43.6,24.6,9.8,5.4,17.7,24.5,107.5,True
BOS,82,241.2,42.4,87.6,0.484,1.6,5.6,0.29,40.8,82.0,0.49700000000000005,21.7,28.0,0.7759999999999999,12.8,27.1,39.9,25.9,9.3,4.7,14.5,23.8,108.1,True
MIA,82,242.1,41.3,84.5,0.488,1.8,5.3,0.34299999999999997,39.5,79.2,0.498,24.6,31.9,0.773,14.5,28.9,43.3,25.1,11.3,6.7,18.8,22.3,109.0,False
SEA,82,241.2,41.9,86.2,0.486,2.1,6.6,0.311,39.9,79.6,0.501,23.4,30.4,0.769,14.5,27.5,42.0,23.9,8.2,5.0,18.9,22.9,109.2,True
NJN,82,241.5,43.4,87.3,0.49700000000000005,1.9,6.2,0.309,41.5,81.1,0.512,21.3,27.9,0.765,12.6,30.2,42.8,26.0,9.1,5.9,16.8,22.4,110.1,False
PHI,82,241.2,44.6,89.0,0.501,2.1,6.0,0.34299999999999997,42.5,82.9,0.513,19.1,24.7,0.774,14.0,29.4,43.4,27.8,7.8,5.4,15.5,24.2,110.4,True
WSB,82,242.1,42.5,88.2,0.48200000000000004,1.9,6.2,0.304,40.6,82.0,0.495,23.5,30.6,0.769,13.8,31.0,44.8,25.4,8.0,6.4,16.8,23.4,110.4,False
PHO,82,240.9,43.8,94.3,0.46399999999999997,2.2,6.9,0.319,41.6,87.4,0.475,21.2,28.1,0.753,15.3,30.0,45.2,26.4,7.6,5.2,16.7,25.1,110.9,True
SAC,82,241.2,43.8,90.5,0.484,2.2,7.0,0.316,41.6,83.5,0.498,21.3,28.1,0.759,14.3,31.8,46.0,25.7,9.3,5.4,15.7,22.2,111.0,False
IND,82,242.1,42.1,90.2,0.467,2.0,6.7,0.305,40.1,83.6,0.479,24.8,31.8,0.7809999999999999,15.7,28.2,43.9,24.8,10.2,4.7,14.7,24.7,111.1,False
SAS,82,240.9,42.5,87.2,0.488,2.1,6.5,0.32299999999999995,40.4,80.7,0.501,25.7,33.1,0.7759999999999999,15.3,30.0,45.3,25.1,11.2,6.6,21.1,23.6,112.8,False
NYK,82,241.5,44.3,89.7,0.494,1.9,6.5,0.285,42.5,83.2,0.511,22.4,29.1,0.767,14.8,28.4,43.2,28.0,9.5,5.3,20.6,23.1,112.9,True
CHO,82,241.2,43.4,86.7,0.5,1.4,4.9,0.28800000000000003,42.0,81.9,0.512,24.9,32.1,0.7759999999999999,14.5,32.0,46.5,25.1,8.7,5.4,17.4,21.8,113.0,False
POR,82,241.8,43.6,89.3,0.488,2.4,6.7,0.363,41.1,82.6,0.498,23.6,30.5,0.772,14.0,29.2,43.2,25.3,9.0,4.4,19.1,23.9,113.1,True
LAC,82,242.1,45.7,94.4,0.484,2.4,7.0,0.342,43.3,87.3,0.496,22.4,29.3,0.764,16.4,31.1,47.5,29.1,11.4,6.7,17.6,23.0,116.2,False
DEN,82,242.4,45.1,91.3,0.495,1.9,5.4,0.35200000000000004,43.2,85.8,0.504,24.1,32.7,0.737,13.9,34.9,48.8,26.0,8.1,5.9,19.5,24.4,116.3,True
GSW,82,242.7,45.0,97.6,0.462,3.4,10.0,0.342,41.6,87.5,0.475,23.4,30.5,0.7659999999999999,17.5,32.2,49.7,27.0,10.5,5.9,19.0,23.6,116.9,True
